name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval
Arzoo Textile Mills Limited,arzoo-textile-mills-limited,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/arzoo-textile-mills-limited.html,Pakistan,PAK_PB,Faisalabad,38000,"3 Km Khurrianwala Road, Khurrianwala",,+92 41 2428650,+92 41 2428653,arsal@arzootex.com,https://www.arzootex.com,,"Arzoo Textile Mills Ltd., is one of the leading manufacturers and exporters of Home Textile Bedding Products from Pakistan...",8.0,H8.0-E24,,,,,,DUVET SETS; COMFORTER SETS; CURTAINS; INSTITUTIONAL WHITE LINEN; SHEET SETS,,,,,,,,,,,,,2026-03-15T05:26:47
AS FABRICS 1996 S.L,as-fabrics-1996-sl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/as-fabrics-1996-sl.html,Spain,,Ontinyent Valencia,46870,Avda. Del Textil 54 1-1,1-1,+34 960 01 03 68,,export@asfabrics.com,https://www.asfabrics.com,,"Spanish producer of the fabrics for decoration and uphostery, in AS Fabrics you can find a big range of digital printed fabrics...",4.1,H4.1-E86,,Weaver,Decorative & Furniture Fabrics,,,"Jacquard fabrics, chenille fabrics; Digital printed  fabrics, ; Contract  FR fabrics, FR Blackouts, FR Dimouts, FR sheers; Outdoor fabrics; Gobelin fabrics; natural fabrics, linen fabrics, viscose fabrics; coated fabrics, acrylic coated fabrics; plain fabrics, solid fabrics, textured, fabrics; upholstery fabrics, velvet fabrics; gobelin tablecloths, gobelin runners, gobelin cushions",,,,,,,,,,,,company_pictures/10000000202601/451601/1758215540085_4220509624.jpg,2025-12-08T07:04:52
As'habi Textile Mills,ashabi-textile-mills,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ashabi-textile-mills.html,Pakistan,,Karachi,75500,"South Avenue, S.I.T.E D.24",,+92 21 32581318,+92 21 32562359,muzammil@ashabitex.com,https://www.ashabitextile.com,,"As’habi Textile Mills, a Private Limited Company, has transformed into a powerful competitor in the field of Home Textile...",9.0,H9.0-E39,,,,,,Duvet Covers; Curtains; Table Linen; Sheet Sets; Decorative Pillows,,,,,https://www.linkedin.com/company/as'habi-textile-mills,,,,,,,,2025-09-05T10:06:37
Asacotex,asacotex,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/asacotex.html,Pakistan,,Karachi,74900,"Plot # 10/1, Sector-17, Korangi Industrial Area",,+92 321 2211911,+92 21 35060112,a.ahad@asacotex.net.pk,https://www.asacotex.com.pk,,"Asacotex: Crafting Excellence in Textile Manufacturing At Asacotex, we are committed to uplifting the textile industry by...",8.0,H8.0-F57,,,"Bed, Bath & Living; Smart Bedding",,,"Bedlinen, bed sets ; PU coated mattress covers; Baby textile, muslin ; Jersey Fitted sheets; duvet cover, pillow case",,,,,https://pk.linkedin.com/company/asacotex,,,,,,,,2025-10-31T09:59:05
Ascent Textiles,ascent-textiles,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ascent-textiles.html,India,IND_22,Karur,639002,"157c, Mahatma Gandhi Road",,,,ascenttex@ascenttex.com,https://www.ascenttex.com,,,8.0,H8.0-H10D,,,,,,,,,,,,,,,,,,,2025-10-21T07:45:28
ASHBY STUDIOS,design-tex-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/design-tex-ltd.html,Great Britain and Northern Ireland,,Mirfield,WF14 8HE,UNIT G Wheatley Park,UNIT G,+44 1924 488881,+44 1924 471441,office@ashbystudios.com,https://www.ashbystudios.com,,,6.1,H6.1-C61,,,,,,,,,,https://www.instagram.com/simonashbystudios,https://www.linkedin.com/in/simon-ashby-17617822,,,,,,,,2025-12-23T09:27:33
Asiad Export House,asiad-export-house,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/asiad-export-house.html,India,IND_24,Bhadohi,221401,Chedibee Bhadohi Nagar Palika,,+91 97215 64076,,asiadexporthouse@gmail.com,,,,11.1,H11.1-B80A,,,Carpets & Rugs,,,,,,,,,,,,,,,,2025-12-01T08:53:12
Asian Exports,asian-exports,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/asian-exports.html,India,IND_24,Bhadohi,221401,Chak - Saif Main Road Sant Ravidas Nagar,,+91 96161 19023,,asianexports.india@hotmail.com,,,,11.1,H11.1-B70C,,,Carpets & Rugs,,,,,,,,,,,,,,,,2025-12-01T08:52:33
Asian Fabricx Private Limited,asian-fabricx-private-limited,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/asian-fabricx-private-limited.html,India,,Karur,639006,"Sf No 746/1&2, 751/1&2 Manmangalam Village, Semmadai","Sf No 746/1&2, 751/1&2",+91 99430 99916,,navul@asianfab.com,https://www.asianfab.com,,"Overview Established in 1974, Asian Fabricx Pvt. Ltd. is one of India’s leading manufacturers and exporters of sustainable...",10.2,H10.2-D17,,,Decorative & Furniture Fabrics; Window & Interior Decoration,,,"Home Textiles Integrated Manufacturer in India; Curtains, Cushions, Pillows, Throws,; Kitchen Linen, Table Linen and Bed Linen; Sustainable Materials, Sustainable Production",,,,,,,,,,,,company_pictures/10000000202601/485625/1762171864127_182898219.jpg,2025-11-12T04:23:05
Asiatex Corporation,asiatex-corporation,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/asiatex-corporation.html,Pakistan,,Multan,60000,Hanif Street Opp NLC Bypass,,+92 321 8636677,+92 61 6353111,umer@asiatexcorp.com,https://www.asiatexcorp.com,,"Asiatex Corporation is one of the leading manufacturers and exporters of kitchen linen, institutional textiles, and fabrics...",8.0,H8.0-C91,,,"Bed, Bath & Living",,,fabric; tea towel; apron; kitchen towel; Terry towel,,,,,,,,,,,,,2026-03-08T03:13:04
ASK Apparels,ask-apparels,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ask-apparels.html,India,,Karur,639002,"Periyar Nagar West, 11/1 Street",,+91 99945 55111,+91 4324 274 783,mani@askapparels.com,https://www.askapparels.com,,ABOUT USWe bring 20+ years of experience and expertise as honest manufacturers and exporters of home textile products. Since...,8.0,H8.0-D74,,,,,,Sustainability; Natural Fibers; Fair trade; Kitchen Table and Living; Bags,,,,https://www.instagram.com/askapparels.india,https://www.linkedin.com/company/askapparels,,,,,,,,2026-03-08T03:38:50
Aspen Textile (Pvt.) Ltd.,aspen-textile-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aspen-textile-pvt-ltd.html,Pakistan,,Faisalabad,38000,C-170 Ali Chowk Dhudhi Wala Jaranwala Road,,+92 41 8546136,+92 41 8737696,aspen@aspentextile.com,https://www.aspentextile.com,,Aspen Textile is ranked among the leading textile industries with a history of 2 decades of premium quality textiles. We...,8.0,H8.0-H72B,,,"Bed, Bath & Living",,,"Bed Linen; Duvet Cover; Institutional Sheet Set for Hotels; Lose Fabrics on Rolls, Bales, Pallets packing; Terry Towels",,,,,,,,,,,,,2025-10-31T10:00:10
Associacao Home From Portugal,associacao-home-from-portugal,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/associacao-home-from-portugal.html,Portugal,,Guimaraes,4810-430,Travessa de Villa Verde 1,,,,albertacanizes@homefromportugal.org,https://homefromportugal.org/,,The Associação Home from Portugal is focused in helping the Medium/Small and Micro companies that are producers and exporters...,5.1,H5.1-B20,,,,,,,,,,,,,,,,,,,2026-03-08T05:26:09
Atelier Lucius Vilar,atelier-lucius-vilar,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atelier-lucius-vilar.html,Brazil,,Sao Paulo,01258-001,Sumaré Rua Apinajes 1641,Sumaré,+55 11 99387-0978,,luciusvilar@gmail.com,https://www.instagram.com/atelierluciusvilar/,,,6.1,H6.1-F44,,,,,,,,,,,,,,,,,,,2026-03-08T06:17:30
"Atelier Mineeda Co., Ltd.",atelier-mineeda-co-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atelier-mineeda-co-ltd.html,Japan,,Kyoto,615-0066,5-3 Shijohata-Cho Saiin Ukyo-Ku,,+81 75-321-5047,+81 75-321-5047,mineeda@rose.odn.ne.jp,https://www.facebook.com/ateliermineeda,,,6.1,H6.1-A80,,,,,,,,,,,,,,,,,,,2026-03-08T05:28:44
Atelier Zabel,atelier-zabel,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atelier-zabel.html,Germany,,Leutenbach,71397,Gartenstraße 40,,+49 7195 588204,+49 7195 588205,katja@atelier-zabel.com,https://www.atelier-zabel.com,,,6.1,H6.1-C62,,,Textile Design,,,,,,,,,,,,,,,,2026-03-08T05:05:47
Atena Neuhuber,aqui-design-eu-atena-neuhuber-ma,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aqui-design-eu-atena-neuhuber-ma.html,Austria,,Linz,4040,Gründbergstraße 66a,,+43 660 4384041,,office@atenaneuhuber.com,https://www.atenaneuhuber.com,,,6.1,H6.1-A62,,,Textile Design,,,,,,,https://www.instagram.com/atenaneuhuber,,,,,,,,,2025-10-28T10:33:01
"Atenas - M. Redondo Broto, S.L.",atenas---m-redondo-broto-sl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atenas---m-redondo-broto-sl.html,Spain,,Alcorcón-Madrid,28923,"Calle Los Pintores, 20, Pol Ind. Urtinsa I",Urtinsa I,+34 916 43 29 15,+34 916 43 43 34,export@atenas.com.es,https://www.atenas.com.es,,"Manufacturas Redondo Broto, S.L. operates under its own brand, Atenas Home Textile. We are a family-owned company based in...",6.0,H6.0-A20,,,"Bed, Bath & Living",,,decoration; coatedtablecloth; table; home; bath,,,,https://www.instagram.com/atenashometextile,,,,,,,,,2025-11-19T16:30:52
Athome Co. Ltd.,athome-co-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/athome-co-ltd.html,China,Anhui,Hefei Anhui,230031,"No. 320 Qianshan Road, Shushan District",,,,alex@athometextile.com,,,"Athome Co., Ltd is an experienced company in importing & exporting business. We've been in this line nearly 20 years. Our...",9.1,H9.1-G41G,,,"Bed, Bath & Living",,,Blanket; Throw; Cushion,,,,,,,,,,,,,2025-11-19T16:31:31
Atlas Export Enterprises,atlas-export-enterprises,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atlas-export-enterprises.html,India,,"Karur, Tamil Nadu",639001,29-J Pugalur Road,,+91 96503 77133,+91 98946 30406,senthil@atlas.in,https://atlas.in,,About us  Atlas is a fully integrated textile manufacturer committed to sustainability and innovation. By overseeing every...,8.0,H8.0-B17,,Econogy FINDER; Selected for Heimtextil Trends,"Bed, Bath & Living; Functional features; Textile Design; Textile Technology; Window & Interior Decoration",,,SUSTAINABLE PRODUCTS / RECYCLE PRODUCTS / SUSTAINABLE TEXTILE /; ESG / MADE IN GREEN / MIG /DETOX / ORGANIC /ZDHC /ECO FRIENDLY / SOFT TEXT; HOME TEXTILES /OUTDOOR TEXTILE / WIPE CLEAN /COATED /TERRY TOWELS/NURSERY; DESIGN STUDIO / AUTOMATION / KARUR / INDIA /DESIGNERS / TRENDS; TOWELS / CUSHIONS / LINENS / TABLE TEXTILES / SHOWER CURTAIN / BAGS,,,,https://www.instagram.com/atlasexportenterprises,https://www.linkedin.com/company/atlasexportenterprises,,,,,,919894630406,company_pictures/10000000202601/467980/1763378577518_1356188158.jpg,2026-03-08T04:54:10
atpitaly srl,atpitaly-srl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/atpitaly-srl.html,Italy,Brescia,Lavenone,25074,Via del Tram 8,,+39 365 823 220,,commerciale@atpitaly.eu,https://www.atpitaly.eu,,"atp was founded in 1968. we produce a wide range of articles for the window decoration and sun protection branch, such as...",3.0,H3.0-C35,,,Window & Interior Decoration,,,Gardinen Zubehoer; Ringe; Gleiter; Wellensystem,,,,,,,,,,,,company_pictures/10000000202501/389855/1726572409653_1492726096.jpg,2025-10-02T12:51:21
Auping Germany GmbH,auping-germany-gmbh,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/auping-germany-gmbh.html,Germany,,Köln,50677,Sachsenring 59,,+49 221 27654500,,info@auping.de,https://www.auping.com,,Auping steht für kreatives und innovatives Design für moderne und stilbewusste Menschen – mit Betten zum Zeigen und Matratzen...,4.0,H4.0-D50,,Econogy FINDER; Interior.Architecture.Hospitality FINDER; Retail trade suppliers; Selected for Heimtextil Trends,Smart Bedding,,,Betten; Boxspringbetten; Matratzen; Spiralunterfederungen; Bettwaren; Bettwaren; Topper; Nachhaltig; White Label; Schlafsysteme,,,,https://www.instagram.com/aupingnl,,,,,,,,company_pictures/10000000202601/451883/1758720099535_2875516243.jpg,2025-09-25T16:38:12
Auskin Europe Pty. Ltd.,auskin-europe-pty-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/auskin-europe-pty-ltd.html,Germany,,Wildeshausen,27793,Kirchstraße 6,,+49 4431 7094003,,,https://www.fibrebyauskin.com,,"Fibre by Auskin sources, designs, manufactures and distributes high-quality natural fibre products.      Fibre By Auskin...",6.1,H6.1-D39,,,Carpets & Rugs; Decorative & Furniture Fabrics,,,Sheepskin Rugs; Sheepskin Cushions; Sheepskin Bean Bags; Alpaca Throws; Natural Fibre Home Accessories,,,,https://www.instagram.com/fibrebyauskinusa,,,,,,,,,2025-09-03T02:51:17
AV-Design Inh. Alla Vaysman,av-design-inh-alla-vaysman,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/av-design-inh-alla-vaysman.html,Germany,DEU_05,Gummersbach,51645,Alter Weg 1A,,+49 163 6501359,,allav56@googlemail.com,,,,6.1,H6.1-A60,,,Textile Design; Wall Decoration,,,,,,,,,,,,,,,,2025-11-24T11:21:38
AVA CAD/CAM Group Ltd,ava-cadcam-group-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ava-cadcam-group-ltd.html,Great Britain and Northern Ireland,,"Macclesfield, Cheshire",SK10 1EE,"King Edward House, 1 Jordangate",,+44 1625 506800,+44 1625 267262,sales@avacadcam.com,https://www.avacadcam.com,,"Experience AVA Suite at Heimtextil 2026 – Innovation, Precision, Sustainability    Join AVA at Heimtextil 2026 and discover...",6.1,H6.1-F65,,,Textile Technology,,,Digital and analogue printed textiles; Colour separations and colouring software; Technical consultancy service; CAD/CAM design software modules; Software training and support,,,,,,,,,,,,,2026-03-08T04:42:56
AVA Leather Group SRL,ava-leather-group-srl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ava-leather-group-srl.html,Italy,Vicenza,Arzignano,36071,Via Quinta Strada 19/21/25,,+39 0444 450977,,info@avaleather.com,,,"AVA Leather Group is a structured, international tannery specializing in the production and marketing of high-quality leathers...",3.1,H3.1-D71C,,Interior.Architecture.Hospitality FINDER; Retail trade suppliers; Selected for Heimtextil Trends,Decorative & Furniture Fabrics,,,Natural leather ; Leather for furniture ; Upholstery leather; Sustainable Leather; Green Tanning Techniques,,,,,,,,,,,,,2025-12-04T11:29:26
AVH Associates,avh-associates,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/avh-associates.html,India,IND_24,Noida,201305,"C-122, Hosiery Complex, Phase-II",,+91 120 422 3500,+91 120 422 3505,hsc@avh.in,https://www.avh.in,,"AVH Associates is an established company in the field of Decorative Home Textiles and Lifestyle products. Since 1985, we...",10.2,H10.2-A71,,,"Bed, Bath & Living; Decorative & Furniture Fabrics",,,Cushions; Decorative Cushions; Table runners; Table linen; Christmas,,,,,,,,,,,,company_pictures/10000000202601/465455/1762250963158_127459341.png,2026-01-18T04:23:10
Avila Textile OOD,avila-textile-ood,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/avila-textile-ood.html,Bulgaria,,Plovdiv,4000,Skladova Industrial Zone Iv Chast Str./blvd.,,,,,,,"We are selling curtain fabrics. Sheers, drapery, IFR curtain fabrics for hotel projects, IFR Recycle fabrics and Dimout fabrics...",3.0,H3.0-B06,,,Window & Interior Decoration,,,curtain fabrics - Vorhangstoffe; hotel project fabrics - Stoffe für Hotelprojekte; Cutting service - Schneidservice; Roll by roll service - Rollen-für-Rollen-Service,,,,,,,,,,,,,2025-11-19T16:34:17
Awaisia Fabrics,awaisia-fabrics,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/awaisia-fabrics.html,Pakistan,,Faisalabad,38000,"Muhammad Nagir, Street No. 04, near 40 Kothiyaan, P-170",,+92 321 7600309,,info@awaisiafabrics.com,https://www.awaisiafabrics.com,,"Awaisia Fabrics is a leading manufacturer and exporter of high-quality woven textile goods based in Faisalabad, Pakistan...",8.0,H8.0-A85,,,"Bed, Bath & Living",,,Bed Linen; Terry Towels; Scrub Suits; Bathrobes; Waffle Blankets,,,,,,,,,,,,,2026-02-27T00:17:23
Aydin Tekstil Ticaret ve Pazarlama A. S.,aydin-tekstil-ticaret-ve-pazarlama-a-s,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aydin-tekstil-ticaret-ve-pazarlama-a-s.html,Türkiye,,Basaksehir / Istanbul,34490,Ikitelli OSB Mahallesi Eski Turgut Ozal No: 38/3,,+90 212 549 43 00,+90 212 549 20 59,info@aydintekstil.com,https://www.aydintekstil.com.tr,,"We are the largest upholstery fabric, mattress ticking, rugs, and home textile manufacturer in Europe with more than sixty...",12.0; 4.1,H12.0-B60; H4.1-G15,,Selected for Heimtextil Trends; Weaver,Decorative & Furniture Fabrics,,,home textile; PRODUCER; FABRIC; UPHOLSTERY; JACQUARD,,,,,,,,,,,,,2025-11-19T16:35:04
Ayhan Denizci Tekstil Tic Paz Ltd. Sti.,ayhan-denizci-tekstil-tic-paz-ltd-sti,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ayhan-denizci-tekstil-tic-paz-ltd-sti.html,Türkiye,,Bursa,16040,Demirtas Dumlupinar Mah. 49. Cad. No: 39,,+90 535 654 25 25,+90,ayhandenizci@ayhandenizci.com,https://www.ayhandenizci.com,,"After working at various companies in Bursa for 16 years, Denizci sold his car for 22 thousand TL in 2006 and made use of...",4.1,H4.1-G20,,,Window & Interior Decoration,,,CURTAIN; CUT SERVICE; CUTLENGTH; SHEER; FABRİC,,,,,,,,,,,,,2025-12-18T08:38:36
Aymax BVBA,aymax-bvba,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aymax-bvba.html,Belgium,,Mont-sur-Marchienne,6032,Rue de l'Eglise 47,,+32 471 76 37 84,,a.digrande@aymax.be,https://www.aymax.be,,Aymax is an import export company of hometextile with licences.,5.1,H5.1-C30,,,"Bed, Bath & Living",,,duvet cover; licence; bedding,,,,,,,,,,,,,2026-03-08T04:51:58
Aymina Dokuma Tekstil Sanayi Ticaret Ltd. Sti.,aymina-dokuma-tekstil-sanayi-ticaret-ltd-sti,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aymina-dokuma-tekstil-sanayi-ticaret-ltd-sti.html,Türkiye,,Bursa,16320,Demirtas Org. San. Bölg. Ali Osman Sönmez Cad. Papatya Sok. No: 24/C,Sönmez Cad. Papatya Sok. No: 24/C,+90 224 261 50 20,+90 224 261 53 70,export@ayminatekstil.com,https://www.ayminatekstil.com,,"producer,makes curtain ,decorative fabrics and table clothes with high guality",4.1,H4.1-A56,,Interior.Architecture.Hospitality FINDER; Retail trade suppliers; Selected for Heimtextil Trends,Decorative & Furniture Fabrics; Window & Interior Decoration,,,Curtain; Tulle; FR Fabrics; Tablecloth; Manufacturer,,,,,,,,,,,,,2025-11-12T12:50:12
AYN TEXTILE Co.,ayn-textile-co,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ayn-textile-co.html,Jordan,,Amman,,"Steen Street, Al Mwagar Sahab",,+962 7 8701 0083,+962 6 405 1232,sales@ayntextile.com,https://www.ayntextile.com,,"we are producing all kinds of tufted carpets , such as loop pile , cut pile with all weights , graphics cut pile and chromojet...",12.0,H12.0-C44,,,,,,carpets; wall to wall; tufted carpet,,,,,,,,,,,,,2026-03-08T06:07:32
Ayoob Textiles Mills Ltd.,ayoob-textiles-mills-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ayoob-textiles-mills-ltd.html,Pakistan,,Karachi,74500,A/16 - A S.I.T.E. Area Karachi,,+92 21 32565707,+92 21 32560521,atml1@cyber.net.pk,https://www.ayoobtextile.com,,Ayoob Textile Mills Ltd was established in 1991 with the primary objective of manufacturing and exporting of Warp Knitted...,8.0,H8.0-B57,,Interior.Architecture.Hospitality FINDER,,,,Bathrobes; Microfiber towels; Terry baby products; 100% Cotton super soft blanket / Egyptain cotton ; Institutional Products,,,,,,,,,,,,,2026-03-08T04:49:10
Azam Textiles,azam-textiles,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/azam-textiles.html,Pakistan,,Karachi,75340,"SITE Town, Industrial Area Plot No. A-134, S.I.T.E. Super Highway Phase-1,","SITE Town, Industrial Area",+92 21 36411507,+92 21 36411507,azam.tex@hotmail.com,https://www.azamtex.com,,,9.1,H9.1-C41C,,,,,,,,,,,,,,,,,,,2026-03-08T06:22:27
"AZNAR TEXTIL, SL",aznar-textil-sl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aznar-textil-sl.html,Spain,,Paterna (Valencia),46988,"Villa de Bilbao, 2, Pol. Ind. Fuente del Jarro",,+34 961 34 37 12,+34 961 34 10 96,aznartextil@aznartextil.com,https://www.aznartextil.com,,"we are spanish producer of fabrics for residential and contract use.  we design , produce and keep stock of our collecions...",4.1,H4.1-C06,,Econogy FINDER; Interior.Architecture.Hospitality FINDER; Weaver,Decorative & Furniture Fabrics; Window & Interior Decoration,,,deco fabrics sheers recicled contract outdoor 330 cms; contract fabrics deco sheers recycled contract outdoor 330cm; deco fabrics  and  extra wide sheers  330 ; fabrics for deco; outdoor  and indoor fabrics,,,,,,,,,,,,company_pictures/10000000202501/376358/1730715444110_1879559596.jpg,2025-11-25T11:28:17
B&B Fabrics B.V.,bb-fabrics-bv,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bb-fabrics-bv.html,Netherlands,,Oss,5349AT,Galliersweg 7,,+31 412 064 685,,info@quality-textiles.com,https://www.bbfabrics.com,,A textile family with everything needed to delight you with the most beautiful decorative fabrics.,4.1,H4.1-F06,,,Decorative & Furniture Fabrics,,,fashion; decofabrics; homedeco; printed fabrics; jacquards,,,,https://www.instagram.com/bbfabrics_nl,,,,,,,,,2025-12-04T10:45:29
Bénédicte de Frondeville,bndicte-de-frondeville,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bndicte-de-frondeville.html,France,,Tornac,30140,1501 Chemin de Taupessargues,,+33 4 66 61 18 15,+33 4 66 61 18 15,benedictedefrondeville@gmail.com,,,,6.1,H6.1-B35,,,Textile Design,,,,,,,,,,,,,,,,2026-03-08T05:28:43
B.A. Textile,ba-textile,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ba-textile.html,Pakistan,,Karachi,75950,New Karachi R1-40,,+92 345 2987035,+92 345 2987035,bilalshaikh@batextile.com.pk,https://www.batextile.com.pk,,"B.A Textile was founded in Karachi. BA Textile is a proud manufacturer of Towels, Bathrobes, Bed sheets, Fitted Jersey, Comforter...",8.0,H8.0-L82,,,"Bed, Bath & Living",,,"Textile ; Towels; Bed Sheets; Textile Karachi; Bathrobe, Fitted Jersey, Pillows, Duvet Covers",,,,,,,,,,,,,2025-09-03T07:14:43
B.B.N. EXPORTS,bbn-exports,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bbn-exports.html,India,,Bhadohi,221401,"Sant Ravidas Nagar Nitika Bhawan, Aurai Road",Sant Ravidas Nagar,+91 97937 14666,,bbnexpo@gmail.com,,,,11.1,H11.1-B81B,,,Carpets & Rugs,,,,,,,,,,,,,,,,2025-11-24T13:37:02
B.B.N. Rugs,bbn-rugs,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bbn-rugs.html,India,,Bhadohi,221401,"Nitika Bhawan, aurai road bhadohi, Utta",,+91 99198 04351,,bbnrugs@gmail.com,,,,11.1,H11.1-B81C,,,Carpets & Rugs,,,,,,,,,,,,,,,,2025-11-24T13:37:29
B.M. House (India) Ltd.,bm-house-india-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bm-house-india-ltd.html,India,IND_07,Gurugram,112001,"Office No. 1206, 12th Floor Unitech Signature Tower South City-1, Nh-8","Office No. 1206, 12th Floor",+91 124 458 0896,+91 124 458 0897,pranav@bmhouse.in,https://www.bmhouse.in,,"B.M. House (India) Limited operates a state-of-the-art spinning mill located in Gujarat, India. Equipped with cutting-edge...",8.0,H8.0-J53A,,,"Fibres and Yarns, Textile Materials, Finishing",,,Yarn; Spinning; Textile; Sustainable,,,,,,,,,,,,,2025-11-27T14:14:30
B.R. Impex,br-impex,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/br-impex.html,India,IND_07,Panipat,132103,"Plot No. 127, Sector 29, Part 1, Huda",,,,,,,PROFILE   We P.P International takes the pleasure of introducing itself as the leading manufacturer and exporter of all types...,10.3,H10.3-B10A,,,Decorative & Furniture Fabrics,,,Antiskid bathmat; Carpet; rugs & runners; table mats; Bedcovers,,,,,,,,,,,,,2025-10-30T13:57:49
B.V.M. Handicrafts,bvm-handicrafts,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bvm-handicrafts.html,India,,Panipat,132103,"Plot No. 404, Sector-29, Part-II, Huda",,,,,,,,10.3,H10.3-A11A,,,,,,,,,,,,,,,,,,,2025-10-15T08:36:39
b7 Batsheva Gabso Design Studio,b7-batsheva-gabso-design-studio,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/b7-batsheva-gabso-design-studio.html,Israel,,Holon,58291,Jabotinsky St. 34,,+972 3-504-6955,+972 3-505-0169,studiob@actcom.net.il,https://www.b7-design.com,,,6.1,H6.1-B73,,,Textile Design,,,,,,,,https://www.linkedin.com/in/batsheva-gabso-7482354a,,,,,,,,2025-11-19T16:36:18
