Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,LinkedIn_Handle,Instagram,Instagram_Handle,Facebook,Facebook_Handle,Stand_Booth,Hall_Stand,Address,Detail_URL,Has_Email,Has_Website,Has_Phone,Contact_Score,Notes
FABRIZIO DEL CARLO,Italy,,,Pitti Uomo 110,,,,,,,,,,,,,,False,False,False,0,
FABRIZIO LESI,Italy,,,Pitti Uomo 110,https://www.fabriziolesi.it,info@fabriziolesi.it,+39 0521 482466,https://www.linkedin.com/company/fabrizio-lesi,fabrizio-lesi,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 44,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fabrizio-lesi,True,True,True,4,
FAHERTY,U.S.A.,,,Pitti Uomo 110,,,,,,,,,,ARSENALE / PIANO TERRA / 17-19,,,,False,False,False,0,
FALIERO SARTI,Italy,,Sustainable; Luxury; Craftsmanship,Pitti Uomo 110,http://www.falierosarti.com,info@falierosarti.com,01582410971,,,https://www.instagram.com/falierosarti,falierosarti,https://www.facebook.com/falierosartiofficial/,falierosartiofficial,PADIGLIONE CENTRALE / PIANO ATTICO / G/6-8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/faliero-sarti,True,True,True,4,
FARFALLA,Italy,,,Pitti Uomo 110,http://www.farfalla.it,farfalla@farfalla.it,+39 071 946027,https://www.linkedin.com/company/farfalla-calzature/,farfalla-calzature,https://www.instagram.com/farfalla_slippers,farfalla_slippers,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 54,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/farfalla,True,True,True,5,
FEFE' NAPOLI,Italy,,Lifestyle; Essentials; Japan Style; Classic; New Formal; Workwear; Informal; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.fefenapoli.com,info@fefeglamour.it,+390810607050,,,https://www.instagram.com/fefe.napoli,fefe.napoli,,,PADIGLIONE CENTRALE / PIANO INFERIORE / O/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fefe--napoli,True,True,True,4,
FELISI,Italy,,Lifestyle; Essentials; Classic; New Formal; Workwear; Outdoor; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.felisibagsandbelts.com,info@felisibagsandbelts.com,+00390532771089,,,https://www.instagram.com/felisi_bagsandbelts,felisi_bagsandbelts,,,PADIGLIONE CENTRALE / PIANO ATTICO / I/4-6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/felisi,True,True,True,4,
FELIX CULPA,Italy,,,Pitti Uomo 110,,,,,,,,,,SALA DELLE NAZIONI / A/46,,,,False,False,False,0,
FEMALE FOUNDED,Turkey,,,Pitti Uomo 110,,,,,,,,,,,,,,False,False,False,0,
FERRANTE,Italy,,,Pitti Uomo 110,http://www.ferrante.it,e-store@ferrante.it,01080370685,,,https://www.instagram.com/ferrante_official,ferrante_official,https://www.facebook.com/Ferrante.it,Ferrante.it,PADIGLIONE CENTRALE / PIANO INFERIORE / R/16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ferrante,True,True,True,4,
FERRANTE ROYAL RED,Italy,,,Pitti Uomo 110,,,,,,https://www.instagram.com/ferrante_official,ferrante_official,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ferrante-royal-red,False,False,False,1,
FF-PACKAGING,Netherlands,,,Pitti Uomo 110,https://www.ff-packaging.com,info@ff-packaging.com,+31 (0)341 430 413,https://www.linkedin.com/company/ff-packaging,ff-packaging,https://www.instagram.com/ffpackaging,ffpackaging,https://www.facebook.com/ffpackaging,ffpackaging,PADIGLIONE CENTRALE / PIANO TERRA / G/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ff-packaging,True,True,True,5,
FILA,Italy,,,Pitti Uomo 110,,,,,,https://www.instagram.com/filaeurope,filaeurope,,,PADIGLIONE CAVANIGLIA / 6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fila,False,False,False,1,
FILSON,U.S.A.,,Lifestyle; Outdoor,Pitti Uomo 110,http://www.filson.eu,info@filson.eu,,,,https://www.instagram.com/filson1897_europe,filson1897_europe,,,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/filson,True,True,False,3,
FINAL DRAFT,Germany,,,Pitti Uomo 110,http://www.finaldraftclo.com,hello@finaldraftclo.com,+49 9321 3003246,,,https://www.instagram.com/finaldraftclo,finaldraftclo,,,SALA DELLE NAZIONI / A/16-18,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/final-draft,True,True,True,4,
FINOACINQUE - CODE KOREA,Korea (South),,,Pitti Uomo 110,,,,,,https://www.instagram.com/finoacinque_official,finoacinque_official,,,POLVERIERA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/finoacinque---code-korea,False,False,False,1,
FIORE 19.57,Italy,,Lifestyle; Classic; High Performance; Informal; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://www.fiore1957.it,customercare@fiore1957.it,+39 389 3193480,,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 53,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fiore-19-57,True,True,True,3,
FLORENCE STYLE,Italy,,British Style; Classic; Luxury; Craftsmanship,Pitti Uomo 110,http://www.florencestyle.com,info@florencestyle.com,30 055.8363104,,,https://www.instagram.com/florencestyle1953,florencestyle1953,,,PADIGLIONE CENTRALE / PIANO TERRA / G/2,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/florence-style,True,True,True,4,
FLOWER MOUNTAIN,Japan,,,Pitti Uomo 110,http://www.flowermountain.com,info@flowermountain.com,00347770430,,,https://www.instagram.com/flowermountain_official,flowermountain_official,https://www.facebook.com/FlowerMountainOfficial/,FlowerMountainOfficial,PADIGLIONE CAVANIGLIA / 40,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/flower-mountain,True,True,True,4,
FLY3,Italy,,Sustainable; Essentials; Informal; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.fly3.it,info@fly3.it,+39 071 9161805,,,https://www.instagram.com/fly3_official,fly3_official,,,COSTRUZIONI LORENESI / PIANO PRIMO / 6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fly3,True,True,True,4,
FORM BAGS,Italy,,Sustainable; Luxury,Pitti Uomo 110,http://www.formbags.com,sales@formbags.it,+39 059 44 86,https://www.linkedin.com/company/form-bags-spa/,form-bags-spa,https://www.instagram.com/formbagsmoveyourbrand,formbagsmoveyourbrand,,,PADIGLIONE CENTRALE / PIANO TERRA / G/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/form-bags,True,True,True,5,
FORNARI,Italy,,Lifestyle; Sustainable; Japan Style; Classic; New Formal; Outdoor; Urban; Craftsmanship; Contemporary; Upcycling,Pitti Uomo 110,http://umbertofornari.it,info@umbertofornari.it,00039300421,,,https://www.instagram.com/fornariofficial,fornariofficial,https://facebook.com/fornariofficial/,fornariofficial,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 36,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fornari,True,True,True,4,
FOULON,Italy,,Classic; Premium Streetwear; Craftsmanship; Contemporary,Pitti Uomo 110,https://foulon.it,info@foulon.it,+39 02 49367290,,,https://www.instagram.com/foulon.it,foulon.it,,,SALA DELLE NAZIONI / A/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/foulon,True,True,True,4,
FOX UMBRELLAS,United Kingdom,,,Pitti Uomo 110,http://www.foxumbrellas.com,onlineshop@foxumbrellas.com,20 8662 0022,,,https://www.instagram.com/foxumbrellas,foxumbrellas,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 58,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fox-umbrellas,True,True,True,4,
FRACAP,Italy,,Lifestyle; Outdoor; Sportswear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.fracap.it,info@fracap.it,+39 0832 321996,,,https://www.instagram.com/fracap1908,fracap1908,https://www.facebook.com/fracap1908,fracap1908,PADIGLIONE CAVANIGLIA / 35,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fracap,True,True,True,4,
FRANCESCHETTI,Italy,,Classic; New Formal; Premium Streetwear; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.franceschetti.it,alessandromedori@franceschetti.it,39 333 5075994,,,https://www.instagram.com/franceschettishoes,franceschettishoes,,,PADIGLIONE CENTRALE / PIANO TERRA / J/15,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/franceschetti,True,True,True,4,
FRANCESCO BENIGNO,Italy,,,Pitti Uomo 110,http://www.francescobenigno.it,info@francescobenigno.it,,,,https://www.instagram.com/francescobenigno1926,francescobenigno1926,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 35,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/francesco-benigno,True,True,False,3,
FRANCESCO SMALTO,France,,,Pitti Uomo 110,https://www.smalto.com,salon.couture@smalto.com,,https://fr.linkedin.com/company/smalto,smalto,https://www.instagram.com/smaltoparis,smaltoparis,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 43,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/francesco-smalto,True,True,False,4,
FRANKS,Australia,,Lifestyle; Essentials; Classic; Outdoor; Activewear; Contemporary,Pitti Uomo 110,http://franksaustralia.com,service@franksaustralia.com,+61 418 338 364,,,https://www.instagram.com/franksaustralia,franksaustralia,,,PADIGLIONE CAVANIGLIA / 55,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/franks,True,True,True,4,
FRAY CAMICERIA,Italy,,Special Co-Lab/Limited Edition; Classic; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.frayitaly.com,info@frayitaly.com,+39 051 57 10 36,https://www.linkedin.com/company/fray-italy-luxury-shirts/,fray-italy-luxury-shirts,https://www.instagram.com/frayitaly,frayitaly,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fray-camiceria,True,True,True,5,
FRESCOBOL CARIOCA X LA MARZOCCO,Italy,,,Pitti Uomo 110,http://www.lamarzocco.com,info@lamarzocco.com,04040140487,,,https://www.instagram.com/lamarzoccohome,lamarzoccohome,,,PADIGLIONE CENTRALE / TERRAZZA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/frescobol-carioca-x-la-marzocco,True,True,True,4,
FTC,Switzerland,,Lifestyle; Sustainable; Essentials; Classic; New Formal; Globetrotter; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ftc-cashmere.com,,,,,https://www.instagram.com/ftc_cashmere,ftc_cashmere,,,PADIGLIONE CENTRALE / PIANO INFERIORE / P/16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ftc,False,True,False,2,
FUGÀTO,Italy,,Sustainable; Special Co-Lab/Limited Edition; Classic; New Formal; Informal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.fugato.it,info@fugato.it,,https://linkedin.com/company/fug,fug,https://www.instagram.com/fugato_official,fugato_official,https://facebook.com/fugato.official,fugato.official,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fug-to,True,True,False,4,
FUMEO CARLO,Italy,,Lifestyle; Essentials; Agender; Nordic Style; Japan Style; British Style; Classic; New Formal; Informal; Craftsmanship,Pitti Uomo 110,https://www.fumeocarlo.com,fumeo@fumeocarlo.it,+39 0362 563292,https://www.linkedin.com/company/fumeo-carlo,fumeo-carlo,https://www.instagram.com/ fumeo_carlo, fumeo_carlo,https://www.facebook.com/fumeocarlo,fumeocarlo,ARSENALE / PIANO TERRA / 31,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fumeo-carlo,True,True,True,5,
G.R.P.,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / I/11,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/g-r-p-,False,False,False,0,
G1920 - GARDEUR,Germany,,Lifestyle; Sustainable; Essentials; Classic; Premium Streetwear; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.g1920.com,info@g1920.com,+49 (0)2161 816 250,https://www.linkedin.com/company/gardeur,gardeur,https://www.instagram.com/gardeur.de,gardeur.de,https://www.facebook.com/gardeur.de,gardeur.de,PADIGLIONE CENTRALE / PIANO TERRA / H/20,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/g1920---gardeur,True,True,True,5,
GABBA,Denmark,,Lifestyle; Essentials; Nordic Style; Denimwear; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://www.gabba.com,info@gabba.com,+45 75 53 66 66,https://dk.linkedin.com/company/gabbadenim,gabbadenim,https://www.instagram.com/gabba.original,gabba.original,,,PADIGLIONE CAVANIGLIA / 16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gabba,True,True,True,5,
GABRIEL STUNZ,Germany,,Sustainable; Outdoor; Globetrotter; High Performance; Activewear; Luxury; Craftsmanship; Contemporary; Upcycling,Pitti Uomo 110,http://www.gabrielstunz.com,info@gabrielstunz.com,,https://www.linkedin.com/company/gabriel-stunz-design/,gabriel-stunz-design,https://www.instagram.com/gabrielstunz,gabrielstunz,,,PADIGLIONE CENTRALE / PIANO ATTICO / B/7,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gabriel-stunz,True,True,False,4,
GABRIELE PASINI,Italy,,,Pitti Uomo 110,https://www.gabrielepasini.com,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,,,,https://www.instagram.com/gabrielepasini,gabrielepasini,https://www.facebook.com/gabriele.pasini.16,gabriele.pasini.16,PADIGLIONE CENTRALE / PIANO INFERIORE / T/21,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gabriele-pasini,True,True,False,3,
GAIMO,Spain,,,Pitti Uomo 110,,,,,,,,,,,,,,False,False,False,0,
GALA GLOVES,Italy,,British Style; Classic; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.galagloves.it,,,,,https://www.instagram.com/galagloves,galagloves,,,PADIGLIONE CENTRALE / PIANO INFERIORE / S/21,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gala-gloves,False,True,False,2,
GALLIA KNIT PROJECT,Italy,,,Pitti Uomo 110,https://almalia.it,info@almalia.it,+39 030 6480 737,https://www.linkedin.com/company/almalia-hub/,almalia-hub,https://www.instagram.com/galliaknit_,galliaknit_,https://www.facebook.com/galliaconfezioni,galliaconfezioni,SALA DELLE NAZIONI / B/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gallia-knit-project,True,True,True,5,
GALLUCCI,Italy,,Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.galluccishoes.it,info@galluccishoes.it,+39 02 76002027,,,https://www.instagram.com/galluccishoes,galluccishoes,,,PADIGLIONE CENTRALE / PIANO INFERIORE / U/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gallucci,True,True,True,4,
GARDEN OF GOD,Italy,,,Pitti Uomo 110,http://www.gardenofgod.it,info@gardenofgod.it,05032330234,,,https://www.instagram.com/gardenofgod_italy,gardenofgod_italy,,,PADIGLIONE CAVANIGLIA / 64,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/garden-of-god,True,True,True,4,
GARRETT,Italy,,,Pitti Uomo 110,http://www.garrett-grt.com,info@garrett-grt.it,+39 331.2964659,,,https://www.instagram.com/garrettgrt,garrettgrt,,,PADIGLIONE CENTRALE / PIANO ATTICO / A/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/garrett,True,True,True,4,
GASSA D'AMANTE,Italy,,Lifestyle; Sustainable; Classic; Outdoor; Sportswear; Informal; Urban; Luxury; Craftsmanship; Upcycling,Pitti Uomo 110,https://gassadamante.com,info@gassadamante.com,,,,https://www.instagram.com/gassadamanteswimwear,gassadamanteswimwear,,,PADIGLIONE CAVANIGLIA / 100,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gassa-d-amante,True,True,False,3,
GAUDÍ UOMO,Italy,,Lifestyle; New Formal; Denimwear; Urban; Contemporary,Pitti Uomo 110,https://gaudi-fashion.com/it_it/uomo.html,cs@gaudi-fashion.com,56 46 48 50 52 54,,,https://www.instagram.com/gaudiofficial,gaudiofficial,https://www.facebook.com/GAUDI.it/,GAUDI.it,CORTILE LORENESI / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gaud--uomo,True,True,True,4,
GERRY ST. TROPEZ,Spain,,Outdoor; Activewear; Sportswear; Informal,Pitti Uomo 110,https://www.gerrysttropez.com,555info@gerrysttropez.com,+34) 937 120 555,,,https://www.instagram.com/gerrysttropez,gerrysttropez,https://www.facebook.com/gerrysttropez,gerrysttropez,PADIGLIONE CAVANIGLIA / 108,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gerry-st--tropez,True,True,True,4,
GHIRARDELLI NEXT,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / V/13-15 Z/12-14,,,,False,False,False,0,
GIABSARCHIVIO,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / F/3-5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/giabsarchivio,False,False,False,0,
GIANGI NAPOLI,Italy,,Lifestyle; Classic; New Formal; Denimwear; High Performance; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.gianginapoli.it,info@gianginapoli.it,+39 081 842 34 69,,,https://www.instagram.com/giangicamiceria,giangicamiceria,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 39,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/giangi-napoli,True,True,True,4,
GIANNETTO PORTOFINO,Italy,,Lifestyle; Sustainable; New Formal; Denimwear; Globetrotter; Informal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.giannettoportofino.it,info@giannettoportofino.it,0883 565000,,,https://www.instagram.com/giannettoportofino,giannettoportofino,,,PADIGLIONE CENTRALE / PIANO INFERIORE / T/9 U/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/giannetto-portofino,True,True,True,4,
GIANNI LUPO,Italy,,Lifestyle; Sustainable; Denimwear; Urban; Contemporary,Pitti Uomo 110,http://www.giannilupo.com,info@giannilupo.com,,,,https://www.instagram.com/giannilupo_man,giannilupo_man,https://www.facebook.com/giannilupoman,giannilupoman,CORTILE LORENESI / 2,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gianni-lupo,True,True,False,3,
GIANO,Italy,,Lifestyle; Essentials; Classic; New Formal; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.giano.eu,info@giano.eu,+39 0734 510489,https://www.linkedin.com/company/gianoeu/,gianoeu,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 17,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/giano,True,True,True,4,
GICAPRI,Italy,,,Pitti Uomo 110,http://www.gicapri.com,dpo@epssrl.com,+39 081 8026575,,,https://www.instagram.com/gicapri_official/,gicapri_official,https://www.facebook.com/GiCapri-a-giacchett-e-Capri-755121697888151,GiCapri-a-giacchett-e-Capri-755121697888151,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 7,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gicapri,True,True,True,4,
GIERRE MILANO,Italy,,Special Co-Lab/Limited Edition; Classic; New Formal; Luxury,Pitti Uomo 110,http://www.gierremilano.com,info@gierremilano.com,06259350152,,,https://www.instagram.com/gierremilano,gierremilano,https://www.facebook.com/Gierremilano-660359204086606/,Gierremilano-660359204086606,PADIGLIONE CENTRALE / PIANO TERRA / E/17,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gierre-milano,True,True,True,4,
GIMMI JEANS,Italy,,,Pitti Uomo 110,https://www.gimmijeans.com,gimmihq@gmail.com,+39 0444551678,,,https://www.instagram.com/gimmijeans,gimmijeans,,,SALA DELLE NAZIONI / B/24,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gimmi-jeans,True,True,True,4,
GIMO'S ITALIANA,Italy,,Sustainable; New Formal; Outdoor; Informal; Urban; Luxury; Craftsmanship,Pitti Uomo 110,http://www.gimos.com,info@gimos.com,00403830284,,,https://www.instagram.com/gimos_official,gimos_official,https://www.facebook.com/GimosOfficial/,GimosOfficial,PADIGLIONE CENTRALE / PIANO INFERIORE / S/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gimo-s-italiana,True,True,True,4,
GIOSA  MILANO,Italy,,,Pitti Uomo 110,http://www.giosamilano.com,info@giosamilano.com,+39 02 8699 7441,,,https://www.instagram.com/giosamilano,giosamilano,https://www.facebook.com/giosamilano,giosamilano,PADIGLIONE CENTRALE / PIANO INFERIORE / S/20,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/giosa--milano,True,True,True,4,
GMS75,Italy,,Lifestyle; Sustainable; Outdoor; Premium Streetwear; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.gimos.com,info@gimos.com,00403830284,,,https://www.instagram.com/gimos_official,gimos_official,https://www.facebook.com/GimosOfficial/,GimosOfficial,PADIGLIONE CENTRALE / PIANO INFERIORE / S/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gms75,True,True,True,4,
GNL FOOTWEAR,Switzerland,,Lifestyle; Nordic Style; High Performance; Activewear; Sportswear; Premium Streetwear; Informal; Urban; Collection,Pitti Uomo 110,http://www.gnlfootwear.com,info@gnlfootwear.com,227295337464990,,,https://www.instagram.com/gnlfootwear,gnlfootwear,,,PADIGLIONE CAVANIGLIA / 48,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gnl-footwear,True,True,True,4,
GOGUTSA,Georgia,,Lifestyle; Agender; Cutting-Edge; Japan Style; Globetrotter; Premium Streetwear; Urban; Youth Culture; Craftsmanship; Contemporary,Pitti Uomo 110,https://gogutsa.com,info@gogutsa.com,,,,https://www.instagram.com/gogutsaofficial,gogutsaofficial,,,PADIGLIONE CENTRALE / PIANO ATTICO / I/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gogutsa,True,True,False,3,
GOLDWIN,Japan,,Lifestyle; Japan Style; Outdoor; High Performance; Activewear; Sportswear; Urban,Pitti Uomo 110,http://www.goldwin-global.com,info@goldwineurope.com,,,,https://www.instagram.com/goldwin_global,goldwin_global,https://www.facebook.com/goldwin.global/,goldwin.global,SALA DELLE NAZIONI / B/12-14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/goldwin,True,True,False,3,
GOOD PEOPLE GOOD STITCHING GOOD PRODUCT,Japan,,,Pitti Uomo 110,https://www.marucho.net,info@marucho.net,03-3626-3900,,,https://www.instagram.com/ggg_tokyo_official,ggg_tokyo_official,,,PADIGLIONE CENTRALE / PIANO ATTICO / B/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/good-people-good-stitching-good-product,True,True,True,4,
GOORIN BROS.,U.S.A.,,Lifestyle; Agender; Cutting-Edge; Denimwear; Outdoor; Sportswear; Premium Streetwear; Urban; Youth Culture; Collection,Pitti Uomo 110,http://www.goorin.com,avincent@goorin.com,16 2026 1895,,,https://www.instagram.com/goorinbros,goorinbros,,,PADIGLIONE CAVANIGLIA / 33,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/goorin-bros-,True,True,True,4,
GOT BAG,Germany,,Lifestyle; Sustainable; Nordic Style; Outdoor; Urban; Upcycling,Pitti Uomo 110,https://got-bag.com,info@got-bag.com,,,,https://www.instagram.com/gotbag,gotbag,,,PADIGLIONE CAVANIGLIA / 111,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/got-bag,True,True,False,3,
GRAMMATIK DRAMMATIK,Romania,,,Pitti Uomo 110,https://releasedistribution.it/grammatik-drammatik,,,,,https://www.instagram.com/grammatikdrammatik,grammatikdrammatik,https://www.facebook.com/ReleaseDistribution/,ReleaseDistribution,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/grammatik-drammatik,False,True,False,2,
GRAN SASSO,Italy,,,Pitti Uomo 110,http://www.gransasso.it,info@gransasso.it,+39 02 794847,https://www.linkedin.com/company/maglificio-gran-sasso/,maglificio-gran-sasso,https://www.instagram.com/gransasso_official,gransasso_official,https://www.facebook.com/maglificiogransasso,maglificiogransasso,PADIGLIONE CENTRALE / PIANO INFERIORE / V/23-25,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/gran-sasso,True,True,True,5,
GREEN GEORGE,Italy,,British Style; Classic; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.greengeorge.it,info@greengeorge.it,+39 02 20404233,,,https://www.instagram.com/greengeorge1971,greengeorge1971,,,PADIGLIONE CENTRALE / PIANO INFERIORE / U/5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/green-george,True,True,True,4,
GREENTEX - WATERVILLE,Italy,,Outdoor; Sportswear; Informal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.greentex.it,info@greentex.it,+39) 0427 939095,,,https://www.instagram.com/waterville_italy,waterville_italy,https://www.facebook.com/watervilleIT/,watervilleIT,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/W/greentex---waterville,True,True,True,4,
GRIFFIN,United Kingdom,,,Pitti Uomo 110,,,,,,,,,,SALA DELLA RONDA / 7,,,,False,False,False,0,
GUANABANA HANDMADE,Spain,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Classic; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.guanabana.es,administracion@guanabana.es,,,,https://www.instagram.com/guanabanahandmade,guanabanahandmade,,,SALA DELLE NAZIONI / B/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/guanabana-handmade,True,True,False,3,
