Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook,Hall_Stand,Address
CLABRY,RUSSIAN FEDERATION,,,Pitti Uomo 110,,,,,https://www.instagram.com/clabry_,PADIGLIONE CENTRALE / PIANO ATTICO / J/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/clabry,,,,
CLAQ,ITALY,,Lifestyle; Essentials; Outdoor; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.claq.it,commerciale@claq.it,+39 0883 820297,,https://www.instagram.com/claqknitwear,PADIGLIONE CENTRALE / PIANO TERRA / J/1 K/4-6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/claq,,https://www.facebook.com/claqknitwear,,
CLASSIC LEGEND MOTORS,FRANCE,,Lifestyle; Special Co-Lab/Limited Edition; Essentials; Classic; Globetrotter; Informal,Pitti Uomo 110,https://www.classiclegendmotors.com/en-eu,info@classiclegendmotors.com,,,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/classic-legend-motors,,,,
CLUB OF COMFORT,GERMANY,,Essentials; New Formal; Denimwear; High Performance; Informal; Contemporary; Collection,Pitti Uomo 110,http://www.club-of-comfort.de,aa4cacd33be28673d7e69be559ce7ad7@o4506196830715904.ingest.us.sentry.io,24 25 26 27 28 29 30,https://www.linkedin.com/company/club-of-comfort,https://www.instagram.com/clubofcomfort.trousers,RONDINO / 10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/club-of-comfort,,,,
CMA,ITALY,,,Pitti Uomo 110,https://www.cmagroup.net,INFO@CMAGROUP.NET,+39 0815296886,https://www.linkedin.com/in/cma-hangers-and-packaging-26bb79311/,https://www.instagram.com/cma_group_,PADIGLIONE CENTRALE / PIANO TERRA / G/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/cma,,https://www.facebook.com/people/CMA-Hangers-Packaging/61560024686331/,,
CMF COMFY OUTDOOR GARMENTS - OUTOPIA BY VANISH,JAPAN,,,Pitti Uomo 110,,,,,,SALA DELLA RONDA / 24-25,,,,,
COLONY CLOTHING,JAPAN,,,Pitti Uomo 110,https://colonyclothing.net,contact@colonyclothing.net,3801-0168-139,,https://www.instagram.com/colonyclothing_official,PADIGLIONE CENTRALE / PIANO ATTICO / D/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/colony-clothing,,,,
COLORS OF CALIFORNIA,ITALY,,,Pitti Uomo 110,http://www.colorsofcalifornia.it,info@colorsofcalifornia.it,04165990484,,https://www.instagram.com/colorsofcalifornia,PADIGLIONE CAVANIGLIA / 41-45,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/colors-of-california,,https://www.facebook.com/ColorsOfCalifornia,,
CONSINEE,HONG KONG,,,Pitti Uomo 110,,,,,https://www.instagram.com/consineegroup,PADIGLIONE CENTRALE / PIANO INFERIORE / W/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/consinee,,,,
COOLWAY,SPAIN,,,Pitti Uomo 110,,,,,https://www.instagram.com/coolwaybrand,PADIGLIONE CAVANIGLIA / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/coolway,,,,
COOPETTEBROS,U.S.A.,,Agender; Cutting-Edge,Pitti Uomo 110,https://www.coopettebros.com,contact@coopettebros.com,,,,SALA DELLE NAZIONI / A/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/coopettebros,,,,
COPENHAGEN STUDIOS,GERMANY,,Lifestyle; Sustainable; Essentials; Nordic Style; Premium Streetwear; Urban; Youth Culture; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.copenhagenstudios.com,customercare@copenhagenstudios.com,36 37 38 39 40 41 42,,https://www.instagram.com/copenhagen_studios,PADIGLIONE CAVANIGLIA / 50-51,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/copenhagen-studios,,,,
CORSO MILLE,ITALY,,Lifestyle; Sustainable; Essentials; Classic; New Formal; High Performance; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.corso-mille.com,contact@corso-mille.com,,,https://www.instagram.com/corsomille,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 38,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/corso-mille,,https://www.facebook.com/CorsoMille/,,
COTOPAXI,U.S.A.,,,Pitti Uomo 110,http://www.artcrafts.it,,,,https://www.instagram.com/cotopaxi_italia,PADIGLIONE CAVANIGLIA / 41-45,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/cotopaxi,,,,
CRIMAGNO EARTH,SWITZERLAND,,Sustainable; Special Co-Lab/Limited Edition; Essentials; Agender; Cutting-Edge; Japan Style; Premium Streetwear; Urban; Collection; Upcycling,Pitti Uomo 110,https://crimagno.com,info@crimagno.com,,,https://www.instagram.com/crimagno_earth,PADIGLIONE CENTRALE / PIANO ATTICO / J/3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/crimagno-earth,,,,
CRIME LONDON,ITALY,,,Pitti Uomo 110,http://www.crimelondon.com,,,,https://www.instagram.com/crimelondon,PADIGLIONE CAVANIGLIA / 112,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/crime-london,,,,
CRISPI,ITALY,,Lifestyle; Outdoor; High Performance; Activewear; Urban; Craftsmanship; Collection,Pitti Uomo 110,https://www.crispi.it,info@crispi.it,01760300267,,https://www.instagram.com/crispiurbanoutdoor,SALA DELLA RONDA / 34,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/crispi,,https://www.facebook.com/crispi.sport,,
CROCKETT & JONES,UNITED KINGDOM,,British Style; Classic; Luxury; Craftsmanship,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 23,,,,,
CROCS,U.S.A.,,,Pitti Uomo 110,http://www.crocsitalia.it,info@crocsitalia.it,+39 0422 1440018,,https://www.instagram.com/crocsitaly,PADIGLIONE CAVANIGLIA / 41-45,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/crocs,,https://www.facebook.com/CrocsItaly,,
CROOTS ENGLAND,UNITED KINGDOM,,,Pitti Uomo 110,http://www.crootsengland.co.uk,retail@crootsengland.co.uk,+44 (0)1653 698 668,,https://www.instagram.com/crootsengland,PADIGLIONE CENTRALE / PIANO ATTICO / E/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/croots-england,,https://www.facebook.com/p/Croots-England-100057241008831/,,
CRUCIANI,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / D/10,,,,,
CRUNA,ITALY,,Lifestyle; Essentials; High Performance; Informal,Pitti Uomo 110,http://www.cruna.com,online@cruna.com,,,https://www.instagram.com/crunaofficial,PADIGLIONE CENTRALE / PIANO INFERIORE / V/7 Z/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/cruna,,,,
CYCLEUR DE LUXE,BELGIUM,,Sustainable; Essentials; Outdoor; Activewear; Sportswear; Premium Streetwear; Urban; Youth Culture; Craftsmanship; Contemporary,Pitti Uomo 110,https://www.cycleurdeluxe.com,customerservice@cycleurdeluxe.com,0866.405.582,,https://www.instagram.com/cycleurdeluxe,PADIGLIONE CAVANIGLIA / 117,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/C/cycleur-de-luxe,,,,
D.A.T.E.,ITALY,,Lifestyle; Contemporary,Pitti Uomo 110,http://www.date-sneakers.com,info@date-sneakers.com,+39 055 3951102,,https://www.instagram.com/date_sneakers,SALA DELLE NAZIONI / A/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/d-a-t-e-,,http://www.facebook.com/date.sneakers,,
DA.D ITALIAN LUXURY LEATHER GOODS,ITALY,,,Pitti Uomo 110,,,,,,ARSENALE / PIANO TERRA / 40,,,,,
DAMAT TWEEN,TURKEY,,Essentials; Classic; New Formal; Luxury; Contemporary,Pitti Uomo 110,https://www.damattween.com,info@damattween.com,4203-8743,,https://www.instagram.com/damattween,PADIGLIONE CENTRALE / PIANO TERRA / E/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/damat-tween,,https://www.facebook.com/DamatOfficial/,,
DANIELE ALESSANDRINI,ITALY,,,Pitti Uomo 110,https://danielealessandrini.com,commerciale@ottantaventisrl.com,+39 376 2834010,https://www.linkedin.com/company/danielealessandriniofficial,https://www.instagram.com/danielealessandrini.official,PADIGLIONE CENTRALE / PIANO TERRA / B/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/daniele-alessandrini,,,,
DANIELE FIESOLI,ITALY,,,Pitti Uomo 110,http://www.woolgroup.it,info@woolgroup.it,0558790078,,https://www.instagram.com/danielefiesoliitalia,CORTILE DEL TEATRINO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/daniele-fiesoli,,,,
DANWARD,ITALY,,,Pitti Uomo 110,https://danwardwear.com,info@danwardwear.com,+39 348 875 1990,,https://www.instagram.com/danwardwear,PADIGLIONE CENTRALE / PIANO ATTICO / I/8-10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/danward,,,,
DAVIDOFF,SWITZERLAND,,Lifestyle; Craftsmanship; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/zinodavidoff,PADIGLIONE CENTRALE / PIANO TERRA / C/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/davidoff,,,,
DEKKER,ITALY,,,Pitti Uomo 110,http://www.dekkeroriginal.com,customercare-online@dekkeroriginal.com,+39 02 8295 5578,,https://www.instagram.com/dekkeroriginal,PADIGLIONE CENTRALE / PIANO TERRA / K/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dekker,,,,
DELLA CIANA,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / D/6,,,,,
DEMON,ITALY,,,Pitti Uomo 110,https://demonfootwear.com,info@demonfootwear.com,37 38 39 40 41 42 43,,,SALA DELLA RONDA / 37,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/demon,,,,
DENOBLE,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / A/12-14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/denoble,,,,
DEPERLU,ITALY,,Lifestyle; Essentials; Globetrotter; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.deperlu.it,,,,https://www.instagram.com/deperlu,SALA DELLE NAZIONI / B/19,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/deperlu,,,,
DESOTO - THE ORIGINAL JERSEY FEELING,GERMANY,,Lifestyle; Sustainable; Essentials; Classic; Urban; Luxury,Pitti Uomo 110,https://www.desoto-shirts.de,service@desoto-shirts.de,+49 9191 83 458,,https://www.instagram.com/desotoshirts,PADIGLIONE CENTRALE / PIANO TERRA / E/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/desoto---the-original-jersey-feeling,,https://www.facebook.com/desotoshirts/,,
DEVORE INCIPIT,ITALY,,,Pitti Uomo 110,http://devoreincipit.com,info@devoreincipit.com,+39 081 522 7631,,https://www.instagram.com/devore_incipit,PADIGLIONE CENTRALE / PIANO INFERIORE / U/11 V/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/devore-incipit,,https://www.facebook.com/devoreincipit,,
DFOUR,ITALY,,Lifestyle; Sustainable; Japan Style; Classic; Outdoor; Sportswear; Premium Streetwear; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://www.d-four.it,info@d-four.it,+39 081 6550233,,https://www.instagram.com/dfourleatherproject,PADIGLIONE CENTRALE / PIANO ATTICO / B/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dfour,,https://www.facebook.com/official.dfour/,,
DICKIES,SWITZERLAND,,,Pitti Uomo 110,,,,,https://www.instagram.com/dickies_europe,AREA MONUMENTALE / SALA OTTAGONALE / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dickies,,,,
DIGEL,GERMANY,,Lifestyle; New Formal; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.digel.de,info@digel.de,,,https://www.instagram.com/digel.official,PADIGLIONE CENTRALE / PIANO TERRA / E/16-18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/digel,,,,
DIKTAT,ITALY,,,Pitti Uomo 110,http://www.diktat-italia.com,commerciale@almates.it,+39 0883 1716688,,https://www.instagram.com/diktatitalia_official,PADIGLIONE CENTRALE / PIANO TERRA / I/1-3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/diktat,,https://www.facebook.com/diktatitalia,,
DISCOTHÈQUE,UNITED KINGDOM,,,Pitti Uomo 110,https://discothequefragrances.com,hello@discothequefragrances.com,,,https://www.instagram.com/discothequefragrances,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/discoth-que,,,,
DISTRETTO12,ITALY,,Lifestyle; Sustainable; Nordic Style; Japan Style; New Formal; Outdoor; High Performance; Activewear; Urban; Contemporary,Pitti Uomo 110,http://www.distretto12.com,cs@distretto12.com,+39 342 619 4058,,https://www.instagram.com/distretto12official,PADIGLIONE CENTRALE / PIANO TERRA / A/18 B/17,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/distretto12,,,,
DNM BRIGLIA,ITALY,,,Pitti Uomo 110,http://www.briglia1949.com,nomeutente@esempio.com,07646531215,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dnm-briglia,,,,
DOMOZERO,ITALY,,Lifestyle; Sustainable; Agender; Outdoor; Activewear; Urban; Craftsmanship; Contemporary; Collection; Upcycling,Pitti Uomo 110,https://www.domozero.it,support@domozero.it,01904640602,,https://www.instagram.com/domozero,FURERIA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/domozero,,,,
DORIA 1905,ITALY,,Agender; Classic; New Formal; Informal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.doria1905.com,,,,https://www.instagram.com/doria1905,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 30,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doria-1905,,,,
DORIANI CASHMERE,ITALY,,Lifestyle; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.globalcashmere.it,info@globalcashmere.it,,,,PADIGLIONE CENTRALE / PIANO TERRA / C/14 D/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doriani-cashmere,,,,
DOUCAL'S,ITALY,,Lifestyle; Sustainable; Essentials; British Style; Classic; New Formal; Outdoor; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.doucals.com,support@doucals.com,280 8868777623798,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doucal-s,,,,
DOUGLAS HAYWARD,UNITED KINGDOM,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 28-34,,,,,
DOUUOD,ITALY,,,Pitti Uomo 110,,,,,,SALA DELLE NAZIONI / A/2,,,,,
DRESSLER,GERMANY,,Lifestyle; Classic; New Formal; Outdoor; Luxury; Collection,Pitti Uomo 110,https://dressler1929.com,info@dressler1929.com,+49 (0)6026- 50 20,https://www.linkedin.com/company/dressler-bekleidungswerke-brinkmann-gmbh-,https://www.instagram.com/dressler_official,PADIGLIONE CENTRALE / PIANO INFERIORE / S/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dressler,,https://www.facebook.com/dressler.official,,
DRYKORN,GERMANY,,Lifestyle; Essentials; Classic; New Formal; Denimwear; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.drykorn.com,info@drykorn.com,+49 388 742 49002,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-,https://www.instagram.com/drykorn_forbeautifulpeople,PADIGLIONE DELLE GHIAIA / 4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/drykorn,,https://www.facebook.com/drykorn/,,
DSTREZZED,NETHERLANDS,,Lifestyle; Essentials; British Style; Denimwear; Craftsmanship; Collection,Pitti Uomo 110,http://www.dstrezzed.com,hello@dstrezzed.com,28 29 30 31 32 33 34,,,COSTRUZIONI LORENESI / PIANO TERRA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dstrezzed,,,,
DUBLO,ITALY,,Sustainable; Japan Style; British Style; Classic; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://dublo.it,info@dublo.it,+39 0773 40821,https://www.linkedin.com/company/dublo-srl/,https://www.instagram.com/dublo1937,PADIGLIONE CENTRALE / PIANO TERRA / G/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dublo,,https://www.facebook.com/dublocalze1937/,,
DUCANERO,ITALY,,Lifestyle; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ducanero.it,info@ducanero.it,60019 071-2363957,,https://www.instagram.com/ducanero_official,SALA DELLE NAZIONI / A/36,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/ducanero,,,,
DUNO,ITALY,,,Pitti Uomo 110,http://www.d-duno.it,info@d-duno.it,06491260482,,,PADIGLIONE DELLE GHIAIA / 3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/duno,,,,
ECCO,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; Nordic Style; Outdoor; Activewear; Premium Streetwear; Informal; Urban; Contemporary; Collection,Pitti Uomo 110,https://it.ecco.com,contact@ecco.com,+45 7491 1625,http://linkedin.com/company/ecco-sko-as,https://www.instagram.com/ecco,FURERIA / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ecco,,,,
ECO-SHOPPER,ITALY,,Lifestyle; Sustainable; Essentials; Sportswear; Urban; Contemporary; Collection; Upcycling,Pitti Uomo 110,http://www.eco-shopper.it,info@eco-shopper.it,+39 051 0218732,https://www.linkedin.com/company/eco-shopper,https://www.instagram.com/ecoshopper,PADIGLIONE CENTRALE / PIANO TERRA / G/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/eco-shopper,,https://www.facebook.com/ecoshopper,,
ED HARDY,UNITED KINGDOM,,Lifestyle; British Style; Denimwear; Outdoor; Premium Streetwear; Urban; Youth Culture; Contemporary,Pitti Uomo 110,,,,,,ARMERIA / 25-29,,,,,
EDO CAMICERIA SARTORIALE,ITALY,,Lifestyle; Sustainable; Classic; Outdoor; Premium Streetwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,http://www.edocamicie.it,info@edocamicie.it,,,https://www.instagram.com/edocamicie,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/edo-camiceria-sartoriale,,,,
EDWARD GREEN,UNITED KINGDOM,,British Style; Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.edwardgreen.com,,,,https://www.instagram.com/edwardgreen1890,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 24-26,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/edward-green,,,,
EGNARTS - CODE KOREA,KOREA (SOUTH),,Classic; New Formal; Premium Streetwear; Informal; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,https://easynarts.com,info@easynarts.com,17.099.000,,https://instagram.com/dewi11official,POLVERIERA / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/egnarts---code-korea,,https://facebook.com/dewi11official,,
ELIA MAURIZI,ITALY,,,Pitti Uomo 110,http://www.eliamaurizi.eu,contact@eliamaurizi.eu,+39 0733 292382,,,ARSENALE / PIANO TERRA / 27,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/elia-maurizi,,,,
ELLESSE,ITALY,,,Pitti Uomo 110,http://www.ellesse.com,care@ellesse.com,,,https://www.instagram.com/ellesse,CORTILE POLVERIERA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ellesse,,https://www.facebook.com/ellesse/,,
EMANUELE MAFFEIS DAL 1958,ITALY,,,Pitti Uomo 110,http://www.emanuelemaffeis.it,info@emanuelemaffeis.it,+39 035 244592,https://www.linkedin.com/company/emanuele-maffeis---italian-tailor,https://www.instagram.com/emanuelemaffeis_tailor,PADIGLIONE CENTRALE / PIANO INFERIORE / V/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emanuele-maffeis-dal-1958,,https://www.facebook.com/EmanueleMaffeis.TailoredShirts/,,
EMENTA,PORTUGAL,,,Pitti Uomo 110,,,,,,ARMERIA / 21-23,,,,,
EMILE GARÇON,FRANCE,,Lifestyle; Sustainable; Classic; Luxury; Collection; Upcycling,Pitti Uomo 110,https://www.emilegarcon.com,info@mysite.com,123-456-7890,,https://www.instagram.com/emile_garcon,ARSENALE / PIANO TERRA / 47,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emile-gar-on,,https://www.facebook.com/wix,,
EMU AUSTRALIA,AUSTRALIA,,Lifestyle; Sustainable; Essentials; Classic; Outdoor; Craftsmanship,Pitti Uomo 110,https://emu-australia.it,info@amuvia.com,+39 0471 531244,,https://www.instagram.com/emuaustralia_italia,FURERIA / 5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emu-australia,,,,
EN DOFT,SWEDEN,,Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://endoft.com,hello@endoft.com,559216207601,,https://www.instagram.com/endoftav,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/en-doft,,,,
ENZO PISANO NAPOLI,ITALY,,,Pitti Uomo 110,http://www.enzopisano.it,info@enzopisano.it,+39 081 922 5088,,https://www.instagram.com/enzopisanonapoli,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/enzo-pisano-napoli,,,,
EP13,ITALY,,Lifestyle; Outdoor; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/ep13_shoes,PADIGLIONE CAVANIGLIA / 115,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ep13,,,,
EPHEMERAL DYADIC,TURKEY,,,Pitti Uomo 110,https://www.ephemeraldyadic.com/ed,info@EPHEMERALDYADIC.COM,,,https://www.instagram.com/ephemeraldyadic,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ephemeral-dyadic,,,,
EQUIPEMENT DE VIE,UNITED KINGDOM,,Lifestyle; Sustainable; Cutting-Edge; Outdoor; Globetrotter; High Performance; Activewear; Sportswear; Luxury; Contemporary,Pitti Uomo 110,http://www.equipementdevie.com,customerservice@equipementdevie.com,,,https://www.instagram.com/equipementdevie,SALA DELLE NAZIONI / B/38,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/equipement-de-vie,,,,
ERRICO FORMICOLA,ITALY,,,Pitti Uomo 110,http://www.erricoformicola.com,info@erricoformicola.com,+39 081 17760171,,https://www.instagram.com/erricoformicola,PADIGLIONE CENTRALE / PIANO INFERIORE / V/22,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/errico-formicola,,https://www.facebook.com/erricoformicolaofficial,,
ESERCITO,ITALY,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Activewear; Sportswear; Urban; Craftsmanship,Pitti Uomo 110,http://www.esercitosportswear.it,vendite@esercitosportswear.it,+39 3783048662,,https://www.instagram.com/esercitosportswear,PADIGLIONE CENTRALE / PIANO TERRA / J/9 K/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/esercito,,,,
ETIAM,JAPAN,,,Pitti Uomo 110,https://etiam.shop,info@etiam.shop,03-5823-4171,,https://www.instagram.com/etiam.2020,PADIGLIONE CENTRALE / PIANO ATTICO / E/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/etiam,,https://www.facebook.com/etiam.2020/,,
EUROPANN,FRANCE,,,Pitti Uomo 110,https://www.europann.com,info@europann.com,04 91 48 82 82,,https://www.instagram.com/europann_officiel,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/europann,,,,
EXTR4,ITALY,,Lifestyle; High Performance; Activewear; Sportswear; Premium Streetwear; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,https://www.extr4.it,assistenza.shoponline@primigi.it,+39 075 50 28 466,,https://www.instagram.com/extr4_sneakers,FURERIA / 9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/extr4,,https://www.facebook.com/profile.php,,
EXTRA VIRGO,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,,,
F. HAMMANN,GERMANY,,Lifestyle; Sustainable; Classic; Luxury,Pitti Uomo 110,http://fhammann.com,info@f-hammann.de,(0049) 069-814695,,https://www.instagram.com/hammann.leather,PADIGLIONE CENTRALE / PIANO INFERIORE / R/28,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/f--hammann,,https://www.facebook.com/pages/category/Product-Service/F-HAMMANN-Finest-Leathergoods-112160517108132/,,
F.H - ITALIA,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; High Performance; Sportswear; Premium Streetwear; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.fhstore.it,,,,https://www.instagram.com/fhstoremilano,PADIGLIONE CAVANIGLIA / 56,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/f-h---italia,,,,
FABI,ITALY,,,Pitti Uomo 110,http://www.fabishoes.it,,,,https://www.instagram.com/fabishoes,PADIGLIONE CENTRALE / PIANO INFERIORE / V/1 Z/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fabi,,,,
FABRIZIO DEL CARLO,ITALY,,,Pitti Uomo 110,,,,,,,,,,,
FABRIZIO LESI,ITALY,,,Pitti Uomo 110,https://www.fabriziolesi.it,info@fabriziolesi.it,+39 0521 482466,https://www.linkedin.com/company/fabrizio-lesi,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 44,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fabrizio-lesi,,,,
FAHERTY,U.S.A.,,,Pitti Uomo 110,,,,,,ARSENALE / PIANO TERRA / 17-19,,,,,
