name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval,email_source,website_source
G&F Textile (Nanjing),nanjing-gf-textile-corp-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/nanjing-gf-textile-corp-ltd.html,China,Jiangsu,Nanjing,211100,"B-1230,15 Oujiang Mansion, Dongxin South Road ,Jiangning District",,+86 25 5219 6958,+86 2552196938816,fay@njgftextile.com,,,,3,H3-D384,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:22:32,api,
Galaxy Sun Textiles,galaxy-sun-textiles-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/galaxy-sun-textiles-co-ltd.html,Hong Kong,,Kowloon,,704 Prince Edward Road East,"Unit 2901, 29/F, New Trend Centre",+852 2323 0885,,info@galaxysun.com.hk,https://www.galaxysun.com.hk,,,4,H4-H438,Tailored,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-23T06:14:01,api,api
Gear Textile Technology (Tongxiang),tongxiang-gear-textile-technology-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/tongxiang-gear-textile-technology-coltd.html,China,Zhejiang,Tongxiang,315192,"No.793 Tongren Road,Tongxiang,Jiaxing",,+86 8613867359619,,evarao@duomutex.com,,,,3,H3-A392,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:28:27,api,
Gentle Textile,zhengzhou-gentle-textile-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhengzhou-gentle-textile-coltd.html,China,Zhejiang,Zhengzhou,315192,"Room 1808,Building 8 ,No. 106,Hanghai Middle Street",,+86 136 4386 5026,+86 371 6534 9929,louis@gentletextile.com,https://www.gentletextile.com,,,4,H4-H401,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T06:12:14,api,api
Getd Industry,get-industry-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/get-industry-co-ltd.html,Hong Kong,,HongKong,999077,"Units A-B, 15/F., TAL Building, 49 Austin Road, kl, HK",,,,jeans@getd.net,,,,3,H3-D395,All About Her,New Exhibitor,,,,,,,,,,,,,,,,,2026-02-23T10:51:01,api,
Gintextile International Trade (Wuxi),wuxi-gintextile-international-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/wuxi-gintextile-international-trade-co-ltd.html,China,Jiangsu,Wuxi,315192,"13,1Bld,530,100 Dicui Rd, Binhu",,+86 00000000000,,chuke@gintextile.com,,,,4,H4-H528,Intimate,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-29T16:41:32,api,
Global Textile,global-textile-holdings,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/global-textile-holdings.html,Pakistan,Punjab,Lahore,54000,"Gulberg # 2 Block H, House # 6 E.",,+92 347 1234789,,aliraza@globtextile.com,https://www.globaltextile.com,,,4,H4-H518,Casual & Sports,New Exhibitor,,,,,,,,,,,,,,,,,2026-01-07T17:24:27,api,api
GMT Textile,gmt-textile,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/gmt-textile.html,Türkiye,,Istanbul,,no.1/1 -,15 temmuz mah 1432.sok,,,gulcin@gmttex.com,https://pro.foursource.com/gmt-tekstil-gida-turizm-san-tic-ltd-st,,,3,H3-B319,Casual & Sports,,,,,,,,,,,,,,,,,,2026-01-26T12:40:11,api,api
Gold Headwear,gold-hats-france,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/gold-hats-france.html,France,Occitanie,Montpellier,34080,399 Rue Georges Seguy,,+33 7 61 33 98 08,,adrien@gold-headwear.com,https://www.gold-headwear.com,,Gold Headwear is a full service premium custom headwear manufacturer with production facilities in Asia and in France. Providing...,4,H4-H552,Fashion Accessories,New Exhibitor,,,,,,,,,,,,,,,,company_pictures/10000073202601/489625/1768927412292_1330342982.png,2026-01-23T19:05:46,api,api
Golden Attires Fashion,golden-attires-fashion-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/golden-attires-fashion-ltd.html,Bangladesh,,Dhaka,1341,"B.R.S. no. 3723, Boro Ashulia, Ashulia",,+880 1718-669858,,chairman@goldenfashionwear.com,,,,3,H3-B326,Knitted,,,,,,,,,,,,,,,,,,2025-12-24T15:53:44,api,
Goldmyk Industrial (Qingdao),qingdao-goldmyk-industrial-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/qingdao-goldmyk-industrial-co-ltd.html,China,Shandong,Qingdao,266071,"15F, Building 2#, Ningxia Road 288#, Shinan District",,+86 532 8562 7988,,export@goldmyk.com,https://www.goldmyk.com,,,4,H4-G572,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-23T14:06:51,api,api
Grand Apparels Designs,nice-team-enterprise-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/nice-team-enterprise-limited.html,Hong Kong,,Hong Kong,999077,2 - 6 Granville Road,"Room 601, Albion Plaza",+852 6401 2488,,jessie@niceteam.hk,https://niceteam.hk,,,4,H4-H530,Intimate,,,,,,,,,,,,,,,,,,2025-12-20T06:11:12,api,api
Grand Apparels Designs,grand-apparels-designs-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/grand-apparels-designs-limited.html,Hong Kong,Kowloon,Tsim Sha Tsui,,N°100 Granville Road,"Flat/Rm 807, 8/F Harbour Crystal Centre",+852 2368 8666,,nice@grandstep.cn,https://www.grandapparels.com,,,3,H3-B367,All About Her,,,,,,,,,,,,,,,,,,2026-03-03T12:04:23,api,api
Great Imp. & Exp. (Shaoxing),shaoxing-great-importexport-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-great-importexport-coltd.html,China,Zhejiang,Shaoxing,315192,"Room 2201, Building 2, No. 23 Yuedongnan Road, Paojiang New District",,+86 137 7732 1408,,495654003@qq.com,,,,3,H3-B375,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:22:33,api,
Gtig Esen (Jiangsu),jiangsu-gtig-esen-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiangsu-gtig-esen-coltd.html,China,Jiangsu,Zhangjiagang,215600,F5-12 B Guotai Finance Square No 1 Binhe Rd Yangshe Town,,+86 512 5869 6090,+86 512 5818 3912,alma.ma@gtig-esen.com,https://gtig-esen.com,,,4,H4-G424,Tailored,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-19T12:28:05,api,api
GTIG Huatai (Jiangsu),jiangsu-gtig-huatai-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiangsu-gtig-huatai-co-ltd.html,China,Jiangsu,Zhangjiagang,215600,Huachang Oriental Plaza,15/16f,+86 512 5869 6913,+86 512 5869 6701,xfsure@vip.163.com,https://www.jsgtht.com,,,4,H4-H512,Casual & Sports,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-19T12:22:34,api,api
Guangzhou Crown Accessories,guangzhou-crown-accessories-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/guangzhou-crown-accessories-coltd.html,China,Guangdong,Foshan,528200,no.81 Nanhai Avenue,"4202, A2 Building 1st, Xinghuiyunjin Square,",,,manage.kihon@hotmail.com,https://pro.foursource.com/guangzhou-crown-accessories-coltd-2,,,3,H3-B319,Fashion Accessories,,,,,,,,,,,,,,,,,,2026-01-26T12:40:16,api,api
Guangzhou Topsty Garments,guangzhou-topsty-garments-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/guangzhou-topsty-garments-coltd.html,China,Guangdong,Guangzhou,,Xiaogang 12th.Industrial Area,"3th.Floor,4th.Buiding",,,tina@topsty.cn,https://pro.foursource.com/topstygarments,,,3,H3-B319,Knitted,,,,,,,,,,,,,,,,,,2026-01-26T12:40:13,api,api
Guanyou Import & Export (Hangzhou),hangzhou-guanyou-import--export-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hangzhou-guanyou-import--export-coltd.html,China,Zhejiang,Hangzhou,317100,"Linpu Town,Xiaoshan","No.90, Shi Jia Du, Zhuluo Village",+86 5718247238,+86 5718247238,sophia@hotmail.com,,,,4,H4-F455,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:09:07,api,
Guoou Trading (Dongguan),dongguan-guoou-trading-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/dongguan-guoou-trading-co-ltd.html,China,Guangdong,Dongguan,523777,"Room 301,No.26,Shunxing 4Th Road,Dalang Town",,+86 769 8337 0001,+86 83370007,maggie.jing@goknitwear.com,https://www.goknitwear.com,,,4,H4-E477,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:22:34,api,api
Guotai Huasheng Industrial (Jiangsu),jiangsu-guotai-huasheng-industrial-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiangsu-guotai-huasheng-industrial-co-ltd.html,China,Jiangsu,Zhangjiagang,215600,"7-22,No.125 Renmin Rd Guotai New Century Plaza",,+86 512 5631 2351,+86 512 5868 6837,tiger@gths.cn,https://www.gths.cn,,,3,H3-A357,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:20:46,api,api
GWC Socks (Zhuji),zhuji-gwc-socks-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhuji-gwc-socks-coltd.html,China,Zhejiang,Zhuji,315192,Jianlu Village,,+86 159 8820 8206,,jane-guo@gwcsocks.com,,,,4,H4-F531,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-19T12:20:46,api,
H&F Fashion,hf-fashion-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hf-fashion-ltd.html,Bangladesh,,DHAKA,1216,"Road # 09, Main Road",House # 581-582 (3rd & 4th Floor),,,harun@hffashionbd.com,https://www.hffashionbd.com,,,3,H3-C370,All About Her,New Exhibitor,,,,,,,,,,,,,,,,,2025-11-14T14:37:00,api,api
Haichang (Ningbo),ningbo-haichang-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-haichang-coltd.html,China,Zhejiang,Ningbo,315000,Room604 No3 Buiding North Bank Futune Centre,,+86 574 8737 0358,,lindahlp@nbhaichang.com,,,,3,H3-C346,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:09:02,api,
Haishu Ruyi Garment (Ningbo),ningbo-haishu-ruyi-garment-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-haishu-ruyi-garment-coltd.html,China,Zhejiang,Ningbo,315192,"Zhangjiatan Village, Gulin Town",,+86 574 8768 3641,+86 0574,roger@fashray.com,,,,4,H4-H475,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:14:04,api,
Hammer Imp. & Exp. (Hangzhou),hangzhou-hammer-imp--exp-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hangzhou-hammer-imp--exp-coltd.html,China,Zhejiang,Hangzhou,310000,"Century Avenue 168,","Ideal Tower 901,",+86 57113757179785,,hammersys@126.com,,,,4,H4-G457,Tailored,New Exhibitor; Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-23T18:19:10,api,
Haomei Fashion (Jiaxing),jiaxing-haomei-fashion-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-haomei-fashion-coltd.html,China,Zhejiang,Jiaxing,315192,"Beijian Chuangxin Yuan,No.77,Xiuyuan Rd,No966",,+86 135 1130 3858,,ludolfmoon@163.com,,,,3,H3-D368,All About Her,,,,,,,,,,,,,,,,,,2025-12-29T16:24:04,api,
Haona Imp. & Exp. (Shaoxing),shaoxing-haona-imp--exp-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-haona-imp--exp-co-ltd.html,China,Zhejiang,Shaoxing,315192,"Rm326, Times Building, Zhongxing(M) Rd,Yuecheng",,+86 138 1950 9133,,selina@haonatex.com,,,,3; null,H3-A386; Hnull,All About Her,,,,,,,,,,,,,,,,,,2025-12-29T16:39:25,api,
Haoqian Textile Garment (Shaoxing),shaoxing-haoqian-textile-garment-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-haoqian-textile-garment-co-ltd.html,China,Zhejiang,Shaoxing,312000,NO.1577 XINGYUE ROAD,"4F,FORTUNE & WISDOM INTERNATIONAL,",+86 186 5753 2376,,hq210505@wonderfulgroup.net,,,,4,H4-E493,Knitted,New Exhibitor,,,,,,,,,,,,,,,,,2025-12-19T17:36:14,api,
Haoyu Clothing (Yiwu),yiwu-haoyu-clothing-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/yiwu-haoyu-clothing-co-ltd.html,China,Zhejiang,Yiwu,322000,"HONGQI INDUSTRIAL,","NO.6 LONGXI ROAD,",+86 137 5792 5650,,,,,,4,H4-H533,Intimate,New Exhibitor,,,,,,,,,,,,,,,,,2025-12-19T12:10:10,,
Happy Trading Imp. & Exp. (Shaoxing),shaoxing-happy-trading-impand-expco-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-happy-trading-impand-expco-ltd.html,China,Zhejiang,Shaoxing,315192,"Room1003, Building 3 Shaoxing Shuimu Bay Area Science Park,No.2 Pingjiang Road",,+86 575 8824 9906,,fanny@sxhappytrading.com,https://www.sxhappytrading.com,,,4,H4-H431,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:24:19,api,api
Harbour Bridge Clothing (Qingdao),qingdao-harbour-bridge-clothing-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/qingdao-harbour-bridge-clothing-coltd.html,China,Shandong,Qingdao,315192,"Room 1-801,Art&Technology Space Center,No.63 Haier Road",,+86 532 5557 6580,+86 532 5557 6539,leanne@hbqd.com.cn,,,,4,H4-H477,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:10:32,api,
Hawassa ASSOCIATION,hawassa-association,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hawassa-association.html,Ethiopia,,,,,,,,hibrethipia@gmail.com,,,,3,H3-B312,Casual & Sports,,,,,,,,,,,,,,,,,,2026-01-06T08:53:01,api,
Healcell Biomaterial Technology (Shandong),shandong-healcell-biomaterial-technology-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shandong-healcell-biomaterial-technology-co-ltd.html,China,Shandong,Yantai,264000,"No. 5-4, Feilong Road, Laishan District",,+86 8613031658139,,zhuruoxi1999@163.com,https://www.healcell.com,,,4,H4-F513,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-22T17:26:56,api,api
Hechuan Economic Development (Zhejiang),zhejiang-hechuan-economic-development-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhejiang-hechuan-economic-development-coltd.html,China,Zhejiang,Hangzhou,315192,"11/F,Buliding B1,599 Kangxin Rd,Linping District",,+86 138 1914 8971,,1354992533@qq.com,,,,3,H3-D372,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:19:42,api,
Hefei Tinya Textile (Anhui),hefei-tinya-textile-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hefei-tinya-textile-coltd.html,China,Anhui,Hefei,315192,"Room 1603, Building A1, Shangze Times Plaza, 690 Lianhua Road,Economic And Technological Development Zone, Hefei City, Anhui Pro",,+86 191 6553 2060,,fiona@tinyutex.com,,,,4,H4-F547,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-19T10:24:37,api,
Hehui （Hotway） Manufacturer,tonglu-hehui-impexpcoltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/tonglu-hehui-impexpcoltd.html,China,Zhejiang,Hangzhou,311500,"Room 2106, Huifeng Bldgno.121 Yingchun S.Rd Tonglu",,+86 186 0575 2729,+86 571 6436 6602,jason.w@hot-way.com.cn,https://www.tlhcfs.com,,,4,H4-F409,Tailored,,,,,,,,,,,,,,,,,,2025-12-23T14:26:21,api,api
Helena Textile (Shanghai),shanghai-helena-textile-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shanghai-helena-textile-coltd.html,China,Shanghai,Qingpu District,200051,"Room 503, Building D.Shenbao Art& Creative Park.No.1568 Huqingping Rd",,+86 21 6233 9919,,jenny@helena-forb.com,https://www.helena-forbes.com,,,3; null,H3-D386; Hnull,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:26:04,api,api
Hengrun Imp. & Exp. (Suzhou),suzhou-hengrun-ie-corpltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/suzhou-hengrun-ie-corpltd.html,China,Jiangsu,Suzhou,315192,No. 888 Chenghu Road,,+86 512 8957 0082,+86 512 6529 3833,ritazhao@hengrunchina.com,https://www.hengrunchina.com,,,3,H3-A340,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:16:32,api,api
Hengxu Vogue Apparel (Jinjiang),shaoxing-joe-cotton-garments-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-joe-cotton-garments-co-ltd.html,China,Zhejiang,Shaoxing,,CAOE STREET.,NO 1821 WEST RENMIN ROAD .,+86 575 8205 0088,+86 575 8205 0088,joelurex@163.com,https://www.joelurex.com,,,4,H4-F447,Tailored,,,,,,,,,,,,,,,,,,2025-12-30T10:23:21,api,api
Hermo Manufacture (Jinhua),jinhua-hermo-manufacture-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jinhua-hermo-manufacture-coltd.html,China,Zhejiang,Jinhua,315192,101 Yongda Street Wucheng District,,+86 8618367973571,,polly.ye@grandgure.com.cn,https://WWW.GRANDURE.COM,,,4,H4-E556,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-29T16:24:04,api,api
Highland Trading (Hangzhou),hangzhou-highland-trading-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hangzhou-highland-trading-coltd.html,China,Zhejiang,Hangzhou,315192,"15F,Building 2,United Plaza,58 Qianjiang Road",,+86 138 5805 9535,,angie_young@forest-fashion.com,,,,4,H4-G431,Tailored,,,,,,,,,,,,,,,,,,2025-12-29T16:24:47,api,
Hisun IE (Jiaxing),jiaxing-hisun-imp--exp-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-hisun-imp--exp-coltd.html,China,Zhejiang,Jiaxing,315192,"Unit Rm801,Fuyue Crystal Building Bussiness Centreno.28 Middle West Road,Jiaxing 314000",,+86 573 8260 0226,+86 573 8260 0205,sterling@hisuntextiles.com,https://www.hisuntextiles.com,,,3,H3-D346,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:14:05,api,api
Hodo Foreign Trade (Jiangsu),jiangsu-hodo-foreign-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiangsu-hodo-foreign-trade-co-ltd.html,China,Jiangsu,Wuxi City,214199,Gangxia Town,,+86 510 6686 8621,,summer.hua@hongdou.com,https://WWW.HONGDOU.COM,,,3,H3-D398,All About Her,,,,,,,,,,,,,,,,,,2025-12-29T16:42:05,api,api
Honest Clothes Making (Zhengzhou),zhengzhou-honest-clothes-making-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhengzhou-honest-clothes-making-coltd.html,China,Zhejiang,Zhengzhou,315192,"West Side Of Rongze Avenue South Section, Rongyang City",,+86 136 2381 2850,+86 371 6088 0357,johnson@zzhonest.cn,https://www.zzhonest.cn,,,4,H4-G417,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:22:54,api,api
Hong Runda Imp. & Exp. (Zhejiang),zhejiang-hong-runda-import-and-export-corporation-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhejiang-hong-runda-import-and-export-corporation-ltd.html,China,Zhejiang,Hangzhou,313009,"Room 2005, Building 1, Tongda Mansion, No. 6, Jiuhuan Road, Shangcheng District, Hangzhou City, Zhej",,+86 139 5715 7158,,darren@chinafashionwear.com,,,,3,H3-C333,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:23:58,api,
Hongchuang Imp. & Exp. (Jiaxing),jiaxing-hongchuang-ie-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-hongchuang-ie-coltd.html,China,Zhejiang,Jiaxing,314001,"Room 802, Fudi Spuare, No.2608 Zhonghuan South Roadeconomic And Technological Development Zone",,+86 8618657153617,,zhaodanqing@vip.163.com,,,,4,H4-H497,Kids,,,,,,,,,,,,,,,,,,2025-12-19T12:10:32,api,
Hongdou International Trade (Wuxi),wuxi-hongdou-international-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/wuxi-hongdou-international-trade-co-ltd.html,China,Jiangsu,Wuxi City,315192,Donggang Town,,+86 510 6686 5953,,annie.zhang@hongdou.com,https://www.style3d.com/r/mjp7,,,4,H4-G462,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:16:10,api,api
Hongqian Textile (Suzhou),suzhou-hongqian-textile-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/suzhou-hongqian-textile-co-ltd.html,China,Jiangsu,Zhangjiagang,215600,"11Flvzhi Center ,No.404 Zhongxing Road",,+86 25 5285 6799,,jason@hongqiantex.com,https://www.hongqiantex.com/,,,3,H3-A398,All About Her,,,,,,,,,,,,,,,,,,2025-12-18T14:53:43,api,api
Hongrun Garments (Dongguan City),dongguan-city-hongrun-garments-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/dongguan-city-hongrun-garments-coltd.html,China,Guangdong,Dongguan,523560,"No.16,Sukeng One Road,Changping Town",,+86 769 8232 2932,,xing@hr222888.cn,,,,3,H3-C360,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:17:14,api,
Hongtex Hong Kong,hongtex-hong-kong-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hongtex-hong-kong-ltd.html,Hong Kong,,Hong Kong,99077,"HART AVENUE PLAZA, 5-9 HART AVENUE","FLAT/RM 1708, 17/F",+852 2354 5077,,yama@hongtex.com.hk,,,,3,H3-A333,All About Her,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2026-03-13T11:38:01,api,
Hongxi Textile (Shaoxing),shaoxing-hongxi-textile-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-hongxi-textile-co-ltd.html,China,Zhejiang,Shaoxing,315192,Room507-1 Haowang Building Zhongxing Road 601#,,+86 8613615853929,,56061478@qq.com,,,,3,H3-B395,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:09:49,api,
Hongyue Textile & Apparel (Shaoxing),shaoxing-hongyue-textile--apparel-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-hongyue-textile--apparel-co-ltd.html,China,Zhejiang,Shaoxing,312000,"6/F Block 10. No. 294 Chang Pu Street, Paojiang",,+86 575 8855 0311,+86 575 8895 0335,eva@yuandatex.com,,,,3,H3-B378,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:21:07,api,
Hongyun Clothing (Ningbo),ningbo-hongyun-clothing-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-hongyun-clothing-co-ltd.html,China,Zhejiang,Ningbo,,"NO.1988, BEISANHUAN EAST ROAD","1609ROOM, HENGYUAN PLAZA BUILDING A,",+86 574 6300 3673,,sammi@ningbohongyun.com,https://ningbohongyun.net/,,,3,H3-D392,All About Her,New Exhibitor,,,,,,,,,,,,,,,,,2026-03-17T16:53:02,api,api
Honorize Apparel (Ningbo),ningbo-honorize-apparel-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-honorize-apparel-coltd.html,China,Zhejiang,Ningbo,315000,"Suite 606,No.825 Taikang Middle Rd, Yinzhou",,+86 574 8822 6500,,info@honorize.net,https://www.honorize.net,,,4,H4-G467,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:13:02,api,api
Houjue Supply Chain Management (Guangzhou),guangzhou-houjue-supply-chain-management-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/guangzhou-houjue-supply-chain-management-co-ltd.html,China,Guangdong,Guangzhou,511431,"No. 3, Nan Gui Road, Luopu Street,","Room 507, Building A3,",+86 852 071 5858,,1505744857@qq.com,,,,3,H3-C399,All About Her,New Exhibitor,,,,,,,,,,,,,,,,,2025-12-26T18:38:05,api,
Houxiong Industry & Trade (Xiamen),xiamen-houxiong-industry--trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/xiamen-houxiong-industry--trade-co-ltd.html,China,Fujian,Xiamen,361022,"Unit 1702-2, 17Th Floor, No.56 Chengyi North Streetsoftware Park, Torch High-Tech Zone",,+86 151 6072 2926,,summer@xmhouxiong.com,https://WWW.XMHOUXIONG.COM,,,4,H4-H522,Intimate,,,,,,,,,,,,,,,,,,2025-12-19T12:31:02,api,api
