Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook
DA.D ITALIAN LUXURY LEATHER GOODS,ITALY,,,Pitti Uomo 110,,,,,,ARSENALE / PIANO TERRA / 40,,,
DAMAT TWEEN,TURKEY,,Essentials; Classic; New Formal; Luxury; Contemporary,Pitti Uomo 110,https://www.damattween.com,,+20260313832,,https://www.instagram.com/damattween,PADIGLIONE CENTRALE / PIANO TERRA / E/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/damat-tween,,https://www.facebook.com/DamatOfficial/
DANIELE ALESSANDRINI,ITALY,,,Pitti Uomo 110,https://danielealessandrini.com,,,,https://www.instagram.com/danielealessandrini.official,PADIGLIONE CENTRALE / PIANO TERRA / B/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/daniele-alessandrini,,
DANIELE FIESOLI,ITALY,,,Pitti Uomo 110,http://www.woolgroup.it,info@woolgroup.it,3450058,,https://www.instagram.com/danielefiesoliitalia,CORTILE DEL TEATRINO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/daniele-fiesoli,,
DANWARD,ITALY,,,Pitti Uomo 110,https://danwardwear.com,,,,https://www.instagram.com/danwardwear,PADIGLIONE CENTRALE / PIANO ATTICO / I/8-10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/danward,,
DAVIDOFF,SWITZERLAND,,Lifestyle; Craftsmanship; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/zinodavidoff,PADIGLIONE CENTRALE / PIANO TERRA / C/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/davidoff,,
DEKKER,ITALY,,,Pitti Uomo 110,http://www.dekkeroriginal.com,,+02263200467,,https://www.instagram.com/dekkeroriginal,PADIGLIONE CENTRALE / PIANO TERRA / K/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dekker,,
DELLA CIANA,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / D/6,,,
DEMON,ITALY,,,Pitti Uomo 110,https://demonfootwear.com,,,,,SALA DELLA RONDA / 37,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/demon,,
DENOBLE,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / A/12-14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/denoble,,
DEPERLU,ITALY,,Lifestyle; Essentials; Globetrotter; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.deperlu.it,,,,https://www.instagram.com/deperlu,SALA DELLE NAZIONI / B/19,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/deperlu,,
DESOTO - THE ORIGINAL JERSEY FEELING,GERMANY,,Lifestyle; Sustainable; Essentials; Classic; Urban; Luxury,Pitti Uomo 110,https://www.desoto-shirts.de,service@desoto-shirts.de,+49 9191 83 458,,https://www.instagram.com/desotoshirts,PADIGLIONE CENTRALE / PIANO TERRA / E/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/desoto---the-original-jersey-feeling,,https://www.facebook.com/desotoshirts/
DEVORE INCIPIT,ITALY,,,Pitti Uomo 110,http://devoreincipit.com,,+39 081 522 7631,,https://www.instagram.com/devore_incipit,PADIGLIONE CENTRALE / PIANO INFERIORE / U/11 V/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/devore-incipit,,https://www.facebook.com/devoreincipit
DFOUR,ITALY,,Lifestyle; Sustainable; Japan Style; Classic; Outdoor; Sportswear; Premium Streetwear; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://www.d-four.it,,+39 081 6550233,,https://www.instagram.com/dfourleatherproject,PADIGLIONE CENTRALE / PIANO ATTICO / B/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dfour,,https://www.facebook.com/official.dfour/
DICKIES,SWITZERLAND,,,Pitti Uomo 110,,,,,https://www.instagram.com/dickies_europe,AREA MONUMENTALE / SALA OTTAGONALE / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dickies,,
DIGEL,GERMANY,,Lifestyle; New Formal; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.digel.de,,,,https://www.instagram.com/digel.official,PADIGLIONE CENTRALE / PIANO TERRA / E/16-18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/digel,,
DIKTAT,ITALY,,,Pitti Uomo 110,http://www.diktat-italia.com,commerciale@almates.it,+39 0883 1716688,,https://www.instagram.com/diktatitalia_official,PADIGLIONE CENTRALE / PIANO TERRA / I/1-3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/diktat,,https://www.facebook.com/diktatitalia
DISCOTHÈQUE,UNITED KINGDOM,,,Pitti Uomo 110,https://discothequefragrances.com,,,,https://www.instagram.com/discothequefragrances,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/discoth-que,,
DISTRETTO12,ITALY,,Lifestyle; Sustainable; Nordic Style; Japan Style; New Formal; Outdoor; High Performance; Activewear; Urban; Contemporary,Pitti Uomo 110,http://www.distretto12.com,,,,https://www.instagram.com/distretto12official,PADIGLIONE CENTRALE / PIANO TERRA / A/18 B/17,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/distretto12,,
DNM BRIGLIA,ITALY,,,Pitti Uomo 110,http://www.briglia1949.com,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dnm-briglia,,
DOMOZERO,ITALY,,Lifestyle; Sustainable; Agender; Outdoor; Activewear; Urban; Craftsmanship; Contemporary; Collection; Upcycling,Pitti Uomo 110,https://www.domozero.it,support@domozero.it,+01904640602,,https://www.instagram.com/domozero,FURERIA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/domozero,,
DORIA 1905,ITALY,,Agender; Classic; New Formal; Informal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.doria1905.com,,0617660,,https://www.instagram.com/doria1905,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 30,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doria-1905,,
DORIANI CASHMERE,ITALY,,Lifestyle; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.globalcashmere.it,info@globalcashmere.it,,,,PADIGLIONE CENTRALE / PIANO TERRA / C/14 D/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doriani-cashmere,,
DOUCAL'S,ITALY,,Lifestyle; Sustainable; Essentials; British Style; Classic; New Formal; Outdoor; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.doucals.com,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / R/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/doucal-s,,
DOUGLAS HAYWARD,UNITED KINGDOM,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 28-34,,,
DOUUOD,ITALY,,,Pitti Uomo 110,,,,,,SALA DELLE NAZIONI / A/2,,,
DRESSLER,GERMANY,,Lifestyle; Classic; New Formal; Outdoor; Luxury; Collection,Pitti Uomo 110,https://dressler1929.com,info@dressler1929.com,+49 (0)6026- 50 20,https://www.linkedin.com/company/dressler-bekleidungswerke-brinkmann-gmbh-,https://www.instagram.com/dressler_official,PADIGLIONE CENTRALE / PIANO INFERIORE / S/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dressler,,https://www.facebook.com/dressler.official
DRYKORN,GERMANY,,Lifestyle; Essentials; Classic; New Formal; Denimwear; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.drykorn.com,,+49 388 742 49002,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-,https://www.instagram.com/drykorn_forbeautifulpeople,PADIGLIONE DELLE GHIAIA / 4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/drykorn,,https://www.facebook.com/drykorn/
DSTREZZED,NETHERLANDS,,Lifestyle; Essentials; British Style; Denimwear; Craftsmanship; Collection,Pitti Uomo 110,http://www.dstrezzed.com,,,,,COSTRUZIONI LORENESI / PIANO TERRA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dstrezzed,,
DUBLO,ITALY,,Sustainable; Japan Style; British Style; Classic; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://dublo.it,info@dublo.it,+39 0773 40821,https://www.linkedin.com/company/dublo-srl/,https://www.instagram.com/dublo1937,PADIGLIONE CENTRALE / PIANO TERRA / G/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/dublo,,https://www.facebook.com/dublocalze1937/
DUCANERO,ITALY,,Lifestyle; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ducanero.it,,,,https://www.instagram.com/ducanero_official,SALA DELLE NAZIONI / A/36,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/ducanero,,
DUNO,ITALY,,,Pitti Uomo 110,http://www.d-duno.it,,,,,PADIGLIONE DELLE GHIAIA / 3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/D/duno,,
ECCO,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; Nordic Style; Outdoor; Activewear; Premium Streetwear; Informal; Urban; Contemporary; Collection,Pitti Uomo 110,https://it.ecco.com,legal@ecco.com,+45 7491 1625,http://linkedin.com/company/ecco-sko-as,https://www.instagram.com/ecco,FURERIA / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ecco,,https://www.facebook.com/help/accessibility
ECO-SHOPPER,ITALY,,Lifestyle; Sustainable; Essentials; Sportswear; Urban; Contemporary; Collection; Upcycling,Pitti Uomo 110,http://www.eco-shopper.it,info@eco-shopper.it,+39 051 0218732,https://www.linkedin.com/company/eco-shopper,https://www.instagram.com/ecoshopper,PADIGLIONE CENTRALE / PIANO TERRA / G/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/eco-shopper,,https://www.facebook.com/ecoshopper
ED HARDY,UNITED KINGDOM,,Lifestyle; British Style; Denimwear; Outdoor; Premium Streetwear; Urban; Youth Culture; Contemporary,Pitti Uomo 110,,,,,,ARMERIA / 25-29,,,
EDO CAMICERIA SARTORIALE,ITALY,,Lifestyle; Sustainable; Classic; Outdoor; Premium Streetwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,http://www.edocamicie.it,,,,https://www.instagram.com/edocamicie,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/edo-camiceria-sartoriale,,
EDWARD GREEN,UNITED KINGDOM,,British Style; Classic; New Formal; Luxury; Craftsmanship,Pitti Uomo 110,http://www.edwardgreen.com,,,,https://www.instagram.com/edwardgreen1890,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 24-26,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/G/edward-green,,
EGNARTS - CODE KOREA,KOREA (SOUTH),,Classic; New Formal; Premium Streetwear; Informal; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,https://easynarts.com,,20260322,,https://instagram.com/dewi11official,POLVERIERA / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/egnarts---code-korea,,https://facebook.com/dewi11official
ELIA MAURIZI,ITALY,,,Pitti Uomo 110,http://www.eliamaurizi.eu,,,,,ARSENALE / PIANO TERRA / 27,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/elia-maurizi,,
ELLESSE,ITALY,,,Pitti Uomo 110,http://www.ellesse.com,,,,https://www.instagram.com/ellesse,CORTILE POLVERIERA / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ellesse,,https://www.facebook.com/ellesse/
EMANUELE MAFFEIS DAL 1958,ITALY,,,Pitti Uomo 110,http://www.emanuelemaffeis.it,info@emanuelemaffeis.it,+39 035 244592,https://www.linkedin.com/company/emanuele-maffeis---italian-tailor,https://www.instagram.com/emanuelemaffeis_tailor,PADIGLIONE CENTRALE / PIANO INFERIORE / V/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emanuele-maffeis-dal-1958,,https://www.facebook.com/EmanueleMaffeis.TailoredShirts/
EMENTA,PORTUGAL,,,Pitti Uomo 110,,,,,,ARMERIA / 21-23,,,
EMILE GARÇON,FRANCE,,Lifestyle; Sustainable; Classic; Luxury; Collection; Upcycling,Pitti Uomo 110,https://www.emilegarcon.com,info@mysite.com,1234567890,,https://www.instagram.com/emile_garcon,ARSENALE / PIANO TERRA / 47,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emile-gar-on,,https://www.facebook.com/wix
EMU AUSTRALIA,AUSTRALIA,,Lifestyle; Sustainable; Essentials; Classic; Outdoor; Craftsmanship,Pitti Uomo 110,https://emu-australia.it,,,,https://www.instagram.com/emuaustralia_italia,FURERIA / 5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/emu-australia,,
EN DOFT,SWEDEN,,Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://endoft.com,,,,https://www.instagram.com/endoftav,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/en-doft,,
ENZO PISANO NAPOLI,ITALY,,,Pitti Uomo 110,http://www.enzopisano.it,info@enzopisano.it,+39 081 922 5088,,https://www.instagram.com/enzopisanonapoli,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/enzo-pisano-napoli,,
EP13,ITALY,,Lifestyle; Outdoor; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/ep13_shoes,PADIGLIONE CAVANIGLIA / 115,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ep13,,
EPHEMERAL DYADIC,TURKEY,,,Pitti Uomo 110,https://www.ephemeraldyadic.com/ed,info@EPHEMERALDYADIC.COM,,,https://www.instagram.com/ephemeraldyadic,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/ephemeral-dyadic,,
EQUIPEMENT DE VIE,UNITED KINGDOM,,Lifestyle; Sustainable; Cutting-Edge; Outdoor; Globetrotter; High Performance; Activewear; Sportswear; Luxury; Contemporary,Pitti Uomo 110,http://www.equipementdevie.com,,,,https://www.instagram.com/equipementdevie,SALA DELLE NAZIONI / B/38,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/equipement-de-vie,,
ERRICO FORMICOLA,ITALY,,,Pitti Uomo 110,http://www.erricoformicola.com,info@erricoformicola.com,+39 081 17760171,,https://www.instagram.com/erricoformicola,PADIGLIONE CENTRALE / PIANO INFERIORE / V/22,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/errico-formicola,,https://www.facebook.com/erricoformicolaofficial
ESERCITO,ITALY,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Activewear; Sportswear; Urban; Craftsmanship,Pitti Uomo 110,http://www.esercitosportswear.it,,,,https://www.instagram.com/esercitosportswear,PADIGLIONE CENTRALE / PIANO TERRA / J/9 K/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/esercito,,
ETIAM,JAPAN,,,Pitti Uomo 110,https://etiam.shop,,1110051,,https://www.instagram.com/etiam.2020,PADIGLIONE CENTRALE / PIANO ATTICO / E/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/etiam,,https://www.facebook.com/etiam.2020/
EUROPANN,FRANCE,,,Pitti Uomo 110,https://www.europann.com,,04 91 48 82 82,https://www.linkedin.com/company/europann-official,https://www.instagram.com/europann_officiel,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/europann,,https://www.facebook.com/europann.brand
EXTR4,ITALY,,Lifestyle; High Performance; Activewear; Sportswear; Premium Streetwear; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,https://www.extr4.it,assistenza.shoponline@primigi.it,+39 075 50 28 466,,https://www.instagram.com/extr4_sneakers,FURERIA / 9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/E/extr4,,https://www.facebook.com/primigistoreofficial
EXTRA VIRGO,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,
F. HAMMANN,GERMANY,,Lifestyle; Sustainable; Classic; Luxury,Pitti Uomo 110,http://fhammann.com,,+0049069814695,,https://www.instagram.com/hammann.leather,PADIGLIONE CENTRALE / PIANO INFERIORE / R/28,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/f--hammann,,https://www.facebook.com/pages/category/Product-Service/F-HAMMANN-Finest-Leathergoods-112160517108132/
F.H - ITALIA,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; High Performance; Sportswear; Premium Streetwear; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.fhstore.it,,,,https://www.instagram.com/fhstoremilano,PADIGLIONE CAVANIGLIA / 56,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/f-h---italia,,
FABI,ITALY,,,Pitti Uomo 110,http://www.fabishoes.it,,,,https://www.instagram.com/fabishoes,PADIGLIONE CENTRALE / PIANO INFERIORE / V/1 Z/1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fabi,,
FABRIZIO DEL CARLO,ITALY,,,Pitti Uomo 110,,,,,,,,,
FABRIZIO LESI,ITALY,,,Pitti Uomo 110,https://www.fabriziolesi.it,info@fabriziolesi.it,+39 0521 482466,https://www.linkedin.com/company/fabrizio-lesi,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 44,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fabrizio-lesi,,
FAHERTY,U.S.A.,,,Pitti Uomo 110,,,,,,ARSENALE / PIANO TERRA / 17-19,,,
FALIERO SARTI,ITALY,,Sustainable; Luxury; Craftsmanship,Pitti Uomo 110,http://www.falierosarti.com,,+01582410971,,https://www.instagram.com/falierosarti,PADIGLIONE CENTRALE / PIANO ATTICO / G/6-8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/faliero-sarti,,https://www.facebook.com/falierosartiofficial/
FARFALLA,ITALY,,,Pitti Uomo 110,http://www.farfalla.it,farfalla@farfalla.it,+39 071 946027,https://www.linkedin.com/company/farfalla-calzature/,https://www.instagram.com/farfalla_slippers,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 54,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/farfalla,,
FEFE' NAPOLI,ITALY,,Lifestyle; Essentials; Japan Style; Classic; New Formal; Workwear; Informal; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.fefenapoli.com,info@fefeglamour.it,+390810607050 | https://wa.me,,https://www.instagram.com/fefe.napoli,PADIGLIONE CENTRALE / PIANO INFERIORE / O/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fefe--napoli,,https://it-it.facebook.com/fefeglamour
FELISI,ITALY,,Lifestyle; Essentials; Classic; New Formal; Workwear; Outdoor; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.felisibagsandbelts.com,,,,https://www.instagram.com/felisi_bagsandbelts,PADIGLIONE CENTRALE / PIANO ATTICO / I/4-6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/felisi,,
FELIX CULPA,ITALY,,,Pitti Uomo 110,,,,,,SALA DELLE NAZIONI / A/46,,,
FEMALE FOUNDED,TURKEY,,,Pitti Uomo 110,,,,,,,,,
FERRANTE,ITALY,,,Pitti Uomo 110,http://www.ferrante.it,e-store@ferrante.it,+01080370685,,https://www.instagram.com/ferrante_official,PADIGLIONE CENTRALE / PIANO INFERIORE / R/16,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ferrante,,https://www.facebook.com/Ferrante.it
FERRANTE ROYAL RED,ITALY,,,Pitti Uomo 110,,,,,https://www.instagram.com/ferrante_official,PADIGLIONE CENTRALE / PIANO INFERIORE / R/16,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ferrante-royal-red,,
FF-PACKAGING,NETHERLANDS,,,Pitti Uomo 110,https://www.ff-packaging.com,info@ff-packaging.com,+31 (0)341 430 413,https://www.linkedin.com/company/ff-packaging,https://www.instagram.com/ffpackaging,PADIGLIONE CENTRALE / PIANO TERRA / G/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/ff-packaging,,https://www.facebook.com/ffpackaging
FILA,ITALY,,,Pitti Uomo 110,,,,,https://www.instagram.com/filaeurope,PADIGLIONE CAVANIGLIA / 6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fila,,
FILSON,U.S.A.,,Lifestyle; Outdoor,Pitti Uomo 110,http://www.filson.eu,,,,https://www.instagram.com/filson1897_europe,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/filson,,
FINAL DRAFT,GERMANY,,,Pitti Uomo 110,http://www.finaldraftclo.com,,,,https://www.instagram.com/finaldraftclo,SALA DELLE NAZIONI / A/16-18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/final-draft,,
FINOACINQUE - CODE KOREA,KOREA (SOUTH),,,Pitti Uomo 110,,,,,https://www.instagram.com/finoacinque_official,POLVERIERA / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/finoacinque---code-korea,,
FIORE 19.57,ITALY,,Lifestyle; Classic; High Performance; Informal; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://www.fiore1957.it,,,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 53,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fiore-19-57,,
FLORENCE STYLE,ITALY,,British Style; Classic; Luxury; Craftsmanship,Pitti Uomo 110,http://www.florencestyle.com,info@florencestyle.com,+03665890483,,https://www.instagram.com/florencestyle1953,PADIGLIONE CENTRALE / PIANO TERRA / G/2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/florence-style,,http://www.florencestyle.com/www.facebook.com/florencestyle53
FLOWER MOUNTAIN,JAPAN,,,Pitti Uomo 110,http://www.flowermountain.com,,+00347770430,,https://www.instagram.com/flowermountain_official,PADIGLIONE CAVANIGLIA / 40,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/flower-mountain,,https://www.facebook.com/FlowerMountainOfficial/
FLOWER MOUNTAIN,JAPAN,,,Pitti Uomo 110,http://www.flowermountain.com,,+00347770430,,https://www.instagram.com/flowermountain_official,PADIGLIONE CAVANIGLIA / 40,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/flower-mountain,,https://www.facebook.com/FlowerMountainOfficial/
FLY3,ITALY,,Sustainable; Essentials; Informal; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.fly3.it,,,,https://www.instagram.com/fly3_official,COSTRUZIONI LORENESI / PIANO PRIMO / 6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fly3,,
FORM BAGS,ITALY,,Sustainable; Luxury,Pitti Uomo 110,http://www.formbags.com,sales@formbags.it,+39 059 44 86,https://www.linkedin.com/company/form-bags-spa/,https://www.instagram.com/formbagsmoveyourbrand,PADIGLIONE CENTRALE / PIANO TERRA / G/9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/form-bags,,
FORNARI,ITALY,,Lifestyle; Sustainable; Japan Style; Classic; New Formal; Outdoor; Urban; Craftsmanship; Contemporary; Upcycling,Pitti Uomo 110,http://umbertofornari.it,info@umbertofornari.it,+39071912575,,https://www.instagram.com/fornariofficial,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 36,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fornari,,https://facebook.com/fornariofficial/
FOULON,ITALY,,Classic; Premium Streetwear; Craftsmanship; Contemporary,Pitti Uomo 110,https://foulon.it,,,,https://www.instagram.com/foulon.it,SALA DELLE NAZIONI / A/9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/foulon,,
FOX UMBRELLAS,UNITED KINGDOM,,,Pitti Uomo 110,http://www.foxumbrellas.com,,,,https://www.instagram.com/foxumbrellas,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 58,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fox-umbrellas,,
FRACAP,ITALY,,Lifestyle; Outdoor; Sportswear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.fracap.it,info@fracap.it,+39 0832 321996,,https://www.instagram.com/fracap1908,PADIGLIONE CAVANIGLIA / 35,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fracap,,https://www.facebook.com/fracap1908
FRANCESCHETTI,ITALY,,Classic; New Formal; Premium Streetwear; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.franceschetti.it,,,,https://www.instagram.com/franceschettishoes,PADIGLIONE CENTRALE / PIANO TERRA / J/15,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/franceschetti,,
FRANCESCO BENIGNO,ITALY,,,Pitti Uomo 110,http://www.francescobenigno.it,,,,https://www.instagram.com/francescobenigno1926,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 35,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/francesco-benigno,,
FRANCESCO SMALTO,FRANCE,,,Pitti Uomo 110,https://www.smalto.com,,,,https://www.instagram.com/smaltoparis,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 43,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/S/francesco-smalto,,
FRANKS,AUSTRALIA,,Lifestyle; Essentials; Classic; Outdoor; Activewear; Contemporary,Pitti Uomo 110,http://franksaustralia.com,,,,https://www.instagram.com/franksaustralia,PADIGLIONE CAVANIGLIA / 55,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/franks,,
FRAY CAMICERIA,ITALY,,Special Co-Lab/Limited Edition; Classic; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.frayitaly.com,info@frayitaly.com,+39 051 57 10 36,https://www.linkedin.com/company/fray-italy-luxury-shirts/,https://www.instagram.com/frayitaly,PADIGLIONE CENTRALE / PIANO INFERIORE / R/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/F/fray-camiceria,,
