company_name,domain,website,linkedin_url,company_email,phone,country,city,industry_keywords,source_show
Gul Ahmed Textile Mills Ltd.,gulahmed.com,https://www.gulahmed.com,,marketing@gulahmed.com,+92 21 111 485 485,Pakistan,Karachi,Home Textile; Bed Linen; Prints/Dyed/Yarn Dyed; Jacquards; Jersey,Heimtextil 2026
Gul Plastik Ithalat Ihracat Sanayi Ve Ticaret Limited Sirketi,gulplastik.com,https://www.gulplastik.com,,export@gulplastik.com.tr,+90 212 659 10 20,Türkiye,Istanbul,mat; bath; kitchen; organizer; shower,Ambiente 2026
Gulbak Bakalit Metal ve Tekstil San. ve Tic. Ltd. Sti.,gulbak.com,https://www.gulbak.com,,enisegulkesen@gulbak.com,+90 344 257 93 02,Türkiye,Kahramanmaras,handle; gulbak handle; kitchenware; cooking ware; pot pan,Ambiente 2026
Gunes Tel Cekme Sanayi Ve Ticaret Anonim Sirketi,gunestel.com,https://www.gunestel.com,https://www.linkedin.com/company/gunes-tel,satinalma@gunestel.com,+90 538 975 38 35,Türkiye,Istanbul,,Ambiente 2026
Guoou Trading (Dongguan),goknitwear.com,https://www.goknitwear.com,,maggie.jing@goknitwear.com,+86 769 8337 0001,China,Dongguan,,Apparel Sourcing Paris Spring 2026
Guotai Huasheng Industrial (Jiangsu),gths.cn,https://www.gths.cn,,tiger@gths.cn,+86 512 5631 2351,China,Zhangjiagang,,Apparel Sourcing Paris Spring 2026
Gupta Creations,,,,raman@guptacreations.co.in,+91 90348 67029,India,Panipat,CUSHIONS; RUGS ; PILLOWS ; PANIPAT; THROWS,Heimtextil 2026
Gupta International,guptainternational.com,https://www.guptainternational.com,,rajeshgupta@guptainternational.com,+91 98961 11666,India,Panipat,Bathmats; Woven Rugs & Tufted Carpets; Decorative cushions & poufs; Table & Kitchen linens; Eco-friendly & Sustainable textile products Panipat,Heimtextil 2026
Gursan Tekstil Turizm Insaat Sanayi Ve Ticaret Limited Sirketi,gursantekstil.com,https://www.gursantekstil.com,,marketing@gursantekstil.com,+90 258 371 49 79,Türkiye,Denizli,Coton Delux; Towel; Gursan; Bathrobe; Mat,Heimtextil 2026
Guzelcan Suni Deri Tekstil San. ve Tic. AS,egesunideri.com,https://www.egesunideri.com,,int@egesunideri.com,+90 232 436 18 70,Türkiye,Izmir,faux leather; Artificial Leather; coated fabric; outdoor indoor; automotive,Heimtextil 2026
GWC Socks (Zhuji),,,,jane-guo@gwcsocks.com,+86 159 8820 8206,China,Zhuji,,Apparel Sourcing Paris Spring 2026
Göksim Iplik Tekstil San. ve Tic. Ltd. Sti.,,,,,,Türkiye,Bursa,"Fancy Yarn; Hemp, FireProof Polyester,  ; Acrylic yarn; Cotton yarn; Oeko Tex Certificated",Heimtextil 2026
Gül Tekstil Dokuma ve Iplik Tic. ve. San. A.S.,dcmtekstil.com.tr,https://www.dcmtekstil.com.tr,https://tr.linkedin.com/company/dcm-textile,dcm@dcmtekstil.com.tr,+90 224 261 16 16,Türkiye,Bursa,DECO; DRAPERY; CURTAIN; FABRICS,Heimtextil 2026
GÜLESER TEKSTIL SANAYI TICARET AS,guleser.com,https://www.guleser.com,,guleser@guleser.com,+90 224 261 25 25,Türkiye,Osmangazi/Bursa,UPHOLSTERY; DECORATIVE FABRICS; HOME TEXTILE; DRAPERY; CONTRACT FABRICS,Heimtextil 2026
Güral Porselen - Heris Seramik ve Turizm San. A.S.,guralporselen.com.tr,https://www.guralporselen.com.tr,,higorur@guralporselen.com.tr,+90 506 720 64 85,Türkiye,Kütahya,Horeca; Dinnerware; Tableware; Horeca; plate,Ambiente 2026
Gürle Suni Deri Tekstil San. ve Tic. A.S,gurlesunideri.com,https://www.gurlesunideri.com,,ali.yilmaz@gurlesunideri.com,+90 282 655 53 26,Türkiye,Istanbul,Artificial; Leather; Outdoor; Upholstery; Project,Heimtextil 2026
"H CONCEPT CO., LTD.",h-concept.jp,https://www.h-concept.jp,,info@h-concept.jp,+81 3-3862-6011,Japan,Tokyo,Design; Coffee; Ceramic Coffee Filter; Sustainable; Made in Japan,Ambiente 2026
H R Desiigns,,,,rajat.hrdesigns@gmail.com,+91 98370 46267,India,Moradabad,Interior Design; Interiors & Decoration,Ambiente 2026
H&F Fashion,hffashionbd.com,https://www.hffashionbd.com,,harun@hffashionbd.com,,Bangladesh,DHAKA,,Apparel Sourcing Paris Spring 2026
H. M. Inc,,,,hmcraftimpex@gmail.com,+91 91492 12011,India,Sambhal,,Ambiente 2026
H. Ülger Seramik - Miktat Ülger,ulgerseramik.com,https://www.ulgerseramik.com,,info@ulgerseramik.com,+90 216 396 14 85,Türkiye,Istanbul,Ülger; Kitchenware; Ceramics; H.Ülger Seramik; Earthenware,Ambiente 2026
H.A.R. Textile Mills (Pvt.) Limited,hartextile.com,https://www.hartextile.com,,kashif@hartextile.com,+92 300 8666250,Pakistan,Faisalabad,Duvet Cover Sets; Comforter Sets/Bed in Bag; Bed Sheet Sets/Flat Sheet; Fitted Sheets/Pillow Cases; Bolster Cases,Heimtextil 2026
H.C.A. Collection Handels-GmbH,hca.de,https://www.hca.de,,ag@hca.de,+49 4532 2886180,Germany,Bargteheide,Geschenkartikel Gifts; Schmuck Jewellery; Armband Bracelet; Kinderschmuck Jewellery for kids; Schlüsselanhänger key chain; Männerschmuck Jewellery for men; Halsketten necklaces; Glücksbringer lucky charms; Ohrschmuck earjewellery; Fußkettchen anklets,Ambiente 2026
H.G. Hahn-Haustextilien GmbH,hahn-haustex.de,https://www.hahn-haustex.de,,verkauf@hahn-haustex.de,+49 2552 93990,Germany,Steinfurt,Bettwäsche; Spannbetttücher; Spannbettlaken; Matratzenauflagen; Decken,Heimtextil 2026
"H.K. Vicky International Development Co., Limited",,,,34015197@qq.com,+86 579 8221 1936,Hong Kong,"Kwun Tong, Kowloon",Glassware; Glass Cup; Wine Glass; Drink Glass; Plate,Ambiente 2026
H.M.G. Bedtextiel B.V.,hmgbedtextiel.nl,https://www.hmgbedtextiel.nl,,mertcan.ekinci@hmgbedtextiel.nl,+31 (0)40 248 45 33,Netherlands,Eindhoven,Pillows; Quilts; Manufacturing; Private Label; Textile,Heimtextil 2026
H.S. Exports,,,,pushkar@hsexports.org,+91 98109 39308,India,Faridabad,,Ambiente 2026
Habib Calico Weaving Ind. (Pvt) Ltd.,habibcalico.com,https://www.habibcalico.com,https://www.linkedin.com/company/2930870,hunain@habibcalico.com,+92 321 8669911,Pakistan,"Faisalabad, Punjab",NHS; FLAT SHEET; PILLOW COVER; DUVET COVER; HOME TEXTILE,Heimtextil 2026
Haca Company Ltd.,hacavietnam.com,https://hacavietnam.com,,sales@hacavietnam.com,+84 28 3510 7100,Vietnam,Ho Chi Minh City,Planter; Decoration; Trend; Vietnam; Supplier,Ambiente 2026
Haca Europe BV,haca-international.com,https://www.haca-international.com,,sonja@haca-international.com,+32 52 42 78 51,Belgium,Berlare,garden deco; potterie; potterie; statues,Ambiente 2026
"Hachiman Kasei Co., Ltd.",hachimankasei.co.jp,https://www.hachimankasei.co.jp,,oversea@hachimankasei.co.jp,+81 575-67-1175,Japan,Gujo City,Balcolore; Bucket; Hachiman; Omnioutil; Japan,Ambiente 2026
Hafizia Art and Crafts Private Limited,hafizia.com,https://www.hafizia.com,,umair@hafizia.com,+91 5862 270 498,India,Sitapur,RUG; CARPET; BATH MAT; THROWS; DECORATICE CUSHION; SUSTAINABLE RUG; TABLE LINEN ; PET BED; BEDDING; CURTAIN; QUILT; OUTDOOR RUG; KIDS RUG; WOOL TEPPICH  CARPET; SUSTAINABLE RUGS ; COTTON WASHABLE RUGS,Heimtextil 2026
Hage Tekstil San. ve Tic. A.S.,hagetextile.com,https://www.hagetextile.com,,mbasrik@hagetextile.com,+90 549 698 32 01,Türkiye,Kestel/Bursa,Ready made curtain; Jacquard; Leno; Burnout; Digital print,Heimtextil 2026
Haichang (Ningbo),,,,lindahlp@nbhaichang.com,+86 574 8737 0358,China,Ningbo,,Apparel Sourcing Paris Spring 2026
"Hainan Fly Business Co., Ltd.",flyadv.net,https://www.flyadv.net,,,,China,Haikou Hainan,wine glass cup; champagne glass cup; glass charger plate; glass candle holder; tumbler glass,Ambiente 2026
"Hainan Xinrunhai Industry Co., Ltd.",xinrunhai.com,https://www.xinrunhai.com,,webmaster@xinrunhai.com,+86 898 6853 8971,China,Haikou Hainan,Wood animal shape grinder; Touch lamp; Wooden cheese set; Wood chopping board; wood crafty,Ambiente 2026
"HAINING BANGDE NEW MATERIAL CO., LTD.",hnbangde.en.alibaba.com,https://www.hnbangde.en.alibaba.com,,174525700@qq.com,+86 573 8726 8868,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Changhe Textile Co., Ltd.",,,,wayne@changhefancyyarn.com,,China,Jiaxing Zhejiang,"Fibres and Yarns, Textile Materials, Finishing",Heimtextil 2026
"Haining City Jingzhiwei Hometextile Co., Ltd.",,,,rui.gwtt@t-online.de,+86 573 8755 5618,China,Haining Zhejiang,sofa fabric; upholstery fabric; recycle fabric; chenille fabric; linen fabric,Heimtextil 2026
Haining CN Textiles Co. Ltd.,,,,carey@cntex.net.cn,+86 573 8756 6988,China,Haining Zhejiang,Curtain fabric; Sofa fabric; Ready made curtain; Jacquard fabric; Cushion,Heimtextil 2026
"Haining Cosy Utopia Textile Co., Ltd.",,,,,,China,Jiaxing Zhejiang,cushion; Jacquard fabric; Curtain,Heimtextil 2026
"Haining Dayang Textile Technology Co., Ltd.",,,,xiaoqi_w@outlook.com,+86 573 8758 1818,China,Haining Zhejiang,Jacquard fabrics; Curtain fabrics; Decorative fabrics; environment-friendly; original design,Heimtextil 2026
"Haining Dechi Warp Knitting Co., Ltd.",dechigroup.com,https://www.dechigroup.com,,jackson@dechigroup.com,+86 573 8725 1888,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Dino Textile Co., Ltd",,,,cyx123qwe@gmail.com,+86 138 0672 7587,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Haining Ennuo Textiles Co., Ltd.",,,,djx1314@163.com,+86 573 8755 2889,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Fushida Textile Co., Ltd.",fsdtextile.com,https://www.fsdtextile.com,,yang@cnjoyway.com,+86 573 8783 2886,China,Haining Zhejiang,Upholstery FABRIC; SOFA FABRIC; KNITTING FABRIC,Heimtextil 2026
"Haining Gaoda International Trade Co., Ltd.",,,,market@gaodacn.com,+86 573 8700 3889,China,Jiaxing Zhejiang,Recycled Leather; Recycled Genuine Leather; Furniture Leather; Non-Solvent PU Leather; Water-Based PU Leather,Heimtextil 2026
"Haining Haihong New Material Co., Ltd.",haihongtex.net,https://www.haihongtex.net,,peter@haihongtex.net,+86 573 8078 7797,China,Jiaxing Zhejiang,Furniture fabrics; Decorative fabrics; textile; chenille; woven,Heimtextil 2026
"Haining Huajianzi Textile Co., Ltd.",,,,,,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Haining Huaming Textile Co., Ltd.",huamingzj.com,https://www.huamingzj.com,,huamingtex@vip.126.com,+86 573 8751 9088,China,Jiaxing Zhejiang,Furniture fabrics; Jacquard fabrics; Curtain fabrics; Sofa fabrics; Outdoor fabrics,Heimtextil 2026
"Haining Huanyu Warp Knitting Co., Ltd.",huanyuwarp.com,https://www.huanyuwarp.com,,frankyu@huanyuwarp.com,+86 573 8798 7826,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Haining Jiahua Textile Co., Ltd.",jh-textile.com,https://www.jh-textile.com,,amy@jh-textile.com,+86 137 0583 7536,China,Haining Zhejiang,FURNITURE; SOFA FABRIC; HOME FABRIC;  ;,Heimtextil 2026
"Haining Jianuoda Textile Co., Ltd.",,,,xjm@jnd-tex.com,+86 573 8755 3398,China,Jiaxing Zhejiang,Sofa Fabric; Furniture Fabric; Woven Fabric; Chenille Fabric; Home Fabric,Heimtextil 2026
"Haining Jieya Textile Co., Ltd.",,,,,,China,Jiaxing Zhejiang,Sofa releases; Upholstery fabrics; Curtain fabrics,Heimtextil 2026
"Haining Jinbaili Textile Co., Ltd.",jblfz.en.alibaba.com,https://jblfz.en.alibaba.com/,,linyan@jblfz.com,+86 573 8923 5353,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Haining Jinyonghe Household Textile Co., Ltd.",jyhtextile.com,https://www.jyhtextile.com,,yjc@jyhjf.com,+86 573 8756 6918,China,Haining Zhejiang,"Curtains; Furniture fabrics; Jacquard fabrics; Curtain fabrics, woven; Ready-made curtains",Heimtextil 2026
"Haining Julai Textile Co., Ltd.",julaitextile.com,https://www.julaitextile.com,,jason.ji@julaitextile.com,+86 573 8755 1111,China,Haining Zhejiang,upholstery fabrics; decorative fabrics; furnishing fabrics; furniture fabrics; drapery,Heimtextil 2026
"Haining Kexin Textile Co., Ltd.",,,,barry@kexintex.com,+86 573 8758 8558,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Lida Warp Knitting Cloth Industrial Co., Ltd.",,,,maybleshen@hotmail.com,,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Longway Textile Co., Ltd.",,,,longway005@vip.126.com,+86 573 8840 3130,China,Haining Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Haining Maisiqi Textile Co., Ltd.",,,,haining.maisiqi@outlook.com,,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Panshi Textile Co., Ltd.",,,,,,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Qianbaihui Textiles Co., Ltd.",,,,yjcqanbahu@163.com,+86 573 8758 6685,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Qichuang Textile Co., Ltd.",,,,qichuang0918@163.com,+86 573 8763 5696,China,Haining Zhejiang,fabric; sofa fabric; furniture fabric; decorative fabric; UPHOLSTERY FABRIC,Heimtextil 2026
"Haining Queeneo Home Textile Co., Ltd.",,,,,+86 573 8798 6011,China,Jiaxing Zhejiang,"Bed, Bath & Living",Heimtextil 2026
"Haining Redsun Textile Co., Ltd.",hnsuntex.en.alibaba.com,https://hnsuntex.en.alibaba.com/index.html,,elena@redsuntex.com,+86 573 8778 1827,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Surtex Textile Technology Co., Ltd.",suyada.com.cn,https://www.suyada.com.cn,,alice3378@163.com,+86 573 8751 8100,China,Haining Zhejiang,Jacquard fabrics ; curtain fabrics ; jacquard garment fabrics ; sofa fabrics ; Embroidery voile,Heimtextil 2026
"Haining Tailun Textile Co., Ltd.",taeren.com,https://www.taeren.com,,haigang@taeren.com,+86 151 6732 6119,China,Haining Zhejiang,curtain ; woven ; fabric ; plain ; drapery,Heimtextil 2026
"Haining Tianli Textile Co., Ltd.",tltex.cn,https://www.tltex.cn,,sales1@tltex.cn,+86-573-87072165,China,Haining Zhejiang,fabric for sofa;  fabric for Curtain; knitted; textile; Furniture fabrics,Heimtextil 2026
"Haining Tianyi Textile Technology Co., Ltd.",eekarhom.com,https://www.eekarhom.com,,40307787@qq.com,+86 573 8755 6366,China,Haining Zhejiang,Fabric; Upholstery Fabric; Sofa fabric;,Heimtextil 2026
"Haining Wonderful Textile Co., Ltd.",wonderul.net,https://www.wonderul.net,,aaron@wonderfultex.com,+86 573 8755 8233,China,Jiaxing Zhejiang,linen sofa fabric; chenille sofa fabric; linen curtain fabirc,Heimtextil 2026
"Haining Xinlida Warp Knitting Co., Ltd.",xinlidatex.com,https://www.xinlidatex.com,,zhengyang.song@xldwarp.com,,China,Haining Zhejiang,Super soft velvet; Print fabric; Sofa fabric,Heimtextil 2026
"Haining Yulong Cloth Co., Ltd.",,,,,,China,Jiaxing Zhejiang,BEDDING; FABRIC; JACQUARD; CURTAIN; CUSHION,Heimtextil 2026
"Haining Yuyuan Textile Co., Ltd.",yy-textile.com,https://www.yy-textile.com,,yuyuantextile@163.com,+86 573 8755 1218,China,Jiaxing Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Haining Zhejiang Good Time Textile Co., Ltd.",,,,jinqian@goodtimetex.com,+86 573 8758 8889,China,Jiaxing Zhejiang,Jacquard Fabrics; Furniture Fabrics; Decorative Fabrics; Chenille Fabrics; Sofa Fabrics,Heimtextil 2026
"Haining Zhenxin Fabric Co., Ltd.",zx-fabric.com,https://www.zx-fabric.com,,zhenxin@zx-fabric.com,,China,Jiaxing Zhejiang,tablecloth; curtains; sheer,Heimtextil 2026
"Haining Zhouchao Textile Co., Ltd.",,,,,,China,Jiaxing Zhejiang,Chenille fabric; Boucle fabric; Knitting fabric; Upholstery fabrics,Heimtextil 2026
Haishu Ruyi Garment (Ningbo),,,,roger@fashray.com,+86 574 8768 3641,China,Ningbo,,Apparel Sourcing Paris Spring 2026
Haji Rafiuddin Waliuddin Pvt. Ltd.,hrw.com.pk,https://www.hrw.com.pk,,osamaessa@hrw.com.pk,+92 321 8258900,Pakistan,Karachi,Bath Sheets      ; Bath Mats; Kitchen Towels; Baby Products & Blankets; Bed Linen,Heimtextil 2026
Hajiganj Handicrafts Ltd,hajiganj-crafts.com,https://www.hajiganj-crafts.com,,contact@hajiganj-crafts.com,+880 1712-681792,Bangladesh,Saidpur,"Basketry, Plant Pot Sustainable; Stuffed Toys, Crochet products; Handcrafted products; Rugs, Mat, Floor & Door Mat; Blanket,Throws, Cushion etc",Ambiente 2026
Hakart Dekoratif Esya Ve Metal Sanayi Ve Ticaret Anonim Sirketi,hakart.com.tr,https://www.hakart.com.tr,,turhaniregun@hakart.com.tr,+90 212 876 26 86,Türkiye,Istanbul,Hakart Dekoratif; Hakart,Ambiente 2026
Haley Studios Ltd.,haleystudios.com,https://www.haleystudios.com,,richard@haleystudios.com,+44 1484 386813,Great Britain and Northern Ireland,"Brighouse, West Yorkshire",Textile Design; Wall Decoration,Heimtextil 2026
Hali Publications Limited,hali.com,https://www.hali.com,,david.young@hali.com,+44 7866 521423,Great Britain and Northern Ireland,London,Magazine; Rugs; Handmade; Media; Carpets,Heimtextil 2026
"Halinh Rattan and Bamboo Co., Ltd.",handmadevn.vn,https://www.handmadevn.vn,https://www.linkedin.com/company/halinh-rattan-,halinh@handmadevn.vn,+84 24 6277 6611,Vietnam,Hanoi,Lighting; Textile; Wicker iron rattan furniture; Home Decor; Housewares,Ambiente 2026
Ham Ram for Textiles,,,,hamram1973@gmail.com,+20 109 409 1073,Egypt,El Mahlla El-Kobra,bathrobes; towels; HAMRAM; Ihram,Heimtextil 2026
Hamat B.V.,hamat.com,https://www.hamat.com,https://www.linkedin.com/company/hamatbv,verkoop@hamat.com,+31 38 385 5528,Netherlands,Genemuiden,Door mat; Flooring; Entrance mat; Matten; Schmutzfangmatten,Heimtextil 2026
Hamilton Writing Instruments Pvt. Ltd.,claropens.in,https://www.claropens.in,,nilesh.shah@hamiltonindia.in,+91 22 6128 0505,India,Mumbai,Ball pen; pen; stationery; books; markers,Ambiente 2026
Hammad Textile,,,,hammadtexind@gmail.com,+92 21 22032223,Pakistan,Karachi,,Heimtextil 2026
Hammer Imp. & Exp. (Hangzhou),,,,hammersys@126.com,+86 57113757179785,China,Hangzhou,,Apparel Sourcing Paris Spring 2026
Hamza Towels,,,,,,Pakistan,Karachi,,Heimtextil 2026
Hamza Weaving Factory,hamzaweaving.com,https://www.hamzaweaving.com,,info@hamzaweaving.com,+92 321 4059940,Pakistan,Lahore,Bed Linen; Institutional Textile; Hospital Apparel; Home Textiles; Flannels,Heimtextil 2026
"Hanaart Co., Ltd.",hanaartco.com,https://www.hanaartco.com,,hanaartco2000@gmail.com,+82 31-769-7154,"Korea, the Republic of (South)","Gwangju-Si, Gyeonggi-Do",Wrapping paper; Flower wrapping material; Gift wrap; decoration; Flower,Ambiente 2026
"Hand Pot, Lda",handpot.net,https://www.handpot.net,,jorge@handpot.net,+351 253 843 081,Portugal,Manhente - Barcelos,POTTERY; GARDEN; CERAMICS; HAND; POT,Ambiente 2026
Hand Touch,handtouchbd.com,https://www.handtouchbd.com,,info@handtouchbd.com,+880 5501-0454,Bangladesh,Dhaka,"bangladesh handicrafts; hand made basket; plant pot, nursery pot; seagrass, jute, kaisa, cane; tote bag",Ambiente 2026
HANDELSHOUSE,handelshouse.de,https://www.handelshouse.de,,info@handelshouse.de,+49 1525 6024600,Germany,Aachen,HULKEN; SCHAL&RAUCH; THE BASKET CLUB; VINCENT PRADIER,Ambiente 2026
Handelsonderneming Zuur,siltwoondekens.nl,https://www.siltwoondekens.nl,,info@siltwoondekens.nl,+31 6 14627510,Netherlands,Wierden,Home blankets / Wohndecken; Cushions/ Kissen; SILT; Style/comfort; Interior blankets and cushions,Ambiente 2026
Handelsverband Wohnen und Büro e.V. (HWB),hwb.online,https://www.hwb.online,,thomas.grothkopp@wohnenundbuero.de,+49 221 9408330,Germany,Köln,Handelsverband; Koch- und Tischkultur; GPK; HWB; Wohnen und Büro,Ambiente 2026
Handfab Home,handfabhome.com,https://www.handfabhome.com,https://www.linkedin.com/company/handfabhome,kapiljain@handfabhome.com,+91 98125 14441,India,Panipat,SCATTER RUGS & BATH RUGS; HOSPITALITY; PILLOW; THROW; SOUND PROFING & ANTI-MICROBIAL,Heimtextil 2026
Handicraft Villa,handicraftvilla.com,https://www.handicraftvilla.com,https://www.linkedin.com/company/handicraft-villa/,mail.handicraftvilla@gmail.com,+91 93515 63368,India,Jaipur,leather bags; leather journals; leather bags; leather purses; leather aprons,Ambiente 2026
Handloom Export Promotion Council,hepcindia.com,https://www.hepcindia.com,https://in.linkedin.com/company/hepc-india,fairs@hepcindia.com,+91 44 2827 8879,India,Chennai,Madeups; Floor Coverings; Clothing Accessories,Heimtextil 2026
Hands & Craft,handsandcraft.com,https://www.handsandcraft.com,,info@handsandcraft.com,+91 591 249 8000,India,Moradabad,resin; home decor; cutlery; tableware; table top,Ambiente 2026
Handtex,handtexindustries.com,https://www.handtexindustries.com,,mohit@handtexindustries.com,+91 98967 00047,India,Panipat,,Heimtextil 2026
"HANG ZHOU HUA DI TEXTILE CO., LTD.",hzhdtex.com,https://www.hzhdtex.com,,janice@hzhdtex.com,+86 571 8633 1908,China,Hangzhou Zhejiang,Window & Interior Decoration,Heimtextil 2026
"Hang Zhou Zexin Textile Co., Ltd.",,,,suzanne.heyi1986@hotmail.com,,China,Hanghzou Zhejiang,Smart Bedding,Heimtextil 2026
"Hangrun Textile Co., Ltd. Hangzhou",hangrunsilk.com,https://www.hangrunsilk.com,,sallyqiao@hangrunsilk.com,+86 571 8617 3821,China,Hangzhou Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Hangzhou AG Machinery Co., Ltd.",famourdecor.com,https://www.famourdecor.com/,,ag@agjacuzzi.com,,China,Hangzhou Zhejiang,curtain rod; curtain accessaries; der Vorhangstab,Heimtextil 2026
"Hangzhou Aico Home Textile Co., Ltd.",,,,sunny@aico-textile.com,,China,Hangzhou Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Hangzhou Anjiela Textile Co., Ltd.",,,,angela9801@163.com,,China,Hangzhou Zhejiang,Decorative & Furniture Fabrics; Window & Interior Decoration,Heimtextil 2026
"Hangzhou Aoqiao Textile Co., Ltd.",aoqiaotex.com,https://www.aoqiaotex.com,,steve@aoqiaotex.com,+86 571 8618 2335,China,Hangzhou Zhejiang,blackout fabric; curtain fabric; upholstery fabric,Heimtextil 2026
"Hangzhou Assetex Fabric Co., Ltd.",asstx.com,https://www.asstx.com,,lingyan@asstx.com,,China,Hangzhou Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Hangzhou Babycat Textile Co., Ltd.",,,,,,China,Hangzhou Zhejiang,pillows; throw blanket; faux fur blanket; cushion; bathrobe,Heimtextil 2026
"Hangzhou Banff Down-Feather Products Co., Ltd.",featherware.com,https://www.featherware.com,,andrew@featherware.com,+86 571 2281 2168,China,Hangzhou,PILLOW; CUSHION; QUILT DUVET; MATTRESS PROTECTOR; TOPPER,Heimtextil 2026
"Hangzhou Baosiyi Home Textiles Co., Ltd.",bsybedding.com,https://www.bsybedding.com,,albert@xjbedding.com,,China,Hangzhou Zhejiang,Duvet ; Pillow ; Mattress protector ; Mattress pad ; Weighted blanket,Heimtextil 2026
"Hangzhou Beautiful Textile Co., Ltd.",,,,,,China,Hangzhou Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Hangzhou Beiming Textile Co., Ltd.",beimingjf.com,https://www.beimingjf.com,,gm@beimingjf.com,,China,Hangzhou Zhejiang,Cushions; Curtains; Throws; Pet beds; Shaped Cushions,Heimtextil 2026
"Hangzhou Bengrow Co., Ltd.",,,,,,China,"Hangzhou, Zhejiang","Bed, Bath & Living",Heimtextil 2026
"Hangzhou Besta Textile Co., Ltd.",,,,apple.du@besta-textile.com,,China,Hangzhou Zhejiang,Smart Bedding,Heimtextil 2026
"Hangzhou Beyond Home Textile Co., Ltd.",,,,lilac@beyondhometex.com,,China,Hangzhou Zhejiang,"Bed, Bath & Living; Decorative & Furniture Fabrics",Heimtextil 2026
"Hangzhou Bufan Textile Co., Ltd.",,,,,,China,Hangzhou Zhejiang,Window & Interior Decoration,Heimtextil 2026
"Hangzhou Chengfeng Hardware Co., Ltd.",cf-decor.com,https://www.cf-decor.com,,ada@cf-decor.com,+86 571 5716 3383,China,"Hangzhou, Zhejiang",curtain rod; curtain track; curtain rod's accessories,Heimtextil 2026
"Hangzhou Chenmo Import & Export Co., Ltd.",chenmo.en.alibaba.com,https://chenmo.en.alibaba.com/,,kevinlou@aliyun.com,,China,Hangzhou Zhejiang,"Bed, Bath & Living; Smart Bedding",Heimtextil 2026
"Hangzhou China House Textile Co., Ltd.",jaime.cn,https://www.jaime.cn,,sales@jaime.cn,+86 573 8799 0928,China,Hangzhou Zhejiang,cushion; Curtain; Sofa fabric; Throw ; Tablecloth,Heimtextil 2026
"Hangzhou Cloth Import & Export Co., Ltd.",,,,jojo@hzcloth.net,+86 571 8857 5589,China,Haining Zhejiang,Decorative & Furniture Fabrics,Heimtextil 2026
"Hangzhou Colorful Textile Co., Ltd.",colorful.com,http://www.colorful.com,,mingzhuchen695@gmail.com,+86 186 5817 5885,China,Hangzhou Zhejiang,Sofa fabric; Decorative & Furniture Fabrics; Curtain fabric,Heimtextil 2026
"Hangzhou D & H Textile Co., Ltd.",blanketmanufacture.com,https://www.blanketmanufacture.com,,coco@dhtextil.com,+86-571-86587249,China,Hangzhou Zhejiang,Hoodie Blanket; Heated Blanket; Oversized Wearable Blanket; Bathrobe; Fleece Blanket,Heimtextil 2026
"Hangzhou Dingsheng Packing Co., Ltd.",hzpacking.com,https://www.hzpacking.com,,yangwz98@hzpacking.com,,China,Hangzhou Zhejiang,"Bedding packaging; sustainable, recycled & eco-friendly textiles ; shopping bags，mattress bags, suit covers，Zipperbags，storage bags; Recycled ; PE,PVC,NON-WOVEN,COTTON BAG",Heimtextil 2026
"HANGZHOU DINGTAI FASHION CO., LTD.",dt-fashions.com,https://www.dt-fashions.com,,forres_lau@dt-fashions.com,+86 571 8386 7002,China,Hangzhou Zhejiang,blanket; throws; blanket throws; soft blanket; travel blanket,Heimtextil 2026
"Hangzhou Donghuang Hometextiles Packing Co., Ltd.",donghuangpack.com,https://www.donghuangpack.com,,loucaixia@donghuangpacking.com,,China,Hangzhou Zhejiang,Smart Bedding,Heimtextil 2026
