title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Arasco Germany GmbH,3.9,75.0,Sterkenhofweg 5B,Krefeld,,DE,http://www.arasco.de/,+49 2151 565760,Wholesaler,Coffee wholesaler,Grocery store,Italian grocery store,Seafood wholesaler,Wine wholesaler and importer,,,,,https://www.google.com/maps/search/?api=1&query=Arasco%20Germany%20GmbH&query_place_id=ChIJj4wdbkfKuEcRZ5P6UVaEfsk,Wholesaler,"Arasco - Fachlieferant Gastronomiebedarf, Lebensmittelgroßhandel",Mit mehr als 30 Jahren Erfahrung sind wir Ihr Fachlieferant für Gastronomiebedarf und hochwertige Lebensmittel in Nordrhein-Westfalen.,565760,,,,partial,1
Dortmund Wholesale Market,4.1,86.0,Heiliger Weg 60g,Dortmund,,DE,https://grossmarkt-dortmund.de/,+49 231 522143,Wholesale market,Food products supplier,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dortmund%20Wholesale%20Market&query_place_id=ChIJTyNZ6mcXuUcRD6MVR2sbbFw,Wholesale market,GROSSMARKT DORTMUND,,,,,,partial,1
GB Foods Deutschland GmbH,3.3,71.0,Geniner Str. 88-100,Lübeck,,DE,https://www.thegbfoods.com/de/deutschland,+49 451 53060,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=GB%20Foods%20Deutschland%20GmbH&query_place_id=ChIJq1JrLDQJskcRU16jKBtmAi4,Wholesale grocer,,,,,,,partial,0
Oskar Großhandel für Lebensmitteln & Lagerverkauf,4.9,25.0,Bendhecker Str. 12,M. Gladbach,,DE,,+49 172 5859134,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Oskar%20Gro%C3%9Fhandel%20f%C3%BCr%20Lebensmitteln%20%26%20Lagerverkauf&query_place_id=ChIJv56tsBxTv0cR3JTVPB7AlM4,Wholesale grocer,,,,,,,partial,0
INFORM GmbH,4.6,99.0,Pascalstraße 35,Aachen,,DE,http://www.inform-software.com/,+49 2408 94560,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=INFORM%20GmbH&query_place_id=ChIJ77dYQO6cwEcRpJRskSTZjBs,Software company,AI systems to optimize business processes - INFORM,"We develop software with Decision Intelligence. Our mathematical algorithms and AI methods are proven with well over 1,000 active customers worldwide.",,w Digital Sustainability Sustainable Actions kids at INFORM Contact Career Overview Vacancies Application Process Benefi,https://www.linkedin.com/company/inform,"INFORM, AI, artificial intelligence, AI, OR, operations research, software, fuzzy logic, IT, business processes, optimization",partial,1
Software Company - E. Hunko,5.0,1.0,Vaalser Str. 68,Aachen,,DE,,,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Software%20Company%20-%20E.%20Hunko&query_place_id=ChIJmc1RqIKbwEcRUkR2kw50dS8,Software company,,,,,,,partial,0
Hard & Software Dienstleistungen Horsch GmbH,,,Zieglerstraße 13,Aachen,,DE,http://www.horschweb.de/,+49 241 60847130,Software company,Computer store,Electrical engineer,Electronics company,,,,,,,https://www.google.com/maps/search/?api=1&query=Hard%20%26%20Software%20Dienstleistungen%20Horsch%20GmbH&query_place_id=ChIJ8av7MTCZwEcRvR4fTjqUMVI,Software company,Horsch – Hard- & Softwaredienstleistungen GmbH,HORSCH - Hard- und Software Dienstleistungen GmbH,0241 60847130,,,,partial,1
Thoughtworks Deutschland GmbH,5.0,18.0,Lichtstraße 43I,Cologne,,DE,https://www.thoughtworks.com/en-de,+49 221 64307060,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Thoughtworks%20Deutschland%20GmbH&query_place_id=ChIJhRxRJTolv0cRZcyHTwbLEAE,Software company,Thoughtworks: A leading technology consultancy | Thoughtworks Germany,"We are laser-focused on transforming your digital journey so you can make extraordinary impact today, tomorrow and beyond.",,"Go to overview 
 
 
 
 
 
 
 
 
 
 
 
 
 Contact
            
             
 
 
 
 
 
 
 
 
 
 Search",https://www.linkedin.com/company/thoughtworks/,"software development company, technology consultancy, thoughtworks, Thoughtworks",partial,1
Milchwerk Radolfzell | Conference: Culture: Exhibition,4.3,869.0,Werner-Messmer-Straße 14,Radolfzell,,DE,http://www.milchwerk-radolfzell.de/,+49 7732 81362,Event venue,Cultural center,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Milchwerk%20Radolfzell%20%7C%20Conference%3A%20Culture%3A%20Exhibition&query_place_id=ChIJwb3hSehhmkcRddCR54DtmO4,Event venue,Startseite – Milchwerk Radolfzell,"Milchwerk Radolfzell – Ihr Veranstaltungsort am Bodensee! Buchen Sie exklusive Tagungsräume und Säle für Meetings, Vorträge, Märkte, Messen, Shows und Konzerte.",07732 8136,"Region. 
 #1 Eventort Wir sind die führende Veranstal­tungs­location in Radolfzell und Umgebung. 
 300+ Events pro Jahr",,,partial,1
Messe Speis&Trank,4.4,10.0,Albstraße 9,Neuhausen auf den Fildern,,DE,http://www.messe-speisundtrank.de/,+49 7158 902462,Event management company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20Speis%26Trank&query_place_id=ChIJzxHRE0DBmUcR1qCWcgy9qcQ,Event management company,Speis & Trank - Die Messe für Handverlesene Spezialitäten,,,,,,partial,1
AixTextiles GmbH,4.4,9.0,Sigsfeldstraße 7,Aachen,,DE,http://www.aixtextiles.de/,+49 1575 3708530,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=AixTextiles%20GmbH&query_place_id=ChIJoQ__F8GdwEcRITj-oPWGDCU,Clothes and fabric manufacturer,Startseite - Textilproduktion Türkei- Aixtextiles - Textilproduktion & Fullfillment - All in One,Textilproduktion Türkei Hoch qualitative mit Büro und Lager in Deutschland. Textilagentur Deutschland mit Jahrelange Expertise in Textilien.,49 1575 370,,,,partial,1
Aytex Textil-Vertriebs GmbH,4.5,11.0,Eilendorfer Str. 179,Aachen,,DE,https://www.aytex.de/,+49 241 928190,Wholesaler,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Aytex%20Textil-Vertriebs%20GmbH&query_place_id=ChIJIXcutCycwEcRmf814s4tTUE,Wholesaler,Start - Aytex,,,"Fashion und Design 
 Videos 
 Kontakt 
 
 
 
 
 
 
 Login Contact 
 
 
 
 
 
 
 
 
 
 
 
 
 You are using an outdated",,,partial,1
LUSITEX Produktion & Großhandel von Textilien,5.0,4.0,Trajanstraße 76,Moers,,DE,http://strauss-home.com/,,Fabric product manufacturer,Textile exporter,Textile mill,,,,,,,,https://www.google.com/maps/search/?api=1&query=LUSITEX%20Produktion%20%26%20Gro%C3%9Fhandel%20von%20Textilien&query_place_id=ChIJg5c8FJ-9uEcR1CnRa4DAXF8,Fabric product manufacturer,Strauss Home Deutschland,"Strauss Home – Heimtextilien mit Liebe gemacht 💛 Entdecke weiche Stoffe, zeitloses Design & Wohlfühlqualität für dein gemütliches Zuhause.",,,,,partial,1
House Style - Textil-Großhandel | wholesale fashion clothing | hurtownia odziezy,3.9,11.0,Max-Planck-Straße 34,Karben,,DE,http://www.house-style.de/,+49 6039 938080,Clothes and fabric wholesaler,Clothing store,,,,,,,,,https://www.google.com/maps/search/?api=1&query=House%20Style%20-%20Textil-Gro%C3%9Fhandel%20%7C%20wholesale%20fashion%20clothing%20%7C%20hurtownia%20odziezy&query_place_id=ChIJRQWmmvEEvUcRWOiPHPDPIv0,Clothes and fabric wholesaler,House Style,"House Style, Textilgrosshandel",49-6039-9380,,,"House Style, Textilgrosshandel",partial,1
NONZ GmbH Textil Großhandel,4.9,31.0,Ernestinenstraße 85,Essen,,DE,https://nonzfashion.fashion123.de/,+49 177 4415588,Clothing wholesale market place,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=NONZ%20GmbH%20Textil%20Gro%C3%9Fhandel&query_place_id=ChIJDQSR97DCuEcR6rizxLK5e2k,Clothing wholesale market place,,,,,,,partial,0
RE TEXTIL Deutschland GmbH,4.0,30.0,Im Gohl 4-8,Polch,,DE,http://www.re-textil.de/,+49 2654 8810800,Clothes and fabric manufacturer,Waste management service,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RE%20TEXTIL%20Deutschland%20GmbH&query_place_id=ChIJ4x6vbh1dvkcRZEaUEJUBCzc,Clothes and fabric manufacturer,Textilrecycling // RE TEXTIL,RE TEXTIL Deutschland aus Polch bei Koblenz ist ein Textilrecycling- und Sortierbetrieb für Altkleider und Schuhe.,49 2654 8810,,,,partial,1
Gür GmbH Textil Näherei Großhandel,4.9,7.0,Hahnerberger Str. 287,Wuppertal,,DE,http://www.guertextil.com/,+49 202 40868340,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=G%C3%BCr%20GmbH%20Textil%20N%C3%A4herei%20Gro%C3%9Fhandel&query_place_id=ChIJQWTpIQvWuEcRxyWMc8lErH4,Clothes and fabric manufacturer,STRATO - Domain reserved,,,,,,partial,1
Jumbo-Textil GmbH & Co. KG,4.8,9.0,Stennert 7,Sprockhövel,,DE,http://www.jumbo-textil.de/,+49 2339 9293970,Clothes and fabric manufacturer,Fabric product manufacturer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jumbo-Textil%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJ37UxJi0muUcRAeIZsHBvMr8,Clothes and fabric manufacturer,JUMBO-Textil – IHR LÃSUNGSPARTNER FÃR HIGHTECH-TEXTILIEN,,49 2339 9293,,https://de.linkedin.com/company/jumbo-textil-gmbh-&-co.-kg,,partial,1
Müller Textil GmbH,4.3,6.0,Industriegelände 8,Wiehl,,DE,https://www.mullertextiles.com/,+49 2262 8070,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=M%C3%BCller%20Textil%20GmbH&query_place_id=ChIJtRpDUOy3vkcRI-pVbteZjN8,Clothes and fabric manufacturer,Innovative Abstandsgewirke | MÜLLER TEXTIL,MÜLLER TEXTIL ist der führende Hersteller innovativer Abstandsgewirke und erfüllt als global tätiges Familienunternehmen höchste Ansprüche unterschiedlichster Branchen.,,,https://www.linkedin.com/company/mueller-textil-gmbh/,,partial,1
Cristaltex Deutschland GmbH,5.0,2.0,Breslauer Str. 8,Neuss,,DE,http://www.cristaltex.fashion123.de/,+49 2131 1538900,Wholesaler,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cristaltex%20Deutschland%20GmbH&query_place_id=ChIJAWVS5o--cUERT0mdB8ilCxI,Wholesaler,"Your & Self by Cristaltex GmbH | Modecenter, Label your & self Wholesale,","B2B | Your &amp; Self | Textilien Grosshandel, Grosshandel Bekleidung, Gro&#223;handel Textil, Fashion Wholesale, Mode Groothandel",49 176 6681,ONE BEFORE ORDERING!  Bei Fragen/ any question feel free to contact us  +49 2131 1538901  ( Mo-Fr von 9-16 )   FOR  YOUR,,"B2B | Your &amp; Self by Cristaltex GmbH | Textilien Grosshandel, Grosshandel Bekleidung, Gro&#223;handel Textil, Fashion Wholesale, Mode Groothandel",partial,1
Akdogan Textil & Fabric & Textilagency,4.5,22.0,Lise-Meitner-Straße 1,Hohenbrunn,,DE,https://akdogantextilien.de/,+49 163 1409045,Clothes and fabric manufacturer,Clothes and fabric wholesaler,Clothing wholesaler,Custom t-shirt store,Embroidery service,Fabric product manufacturer,Fabric store,Fabric wholesaler,Textile exporter,Textile mill,https://www.google.com/maps/search/?api=1&query=Akdogan%20Textil%20%26%20Fabric%20%26%20Textilagency&query_place_id=ChIJO6IThwrhnUcRrVeEXyM82Sk,Clothes and fabric manufacturer,Akdogan Textilien & Stoffe & Textilproduktion,"Textilproduktion Türkei, Textilproduktion Deutschland , Textilagentur,Stoffgroßhändler,Textilagency,Hoodies,T-Shirt,Jacke,Poloshirt,Regenjacke Produktion-",2003-2021,"Contact us                     
 
 Als Textilagentur können",,"Stoffe, T-shirt, Poloshirt, Sweatshirt, oversizeshirt, Großhandel Turkei, Textil Großhandel Deutschland, Textilhersteller Turkei, textilhersteller Deutshland, grosshandel textil, t shirt bedrucken, pullover bedrucken, t shirt druck, regenjacke, hoodies",partial,1
Textil-Grosshandel24.de,2.2,13.0,Am Osterbrauck 14,Hemer,,DE,http://www.textil-grosshandel24.de/,+49 2372 9359625,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Textil-Grosshandel24.de&query_place_id=ChIJ41KUIaNBuUcRr4PkX7AYwrs,Clothes and fabric manufacturer,,,,,,,partial,0
B&D Textiles,3.5,11.0,Wörnitzstraße 115A,Nuremberg,,DE,https://bd-textiles.de/,+49 911 8155440,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=B%26D%20Textiles&query_place_id=ChIJo4_wZR1Rn0cRRdxVZjLM9DY,Clothes and fabric manufacturer,Startseite | B&D Textiles,"Frische Farben, zeitlose Designs, langlebig und nachhaltig! Hochwertig, zuverlässig, strapazierfähig und individuell! Funktional, bequem, langlebig und mode ...",911 8155 440,,,,partial,1
Style Textilhandel GmbH Germany,5.0,1.0,Mumbacher Talstraße 130,Mörlenbach,,DE,https://www.style-textilhandel.eu/,+49 6209 794648,Clothes and fabric manufacturer,Clothing wholesaler,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Style%20Textilhandel%20GmbH%20Germany&query_place_id=ChIJYf0pHU7cl0cRpwXLR65TQk8,Clothes and fabric manufacturer,Startseite - Style Textilhandel GmbH Germany,,,,,,partial,1
La Maglietta GmbH,4.1,13.0,Gewerbepark Brand 61,Aachen,,DE,http://www.la-maglietta.de/,+49 241 9160680,Clothing wholesaler,Internet marketing service,,,,,,,,,https://www.google.com/maps/search/?api=1&query=La%20Maglietta%20GmbH&query_place_id=ChIJAcNtF5yZwEcRthRBENPYTWA,Clothing wholesaler,La Maglietta - Das T-Shirt,Offizieller Webshop der Marke La Maglietta,,,,,partial,1
Ecotex Germany & Helppack | Altkleidersammlung und Textilverwertung | Used Clothing Collection & Recycling,4.8,4.0,Derken 10,Wuppertal,,DE,http://ecotexgroup.com/,+49 202 273300,Recycling center,Clothing supplier,Clothing wholesale market place,Clothing wholesaler,Footwear wholesaler,Textile exporter,,,,,https://www.google.com/maps/search/?api=1&query=Ecotex%20Germany%20%26%20Helppack%20%7C%20Altkleidersammlung%20und%20Textilverwertung%20%7C%20Used%20Clothing%20Collection%20%26%20Recycling&query_place_id=ChIJXwVP7lzRuEcRbkxYUwt1R6A,Recycling center,,,,,,,partial,0
Cotty Textiles GmbH | Textilhersteller & Textil Manufaktur,5.0,5.0,Im Dorf 3,Leverkusen,,DE,https://www.cottytextiles.de/,+49 15566 288306,Textile mill,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cotty%20Textiles%20GmbH%20%7C%20Textilhersteller%20%26%20Textil%20Manufaktur&query_place_id=ChIJffTVcZMrv0cRIESL3FqzpgQ,Textile mill,Cotty Textiles I Homepage,,49 155 6628,"Women’s Wear 
 
 
 
 
 
 
 FAQ 
 
 
 
 
 Blog 
 
 
 
 
 Contact us 
 
 
 
 
 
 
 
 
 +49 155 66288306",,"cotty textiles,Clothing Manufacturer,Innovative Designs,garment,Clothing",partial,1
Jansen Fashion Group GmbH,4.4,7.0,Widdiger Str. 1-9,Wesseling,,DE,http://www.jansen-fashiongroup.de/,+49 2236 89210,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jansen%20Fashion%20Group%20GmbH&query_place_id=ChIJmfEYxWchv0cRumtm7dUWRtU,Clothes and fabric manufacturer,Jansen Fashion Group,,,,,,partial,1
WIMS TEXTILES GERMANY,5.0,2.0,Bergstraße 34,Solingen,,DE,http://www.wims-textiles.com/,+49 212 65001564,Clothes and fabric manufacturer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=WIMS%20TEXTILES%20GERMANY&query_place_id=ChIJi5qAi9DVuEcRsLGZNvw4KDM,Clothes and fabric manufacturer,WIMS,,49 212 6500,"spital
                   
 
 
 
 E-BROCHURE 
 SHOP 
 
 
 
 CONTACT US 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
            Glob",,,partial,1
SUSE Software Solutions Germany GmbH,4.9,84.0,Frankenstraße 146,Nuremberg,,DE,http://www.suse.com/,+49 911 740530,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SUSE%20Software%20Solutions%20Germany%20GmbH&query_place_id=ChIJn6hKULpXn0cRUFJe_C0-aB0,Software company,Open Source Software Solutions for Enterprise Servers & Cloud | SUSE,"Modernize your infrastructure with SUSE Linux Enterprise servers, cloud technology for IaaS, and SUSE's software-defined storage.",,"Contact Us 
 
 
 
 
 Free Downloads 
 
 
 
 
 
 
 
   Accoun",https://www.linkedin.com/company/suse,"Linux, best linux server, enterprise Linux, Linux operating system, linux server os",partial,1
Hattrick Software GmbH,4.3,17.0,Hoheneichstraße 79A,Herzogenrath,,DE,https://www.hattrick24.de/,+49 2407 96000,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hattrick%20Software%20GmbH&query_place_id=ChIJgT4Ca4mYwEcRtEb-4MGzgiU,Software company,Hattrick Software,,,,,,partial,1
NürnbergMesse GmbH,4.4,16954.0,Messezentrum 1,Nuremberg,,DE,http://www.nuernbergmesse.de/,+49 911 86060,Exhibition and trade center,Event management company,,,,,,,,,https://www.google.com/maps/search/?api=1&query=N%C3%BCrnbergMesse%20GmbH&query_place_id=ChIJ66PvdOZZn0cRAModaPiPvnU,Exhibition and trade center,Home | NürnbergMesse,"Discover NürnbergMesse: Current Exhibitions, Events, News, and Information about the Nuremberg Exhibition Centre!",,Home | NürnbergMesse skip navigation mail Contact language EN   DEUTSCH     ENGLISH   search arrow_bac,https://www.linkedin.com/company/n-rnbergmesse-gmbh,NürnbergMesse Group,partial,1
MESSE ESSEN GmbH,4.3,17636.0,Messepl. 1,Essen,,DE,http://www.messe-essen.de/,+49 201 72440,Event management company,Event venue,Exhibition and trade center,Fairground,,,,,,,https://www.google.com/maps/search/?api=1&query=MESSE%20ESSEN%20GmbH&query_place_id=ChIJOy5gRSbDuEcRJ1rKKuvEm8w,Event management company,Messe Essen |  One location - countless possibilities,"With 50 trade fairs and exhibitions, including ten leading trade fairs, the Essen exhibition centre is among the top ten exhibition locations in Germany. An appealing mix of international, national and regional professional and consumer trade fairs attracts around 1.4 million visitors annually. MESSE ESSEN offers exhibitors the ideal environment to present their company and to establish important contacts with experts, key customers and opinion leaders.",,", conferences & events 
 
 
 Room for your events 
 
 
 
 
 Contact 
 
 
 Global Network 
 
 
 Regio Center 
 
 
 
 
 Th",https://www.linkedin.com/company/messe-essen-gmbh,"messe essen, congress center essen, grugahalle, leading trade fairs,key customers",partial,1
Messe Düsseldorf Halle 8b,4.6,278.0,"Halle 8b, Sportpark Nord/Europaplatz, Halle 8b",Düsseldorf,,DE,https://www.messe-duesseldorf.de/,,Event venue,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20D%C3%BCsseldorf%20Halle%208b&query_place_id=ChIJj-yScDu3uEcRewhCRZnvnck,Event venue,Startseite -- Messe Düsseldorf GmbH,"Entdecken Sie die Messe Düsseldorf: auf unseren Leitmessen in Düsseldorf, rund um den Globus und über unsere digitalen Angebote.",,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/,,partial,1
Wellfairs GmbH,4.3,16.0,Düsseldorfer Str. 41,Meerbusch,,DE,http://wellfairs.de/,+49 2132 5102240,Event management company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Wellfairs%20GmbH&query_place_id=ChIJB-K3dDe0uEcRnZGgGpk4pQU,Event management company,Wellfairs GmbH,Internationaler Messeveranstalter,49 2132 5102,"markt vom 11. Juni bis 19. Juli 2026 in eine überdachte Fan-Location mit großem Screen, Stadion-Sound, Food & Drinks und",https://www.linkedin.com/company/73098209/admin/dashboard/,,partial,1
Messe Dortmund,4.2,3907.0,Rheinlanddamm 200,Dortmund,,DE,http://messe-dortmund.de/,+49 231 1204521,Event venue,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20Dortmund&query_place_id=ChIJ41O6n9YZuUcRUPVIEha6JrU,Event venue,Messe Dortmund - Der Messeplatz in NRW | Messe Dortmund,Dortmund ist der perfekte Standort für Ihre Messe! Das Messegelände bietet Ihnen flexible Kapazitäten für Ihre Gastmesse - jetzt informieren!,0231 1204-272,,,,partial,1
Messe Düsseldorf Halle 11,4.5,1369.0,Halle 11,Düsseldorf,,DE,https://www.messe-duesseldorf.de/,,Event venue,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20D%C3%BCsseldorf%20Halle%2011&query_place_id=ChIJ4zzjiTy2uEcRIqq-RtckAz4,Event venue,Startseite -- Messe Düsseldorf GmbH,"Entdecken Sie die Messe Düsseldorf: auf unseren Leitmessen in Düsseldorf, rund um den Globus und über unsere digitalen Angebote.",,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/,,partial,1
Gourmet Festival Düsseldorf - Königsallee,3.0,5.0,Königsallee,Düsseldorf,,DE,,,Festival,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gourmet%20Festival%20D%C3%BCsseldorf%20-%20K%C3%B6nigsallee&query_place_id=ChIJIfKtaQDLuEcRhXUdcM2bmAs,Festival,,,,,,,partial,0
foodjobs GmbH,4.9,11.0,Kaarster Weg 19,Düsseldorf,,DE,http://www.foodjobs.de/,+49 211 95764770,Recruiter,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=foodjobs%20GmbH&query_place_id=ChIJ7YiliXS2uEcRZUZ00bcp5Qs,Recruiter,foodjobs.de - Die Jobbörse für die Lebensmittelbranche - foodjobs,"Für alle, die im Lebensmittelbereich ein- und aufsteigen möchten. foodjobs.de ist das Jobportal speziell für die Lebensmittelwirtschaft. Als Karrierebegleiter für all diejenigen, die in der Lebensmittelwirtschaft ein- und aufsteigen möchten, bietet foodjobs.de Job-Angebote, Orientierung und Hilfe rund um das Thema Karriere.",,"chhaltigkeit 5 
 F & E 35 
 Lebensmittelmanagement 34 
 Homeoffice Option 33 
 Produktion, Technik 39 
 BWL, WiWi 90",,"foodjobs, food jobs, foodjob, jobs lebensmittelindustrie, foodjobs.de, lebensmittel jobs, testing, jobs lebensmittel",partial,1
CCD Congress Center Düsseldorf - Düsseldorf Congress,4.4,3325.0,Stockumer Kirchstraße 61,Düsseldorf,,DE,https://www.duesseldorfcongress.de/,+49 211 45608401,Convention center,Business to business service,Event management company,Event venue,Function room facility,,,,,,https://www.google.com/maps/search/?api=1&query=CCD%20Congress%20Center%20D%C3%BCsseldorf%20-%20D%C3%BCsseldorf%20Congress&query_place_id=ChIJ8-TJlRe2uEcRJWSpnnolG9E,Convention center,CCD Congress Center Düsseldorf - Kongresszentrum,"Kongresszentrum für Kongresse, Tagungen, HVs, Konferenzen und Ausstellungen mit bis zu 100.000 Besuchern in Düsseldorf",49 211 4560,"sseldorf - Internationales Kongresszentrum, Tagungs- & Eventlocation 60 Eventprofis, flexible Hallen- und Raumkonzepte,",https://www.linkedin.com/company/duesseldorfcongress/,,partial,1
Eventkirche Dortmund by Stolzenhoff Catering in Dortmund,4.7,336.0,Hochstraße 12,Dortmund,,DE,,+49 231 427860,Function room facility,Wedding bakery,Wedding buffet,Wedding planner,Wedding service,Wedding venue,,,,,https://www.google.com/maps/search/?api=1&query=Eventkirche%20Dortmund%20by%20Stolzenhoff%20Catering%20in%20Dortmund&query_place_id=ChIJWz3FRKIZuUcRHjIQ9oa90ZA,Function room facility,,,,,,,partial,0
Congress-Centrum Ost Koelnmesse,4.3,892.0,Deutz-Mülheimer Str. 51,Cologne,,DE,https://www.koelnmesse.de/,+49 221 8212121,Event venue,Convention center,Function room facility,,,,,,,,https://www.google.com/maps/search/?api=1&query=Congress-Centrum%20Ost%20Koelnmesse&query_place_id=ChIJIddCWcQlv0cRKzChBYq2moY,Event venue,Startseite | Koelnmesse,"Koelnmesse organisiert mehr als 80 Messen, Ausstellungen und Events in Köln und weltweit. Diese geben Ihrem Geschäft wichtige Impulse.",,"Kontakt 
 
 
 
 
 
 
 
 
 
 Übersicht 
 
 Termine 
 
 Location und Services 
 
 Unternehmen 
 
 Karriere 
 
 Press",https://www.linkedin.com/company/koelnmesse-gmbh,"Koelnmesse, Veranstaltungen, Messen, Events, Köln, Termine, Oeffnungszeiten, Hallenplan, Aussteller, Besucher, Messeveranstalter, Eventveranstalter",partial,1
Wissenschaftspark Gelsenkirchen GmbH,4.3,1038.0,Munscheidstraße 14,Gelsenkirchen,,DE,http://www.wipage.de/,+49 209 1671000,Conference center,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Wissenschaftspark%20Gelsenkirchen%20GmbH&query_place_id=ChIJ5dkWdxfnuEcRRWNpsBuJTQ0,Conference center,Wissenschaftspark Gelsenkirchen - Wissenschaftspark Gelsenkirchen,"Preisgekrönter Technologiepark, Business-Center im Kreativquartier, Veranstaltungszentrum, Branchentreff, Coworking Space für StartUps. Branchenfokus Klimaschutz, IT-Cluster, Gesundheitswirtschaft, Design.",49 209 167,"nferenzsaal 
 
 
 Plenarsaal 
 
 
 Konferenzräume 
 
 
 Fotolocation 
 
 
 Imagevideo - Link auf Youtube.com 
 
 
 
 
 T",https://www.linkedin.com/company/wissenschaftspark-gelsenkirchen,,partial,1
Zoo Event,4.4,295.0,Riehler Str. 173,Cologne,,DE,http://zoo-event.com/,+49 221 767574,Event planner,Breakfast restaurant,Function room facility,Event venue,Wedding venue,,,,,,https://www.google.com/maps/search/?api=1&query=Zoo%20Event&query_place_id=ChIJ_2d8AZMlv0cRYrShYnxV2_o,Event planner,Zoo Event - Home,,,"JOB 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Neue Eventlocation im Zoo															
 
 
…Ihr Firmen-Event bei uns",,,partial,1
Foodsharing Fairteiler,4.4,8.0,,Cologne,,DE,https://foodsharing.de/?page=fairteiler&sub=ft&id=1535,,Food bank,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Foodsharing%20Fairteiler&query_place_id=ChIJU6v_VAgnv0cRhaWrAhOEuCc,Food bank,foodsharing,Auf foodsharing.de kannst du deine Lebensmittel vor dem Verfall an soziale Einrichtungen oder andere Personen abgeben,,,,"foodsharing, essen, lebensmittel, ablaufdatum, Lebensmittelverschwendung, essen wegschmeißen, spenden, lebensmitteltausch",partial,1
Koln Messe/Deutz,4.0,1845.0,Ottopl. 7,Cologne,,DE,,,Transportation service,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Koln%20Messe%2FDeutz&query_place_id=ChIJ8fGkWiclv0cRhhcuYChng58,Transportation service,,,,,,,partial,0
Koelncongress GmbH,4.3,68.0,Messepl. 1,Cologne,,DE,http://www.koelncongress.de/,+49 221 8212121,Convention center,Event venue,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Koelncongress%20GmbH&query_place_id=ChIJCWBQ6sYlv0cReQIp2657ti8,Convention center,,,,,,,partial,0
Messe CAKE & BAKE,3.1,30.0,Rheinlanddamm 200,Dortmund,,DE,https://www.cakeandbakemesse.de/,+49 231 1204521,Business networking company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20CAKE%20%26%20BAKE&query_place_id=ChIJVVVVONEZuUcRTKmdlLJwtvk,Business networking company,CAKE & BAKE Dortmund 2026 – Die Messe für Tortenkunst,Erlebe am 28. & 29. März 2026 in der Messe Dortmund Deutschlands größte Torten- & Backmesse. Die CAKE & BAKE.,,,,,partial,1
