Company Name,Country,Website,Email,LinkedIn,Phone,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Digel Division 1,Germany,https://digel.com,support@digel.com,https://de.linkedin.com/company/digel-ag,+4974526040,Digel AG,,,,,,partial,2
Denham Division 1,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,https://nl.linkedin.com/company/denham-the-jeanmaker,,DENHAM the Jeanmaker - Premium Denim for Men & Women,"DENHAM was founded in Amsterdam in 2008, Amsterdam. Driven by the pioneering spirit of the original blue jean, we approach denim design with passion and innovation while honouring tradition.",,STYLES SEE MORE Get 15% off your first order Subscribe now Contact FAQ About Us Careers Shipping Returns Collaborations,,,partial,2
Kings of Indigo Division 1,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011,Kings Of Indigo - Official Online Webshop,Amsterdam Sustainable Fashion brand since 2012,,"Journal 
 
 Careers 
 
 Newsletter 
 
 Service 
 FAQ 
 
 Contact 
 
 Fit Guide 
 
 Care Guide 
 
 Repairs 
 
 Shippin",https://www.linkedin.com/company/kings-of-indigo,,partial,2
G-Star RAW Division 1,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454,G-STAR® NL | Shop Raw Denim for Men and Women,"Discover the latest G-STAR raw denim styles for men & women, including jeans, shirts, jackets, and more. G-STAR creates designer denim for all.",,Press enter to go to main content Press enter to go to our contact page search Men Women PRELOVED Outlet G-Star RAW Hom,,,partial,2
Scotch & Soda Division 1,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,,"Scotch and Soda
 – Scotch & Soda","Discover men’s and women’s clothing from Scotch & Soda. Thoughtfully designed apparel, accessories, and denim with premium fabrics and modern style, inspired by Amsterdam.",,"AQs & Information
                 
 
 
 
                  Contact Us
                 
 
 
 
                  Size Gu",,,partial,2
PME Legend Division 1,Netherlands,https://pme-legend.com,info@pme-legend.com,,,PME Legend,Shop the PME Legend collection in the official online shop. ✓Free Shipping ✓Free Returns ✓Fast Delivery,,PME Legend PME Legend Please select a location to continue to  PME Legend Choose your country to s,,,partial,2
Cast Iron Division 1,Netherlands,https://castiron.com,info@castiron.com,,,,,,,,,partial,1
Roy Roger’s Division 1,Italy,https://royrogers.it,info@royrogers.it,,02196080978,Roy Roger's Jeans and Clothing for Man and Woman | Shop Online,Shop on the Official Roy Roger's Online Store: Jeans & Clothing for Men and Women entirely Made in Italy. Enjoy fast deliveries and free returns within 14 days. Free shipping to Italy.,02196080978,Contacts,,,partial,2
Gas Jeans Division 1,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496,"GAS Jeans | Abbigliamento Uomo Donna in Denim, scarpe e accessori","GAS Jeans è leader dell'abbigliamento in Denim per uomo e donna, non solo, anche scarpe e accessori: scopri il catalogo online completo.",12258310965,,,,partial,2
Dondup Division 1,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031,Dondup Store | DONDUP Official Online Shop,"Discover DONDUP clothing apparels for women and for men on our Official Online Shop: jeans, t-shirts, pants, dresses, sweatshirts, accessories and much more.",,lity policy Culture Deck Work with us  HOW WE CAN HELP YOU  Contact us Payment Methods Shipping Returns  LEGAL AREA  Con,https://it.linkedin.com/company/arcadia-dondup,,partial,2
Please Fashion Division 1,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206,,,,,,,partial,1
Pepe Jeans Division 1,UK,https://pepejeans.com,info@pepejeans.com,,,Pepe Jeans London - Official Website,"Pepe Jeans London new collection. Discover the latest trends in fashion and accessories for women, men and kids.",,"!
             
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Help 
 
 
 Contact us 
 
 
 Deliveries 
 
 
 Returns 
 
 
 Account",,"pepe jeans, pepe jeans uk, pepe jeans london, pepejeans, pepe london, pepe jeans shoes, pepe jeans leather jacket, pepe clothing, pepe jeans boots, pepe jeans t shirt, pepe jeans jackets, pepe jeans men, pepe jeans women, pepe kids",partial,2
AllSaints Division 1,UK,https://allsaints.com,ask@allsaints.com,,,,,,,,,partial,1
Represent Division 1,UK,https://representclo.com,info@representclo.com,https://uk.linkedin.com/company/represent-clo,,"Luxury British Streetwear | Official US Store®
        | REPRESENT","Bringing luxury British streetwear to the US, exclusive collaborations and collections. Discover the latest arrivals and discover the next chapter of Represent.",,"Please choose a variant and add your contact details
         
 
          Get notified via SMS w",,,partial,2
Percival Division 1,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244,Percival Menswear | Subverting The Classics,At Percival we redefine menswear classics through unique texture and patterns. Welcome to our online store.,,"laborations 
 
 
 
 
 
 
 
 
 Shop all 
 
 Percival x Front Office 
 
 Brighton & Hove Albion F.C. x Percival 
 
 Guinne",,,partial,2
Luke 1977 Division 1,UK,https://luke1977.com,info@luke1977.com,,20192020,"LUKE 1977 I Designer British Menswear I Official UK Online Store

      

      
        – Luke1977","Discover luxury men’s clothing collections from the LUKE 1977 online store. Find premium designer essentials, must-have statement pieces, everyday wardrobe staples and the latest fashion trends here. Home of British designer streetwear, terrace wear, smart casual wear and highly anticipated co-labs.",,Contact Us,,,partial,2
Threadbare Division 1,UK,https://threadbare.com,info@threadbare.com,,3032343638,Threadbare | Menswear & Womenswear Designed in the UK,"Shop modern menswear and womenswear at Threadbare. UK-designed clothing made to be worn, loved and lived in. Trusted Style, Honest Value.",,"Size Guide 
 
 Delivery 
 
 Returns Policy 
 
 FAQs 
 
 Contact Us 
 
 
 
 
 
 Summer Savings 2 for £40 on Selected",,,partial,2
Superdry Division 1,UK,https://superdry.com,press@superdry.com,,68101214,Superdry UK: Made for Living | Men's & Women's Clothing,"Shop the latest premium styles for the new season on the Superdry Official website, featuring jackets, dresses, accessories, and more!",,,,Superdry,partial,2
Reiss Division 1,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,,"Reiss UK - Womenswear, Menswear, & Accessories","Discover timeless style with Reiss. Shop premium womenswear, menswear, and accessories for every occasion. Elegance meets modern design",178068882797,from the App Store Here To Help Frequently Asked Questions Contact Us Site Map Size Guides Shopping With Us Delivery Re,,,partial,2
FatFace Division 1,UK,https://fatface.com,info@fatface.com,,,"FatFace | Women's Clothing, Men's Clothing, Footwear & Accessories",Discover our full range of women's and men's clothing and accessories. Buy online and collect in-store.,178068785751,y select Choose your shopping location Let us help you FAQs Contact Us Track My Order Delivery Arrange a Return Student,,,partial,2
Ecoalf Division 2,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049,"ECOALF - DISEÑO, INNOVACIÓN & SOSTENIBILIDAD","Apostamos y lideramos el cambio hacia una moda sostenible, atemporal y funcional, con el objetivo de proteger los recursos naturales del planeta.",34 91902504,"alquier momento. Para ello, consulte nuestra información de contacto en el aviso legal. 
 
 
 
 
 ENTREGAS",,,partial,2
Scalpers Division 2,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707,"SCALPERS | Moda Hombre, Mujer y Niño | Nueva Colección Online
 – Scalpers","Descubre lo último en moda para hombre, mujer y niño en SCALPERS. Compra online la nueva colección y encuentra prendas exclusivas, estilo y tendencia.",1509425197,"AYUDA 
 
 
 
 
 
 
 FAQS 
 
 
 
 Contacto 
 
 
 
 Envíos 
 
 
 
 Devoluciones 
 
 
 
 Seguimi",https://www.linkedin.com/company/scalpers,,partial,2
Silbon Division 2,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041,Silbon® | COLECCIÓN PRIMAVERA VERANO 2026 | Tienda Oficial,"Tienda online de SILBON. Descubre la Nueva Colección, Campañas, LookBook y toda la actualidad de la firma en Dress Code.",,"ATENCIÓN AL CLIENTE 
                                  Contacto",,,partial,2
Brava Fabrics Division 2,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446,Brava Fabrics | Sustainable Clothing & Ethical Fashion,Find Sustainable Clothing & Ethical Fashion by Brava Fabrics. High-quality & sustainable Apparel made in Spain & Portugal ✓ Organic ✓ Sustainable ✓ Fair,,"Contact us     Brava Fabrics S.L Roc Boronat 37, 08005 Barce",,,partial,2
The Brubaker Division 2,Spain,https://thebrubaker.com,clientes@thebrubaker.com,,689370486,The Brubaker Ropa para hombre de calidad fabricada en España,"Diseñamos y fabricamos en España ropa de máxima calidad, camisas oxford, jerséis de merino y cashmere, camisas denim, camisas de vestir y camisas casual.",,,,,partial,2
Scotta 1985 Division 2,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158,Scotta 1985 | Moda para hombre,"Scotta 1985. Lo último en moda: ropa, zapatos y accesorios para hombre. Accede ahora y compra online las últimas novedades.",484402895,"Canal de Denuncias
                               
 
 
 CONTACTO Lunes a Jueves (09:00h - 14:00h / 15:00h - 18:00h)",https://es.linkedin.com/company/scotta,,partial,2
Blue Banana Brand Division 2,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,,,,,,,,partial,1
Brownie Division 2,Spain,https://browniespain.com,info@browniespain.com,,+34911044409,,,,,,,partial,1
Altonadock Division 2,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,,,,,,,,partial,1
Hoff Brand Division 2,Spain,https://thehoffbrand.com,info@thehoffbrand.com,,363738394041,,,,,,,partial,1
Kaporal Division 2,France,https://kaporal.com,info@kaporal.com,,,,,,,,,partial,1
Le Temps des Cerises Division 2,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,,0561601122,,,,,,,partial,0
Freeman T. Porter Division 2,France,https://freemantporter.com,info@freemantporter.com,,,,,,,,,partial,1
Balibaris Division 2,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,,,,,,,,partial,1
Faguo Division 2,France,https://faguo-store.com,info@faguo-store.com,,,,,,,,,partial,1
Maison Labiche Division 2,France,https://maisonlabiche.com,help@maisonlabiche.com,,+33663932434,,,,,,,partial,1
Chevignon Division 2,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375,,,,,,,partial,1
1083 Division 2,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040,,,,,,,partial,1
A.P.C. Division 2,France,https://apc.fr,info@apc.fr,,+330153634379,,,,,,,partial,1
IKKS Division 2,France,https://ikks.com,info@ikks.com,,+33241759793,,,,,,,partial,1
Closed Division 2,Germany,https://closed.com,info@closed.com,,+49404418400,,,,,,,partial,1
MAC Jeans Division 2,Germany,https://mac-jeans.com,shop@mac-jeans.com,,+3120900325,,,,,,,partial,1
Armedangels Division 2,Germany,https://armedangels.com,info@armedangels.com,,+492212923290,,,,,,,partial,1
Drykorn Division 2,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247,,,,,,,partial,1
Marc O’Polo Division 2,Germany,https://marc-o-polo.com,info@marc-o-polo.com,,,,,,,,,partial,1
Tom Tailor Division 2,Germany,https://tom-tailor.com,info@tom-tailor.com,,,,,,,,,partial,1
S.Oliver Division 2,Germany,https://soliver.de,info@soliver.de,,+4993029800101,,,,,,,partial,1
Street One Division 2,Germany,https://street-one.com,info@street-one.com,,,,,,,,,partial,1
Milestone Division 2,Germany,https://milestone.de,info@milestone.de,,,,,,,,,partial,1
Digel Division 2,Germany,https://digel.com,support@digel.com,,+4974526040,,,,,,,partial,1
Denham Division 2,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,,,,,,,,,partial,1
Kings of Indigo Division 2,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011,,,,,,,partial,1
G-Star RAW Division 2,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454,,,,,,,partial,1
Scotch & Soda Division 2,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,,,,,,,,partial,1
PME Legend Division 2,Netherlands,https://pme-legend.com,info@pme-legend.com,,,,,,,,,partial,1
Cast Iron Division 2,Netherlands,https://castiron.com,info@castiron.com,,,,,,,,,partial,1
Roy Roger’s Division 2,Italy,https://royrogers.it,info@royrogers.it,,02196080978,,,,,,,partial,1
Gas Jeans Division 2,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496,,,,,,,partial,1
Dondup Division 2,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031,,,,,,,partial,1
Please Fashion Division 2,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206,,,,,,,partial,1
Pepe Jeans Division 2,UK,https://pepejeans.com,info@pepejeans.com,,,,,,,,,partial,1
AllSaints Division 2,UK,https://allsaints.com,ask@allsaints.com,,,,,,,,,partial,1
Represent Division 2,UK,https://representclo.com,info@representclo.com,,,,,,,,,partial,1
Percival Division 2,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244,,,,,,,partial,1
Luke 1977 Division 2,UK,https://luke1977.com,info@luke1977.com,,20192020,,,,,,,partial,1
Threadbare Division 2,UK,https://threadbare.com,info@threadbare.com,,3032343638,,,,,,,partial,1
Superdry Division 2,UK,https://superdry.com,press@superdry.com,,68101214,,,,,,,partial,1
Reiss Division 2,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,,,,,,,,partial,1
FatFace Division 2,UK,https://fatface.com,info@fatface.com,,,,,,,,,partial,1
Ecoalf Division 3,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049,,,,,,,partial,1
Scalpers Division 3,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707,,,,,,,partial,1
Silbon Division 3,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041,,,,,,,partial,1
Brava Fabrics Division 3,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446,,,,,,,partial,1
The Brubaker Division 3,Spain,https://thebrubaker.com,clientes@thebrubaker.com,,689370486,,,,,,,partial,1
Scotta 1985 Division 3,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158,,,,,,,partial,1
Blue Banana Brand Division 3,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,,,,,,,,partial,1
Brownie Division 3,Spain,https://browniespain.com,info@browniespain.com,,+34911044409,,,,,,,partial,1
Altonadock Division 3,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,,,,,,,,partial,1
Hoff Brand Division 3,Spain,https://thehoffbrand.com,info@thehoffbrand.com,,363738394041,,,,,,,partial,1
Kaporal Division 3,France,https://kaporal.com,info@kaporal.com,,,,,,,,,partial,1
Le Temps des Cerises Division 3,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,,0561601122,,,,,,,partial,0
Freeman T. Porter Division 3,France,https://freemantporter.com,info@freemantporter.com,,,,,,,,,partial,1
Balibaris Division 3,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,,,,,,,,partial,1
Faguo Division 3,France,https://faguo-store.com,info@faguo-store.com,,,,,,,,,partial,1
Maison Labiche Division 3,France,https://maisonlabiche.com,help@maisonlabiche.com,,+33663932434,,,,,,,partial,1
Chevignon Division 3,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375,,,,,,,partial,1
1083 Division 3,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040,,,,,,,partial,1
A.P.C. Division 3,France,https://apc.fr,info@apc.fr,,+330153634379,,,,,,,partial,1
IKKS Division 3,France,https://ikks.com,info@ikks.com,,+33241759793,,,,,,,partial,1
Closed Division 3,Germany,https://closed.com,info@closed.com,,+49404418400,,,,,,,partial,1
MAC Jeans Division 3,Germany,https://mac-jeans.com,shop@mac-jeans.com,,+3120900325,,,,,,,partial,1
Armedangels Division 3,Germany,https://armedangels.com,info@armedangels.com,,+492212923290,,,,,,,partial,1
Drykorn Division 3,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247,,,,,,,partial,1
Marc O’Polo Division 3,Germany,https://marc-o-polo.com,info@marc-o-polo.com,,,,,,,,,partial,1
Tom Tailor Division 3,Germany,https://tom-tailor.com,info@tom-tailor.com,,,,,,,,,partial,1
S.Oliver Division 3,Germany,https://soliver.de,info@soliver.de,,+4993029800101,,,,,,,partial,1
Street One Division 3,Germany,https://street-one.com,info@street-one.com,,,,,,,,,partial,1
Milestone Division 3,Germany,https://milestone.de,info@milestone.de,,,,,,,,,partial,1
Digel Division 3,Germany,https://digel.com,support@digel.com,,+4974526040,,,,,,,partial,1
Denham Division 3,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,,,,,,,,,partial,1
Kings of Indigo Division 3,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011,,,,,,,partial,1
G-Star RAW Division 3,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454,,,,,,,partial,1
Scotch & Soda Division 3,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,,,,,,,,partial,1
PME Legend Division 3,Netherlands,https://pme-legend.com,info@pme-legend.com,,,,,,,,,partial,1
Cast Iron Division 3,Netherlands,https://castiron.com,info@castiron.com,,,,,,,,,partial,1
Roy Roger’s Division 3,Italy,https://royrogers.it,info@royrogers.it,,02196080978,,,,,,,partial,1
Gas Jeans Division 3,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496,,,,,,,partial,1
Dondup Division 3,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031,,,,,,,partial,1
Please Fashion Division 3,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206,,,,,,,partial,1
Pepe Jeans Division 3,UK,https://pepejeans.com,info@pepejeans.com,,,,,,,,,partial,1
AllSaints Division 3,UK,https://allsaints.com,ask@allsaints.com,,,,,,,,,partial,1
Represent Division 3,UK,https://representclo.com,info@representclo.com,,,,,,,,,partial,1
Percival Division 3,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244,,,,,,,partial,1
Luke 1977 Division 3,UK,https://luke1977.com,info@luke1977.com,,20192020,,,,,,,partial,1
Threadbare Division 3,UK,https://threadbare.com,info@threadbare.com,,3032343638,,,,,,,partial,1
Superdry Division 3,UK,https://superdry.com,press@superdry.com,,68101214,,,,,,,partial,1
Reiss Division 3,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,,,,,,,,partial,1
FatFace Division 3,UK,https://fatface.com,info@fatface.com,,,,,,,,,partial,1
Ecoalf Division 4,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049,,,,,,,partial,1
Scalpers Division 4,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707,,,,,,,partial,1
Silbon Division 4,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041,,,,,,,partial,1
Brava Fabrics Division 4,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446,,,,,,,partial,1
