Company,City,Phone,Website,Category,Sector,Target Title (LinkedIn),LinkedIn Search String,Pitch Message,Status,Email,WhatsApp,LinkedIn,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
H & R Netzwerk GmbH - IT Partner der Unternehmen,Gronau,+49 2565 93500,https://www.hrnetzwerk.de/,Computer service,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""H & R Netzwerk GmbH - IT Partner der Unternehmen"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,jobs@hrnetzwerk.de,,,Willkommen bei der H & R Netzwerk GmbHIhrem,Die H & R Netzwerk GmbH ist seit 1995 als IT - Systemhaus tätig. Seit 2007 sind wir einer der bundesweit ersten 150 Tobit Premium Partner (heute: 5-Sterne,02565 9350,,,"Windows,IT,Support,Microsoft,Tobit,Software,Unternehmen,Email,david,Partner",partial,2,,,True,True,False,2,0,email only,Willkommen bei der H & R Netzwerk GmbHIhrem,02565 9350,
HRF GmbH & Co. KG,Reinheim,+49 6162 94920,http://www.hrf.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRF GmbH & Co. KG"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,hrf@hrf.de,,https://www.linkedin.com/company/37755282,HRF,Software Solutions,0571 3877,,https://www.linkedin.com/company/37755282,,partial,2,,,True,True,False,2,0,email only,HRF,0571 3877,https://www.linkedin.com/company/37755282
Hard 'n Software Consulting GmbH,Marburg,,http://hnsc.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Hard 'n Software Consulting GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hnsc.de,,,,,,,,,partial,2,,,True,True,False,2,0,email only,,,
HRS Germany GmbH,Frankfurt am Main,+49 69 870039148,https://www.hrsgermany.com/,Recruiter,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRS Germany GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hrsgermany.com,,https://www.linkedin.com/company/hrs-germany/,Personalvermittlung | HRS Germany,"Entdecken Sie neue Möglichkeiten mit HRS Germany, Ihrem Spezialist in der Personalvermittlung. Spezialisiert auf die Vermittlung von qualifizierten Kandidaten an Top-Unternehmen. Entdecken Sie unseren Service.",,,https://www.linkedin.com/company/hrs-germany/,,partial,2,,,True,True,False,2,0,email only,Personalvermittlung | HRS Germany,,https://www.linkedin.com/company/hrs-germany/
HYPE Innovation,Bonn,+49 228 22760,https://www.hypeinnovation.com/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HYPE Innovation"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hypeinnovation.com,,https://www.linkedin.com/company/90989,HYPE Innovation Management Software and Consulting,"The only AI-powered platform connecting strategy, ideation, and execution—delivering faster innovation with higher impact.",,Contact us today,https://www.linkedin.com/company/90989,,partial,2,,,True,True,False,2,0,email only,HYPE Innovation Management Software and Consulting,,https://www.linkedin.com/company/90989
HR Software,Steinfurt,+49 2552 7505,https://www.h-roehrich.de/,Software company,HR Software,CEO / Geschäftsführer / Head of Product,"""HR Software"" Germany","Hallo [Name], Harvics HR wurde für deutsches Arbeitsrecht gebaut — Minijob, Werkvertrag, DSGVO in einem System. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman",To Contact,hr@h-roehrich.de,,,HR Software | Webdesign Steinfurt Borghorst responsive Webentwicklung ERP CRM Development Programmierung EDV  Datenbanken Rheine Emsdetten Gronau Ochtrup Greven Altenberge Nordwalde Ahaus SchÃ¶ppingen Metelen Wettringen Neuenkirchen Havixbeck Horstmar IbbenbÃ¼ren Telgte Warendorf Borken Coesfeld MÃ¼nster Roxel Hamburg,,2552 7505,,,,partial,2,,,True,True,False,2,0,email only,HR Software | Webdesign Steinfurt Borghorst responsive Webentwicklung ERP CRM Development Programmierung EDV  Datenbanken Rheine Emsdetten Gronau Ochtrup Greven Altenberge Nordwalde Ahaus SchÃ¶ppingen Metelen Wettringen Neuenkirchen Havixbeck Horstmar IbbenbÃ¼ren Telgte Warendorf Borken Coesfeld MÃ¼nster Roxel Hamburg,2552 7505,
Messe Stuttgart,Stuttgart,+49 711 185600,http://www.messe-stuttgart.de/,Exhibition and trade center,Food Expo/Fair,CEO / Veranstaltungsleiter / Head of Partnerships,"""Messe Stuttgart"" Germany","Hallo [Name], Harvics HR und unsere KI-Supply-Chain-Plattform sind ideal für Messeaussteller — compliance-ready für Deutschland. Darf ich unser Memorandum teilen? | Mian Muhammad Usman",To Contact,info@messe-stuttgart.de,,,Messe Stuttgart,,,,,,partial,1,,,True,False,False,1,0,skip,,,
Cologne Fair,Cologne,+49 221 8210,http://www.koelnmesse.de/,Event management company,Food Expo/Fair,CEO / Veranstaltungsleiter / Head of Partnerships,"""Cologne Fair"" Germany","Hallo [Name], Harvics HR und unsere KI-Supply-Chain-Plattform sind ideal für Messeaussteller — compliance-ready für Deutschland. Darf ich unser Memorandum teilen? | Mian Muhammad Usman",To Contact,info@koelnmesse.de,,https://www.linkedin.com/company/koelnmesse-gmbh,Startseite | Koelnmesse,"Koelnmesse organisiert mehr als 80 Messen, Ausstellungen und Events in Köln und weltweit. Diese geben Ihrem Geschäft wichtige Impulse.",,"Die Koelncongress GmbH agiert als 100%-ige Tochtergesellschaft der Koelnmesse GmbH und entstand aus den renommierten Unternehmen KölnKongress GmbH und Koelnmesse Ausstellungen GmbH. Mit rund 1.700 jährlichen Veranstaltungen aus den Geschäftsbereichen Tagungen, Kongresse, Gastmessen, Corporate Events, kulturelle und gesellschaftliche Veranstaltungen gehört Koelncongress zu den führenden Veranstaltungsdienstleistern in Deutschland. Mit der Erfahrung und dem Know-how aus 30 Jahren Geschäftstätigkeit, einem umfangreichen Portfolio an Top Locations im Zentrum Kölns und der Konzeptionsstärke eines Full-Service-Partners bietet Koelncongress maßgeschneiderte Lösungen für erfolgreiche Veranstaltungen in der Metropole Köln.",https://www.linkedin.com/company/koelnmesse-gmbh,"Koelnmesse, Veranstaltungen, Messen, Events, Köln, Termine, Oeffnungszeiten, Hallenplan, Aussteller, Besucher, Messeveranstalter, Eventveranstalter",partial,2,,,True,True,False,2,0,email only,Startseite | Koelnmesse,,https://www.linkedin.com/company/koelnmesse-gmbh
Messe Düsseldorf,Düsseldorf,+49 211 456001,https://www.messe-duesseldorf.de/?utm_source=local&utm_medium=messe_duesseldorf&utm_campaign=mybusiness,Exhibition and trade center,Food Expo/Fair,CEO / Veranstaltungsleiter / Head of Partnerships,"""Messe Düsseldorf"" Germany","Hallo [Name], Harvics HR und unsere KI-Supply-Chain-Plattform sind ideal für Messeaussteller — compliance-ready für Deutschland. Darf ich unser Memorandum teilen? | Mian Muhammad Usman",To Contact,berndtm@messe-duesseldorf.de,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/,Startseite -- Messe Düsseldorf GmbH,"Entdecken Sie die Messe Düsseldorf: auf unseren Leitmessen in Düsseldorf, rund um den Globus und über unsere digitalen Angebote.",,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/,,partial,2,,,True,True,False,2,0,email only,Startseite -- Messe Düsseldorf GmbH,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/
BIOFACH,Nuremberg,+49 911 86069696,http://www.biofach.de/,Event management company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""BIOFACH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@biofach.de,,https://www.linkedin.com/company/biofach/,The world’s leading trade fair for organic food: Biofach Trade Fair | BIOFACH,"BIOFACH, the world’s leading trade fair for organic food. Visit the organic fair at the Exhibition centre in Nuremberg! You can find all your benefits here!",,"The world’s leading trade fair for organic food: Biofach Trade Fair | BIOFACH skip navigation mail Contact BIOFACH digital language EN   DEUTSCH     ENGLISH   into organic 16 - 19 February 2027 search arrow_back_ios Back All about the exhibition arrow_forward_ios arrow_back_ios Back The BIOFACH arrow_forward_ios arrow_back_ios Back Exhibition details arrow_back_ios Back Preview arrow_back_ios Back Impressions & review 2026 arrow_back_ios Back BIOFACH digital arrow_back_ios Back Partners arrow_back_ios Back BIOFACH World arrow_back_ios Back Sustainability arrow_back_ios Back Floor plan arrow_back_ios Back Travel & hotel arrow_back_ios Back Awareness concept ""AwareFlair"" arrow_back_ios Back Exhibitors & Products arrow_back_ios Back Knowledge & Inspiration arrow_forward_ios arrow_back_ios Back Future of food arrow_back_ios Back Future of retail arrow_back_ios Back Future of out-of-home catering arrow_back_ios Back Planetary Health arrow_forward_ios arrow_back_ios Back Planetary Health Diet arrow_back_ios Back Find articles arrow_back_ios Back Subscribe to newsletter arrow_back_ios Back Congress & Programme arrow_forward_ios arrow_back_ios Back Congress information & forum overview arrow_back_ios Back Stages and Special Shows arrow_back_ios Back Questions & answers arrow_back_ios Back BIOFACH Start-up Pitches arrow_back_ios Back Programme overview 2026 arrow_back_ios Back Exhibit arrow_forward_ios arrow_back_ios Back Book your stand arrow_back_ios Back Plan your stand arrow_forward_ios arrow_back_ios Back Exhibitor area arrow_back_ios Back Stand construction arrow_back_ios Back Important information & dates arrow_back_ios Back Trade fair logistics arrow_back_ios Back Technical regulations, legal information and warning notices arrow_back_ios Back ServicePartners arrow_back_ios Back Promote your trade show appearance arrow_forward_ios arrow_back_ios Back Marketing services arrow_back_ios Back Marketing checklist arrow_back_ios Back Downloads arrow_back_ios Back Special shows arrow_back_ios Back Press arrow_forward_ios arrow_back_ios Back Press releases arrow_back_ios Back Subscribe to press news arrow_back_ios Back Accreditation arrow_back_ios Back Media Download mail Contact BIOFACH digital language EN arrow_forward_ios   DEUTSCH     ENGLISH   search Search BIOFACH - World´s Leading Trade Fair for Organic Food Save the date! From 16 - 19 February 2027, the Nuremberg Exhibition Centre will once again be the place where the international organic food industry comes together. Find out what awaits you at BIOFACH 2027. Get your ticket now! Connecting Experiencing Learning At BIOFACH... ... we’re going new directions, together! Experience organic food in its purest form at the world’s leading organic trade fair in Nuremberg. Since 1990, BIOFACH has been the can’t-miss destination for pioneers and newcomers who share their passion for organic food and the organic market and want to exchange ideas with like-minded people along the entire value chain. From February 16-19, 2027, the largest organic food trade fair will once again open its doors at the Nuremberg Exhibition Centre and bring together exhibitors and visitors from the entire organic sector, with regional, national and international stakeholders. A diverse trade fair programme and a wide range of products invite visitors to use all their senses to explore the world of organic food, by seeing, hearing, smelling, tasting and feeling. At BIOFACH, you will experience a lively market of opportunities and a trade fair packed full of ideas, inspiration and enjoyment. Country of the year 2026: India",https://www.linkedin.com/company/biofach/,,partial,2,,,True,True,False,2,0,email only,The world’s leading trade fair for organic food: Biofach Trade Fair | BIOFACH,,https://www.linkedin.com/company/biofach/
EDEKA Foodservice Handelshof Management GmbH,Cologne,+49 2203 17060,http://www.handelshof.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""EDEKA Foodservice Handelshof Management GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@handelshof.de,,https://www.linkedin.com/company/edekafoodservice/posts/?feedView=all,Handelshof | Ihr C+C Großhandelspartner,Breites Food &  Non Food-Sortiment ✓ Tolle Angebote ✓ Tipps & Trends ✓ Großhändler für Ihre Großküche ► Finden Sie Ihren Markt - wir freuen uns auf Sie!,,,,,partial,2,,,True,True,False,2,0,email only,Handelshof | Ihr C+C Großhandelspartner,,
Gourmet Festival Köln,Cologne,+4915111374890,https://gourmetfestivals.de/exhibition/gourmet-festival-koeln-2024/,Festival,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Gourmet Festival Köln"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@veggieworld.de,,,Gourmet Festival Köln 2024 - Gourmet Festivals,,49 175 7465,https://www.instagram.com/explore/locations/1031669720/looye-kwekers/?hl=de,,,partial,2,,,True,True,False,2,0,email only,Gourmet Festival Köln 2024 - Gourmet Festivals,+49 175 7465519,
Textil-Grosshandel,Dortmund,+49 231 58689120,https://www.textil-grosshandel.eu/,E-commerce service,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""Textil-Grosshandel"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@textil-grosshandel.eu,+4915792468700,,Textil-Großhandel | Ihr Partner für Textilhandel & -druck,6000+ Textilien ✓ Textildruck ✓ Lieferung in 1-3 Tagen ✓ 100.000+ zufriedene Kunden ✓ Veredelbare Basis- & Firmenbekleidung bei Textil-Großhandel kaufen!,0157 92468700,,,,partial,2,,,True,True,False,2,0,email only,Textil-Großhandel | Ihr Partner für Textilhandel & -druck,0157 92468700,
Atlas Cash & Carry GmbH,Cologne,+49 221 37917003,https://www.atlas-cc.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Atlas Cash & Carry GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@atlas-cc.de,,,Atlas Cash and Carry – Gastronomie Großhandel,,49 221 3791,,,,partial,2,,,True,True,False,2,0,email only,Atlas Cash and Carry – Gastronomie Großhandel,+49 221 37917003,
Arasco Germany GmbH,Krefeld,+49 2151 565760,http://www.arasco.de/,Wholesaler,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Arasco Germany GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@arasco.de,+492151565760,,"Arasco - Fachlieferant Gastronomiebedarf, Lebensmittelgroßhandel",Mit mehr als 30 Jahren Erfahrung sind wir Ihr Fachlieferant für Gastronomiebedarf und hochwertige Lebensmittel in Nordrhein-Westfalen.,565760,,,,partial,2,,,True,True,False,2,0,email only,"Arasco - Fachlieferant Gastronomiebedarf, Lebensmittelgroßhandel",565760,
Dortmund Wholesale Market,Dortmund,+49 231 522143,https://grossmarkt-dortmund.de/,Wholesale market,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Dortmund Wholesale Market"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@grossmarkt-dortmund.de,,,GROSSMARKT DORTMUND,,,,,,partial,2,,,True,True,False,2,0,email only,GROSSMARKT DORTMUND,,
GB Foods Deutschland GmbH,Lübeck,+49 451 53060,https://www.thegbfoods.com/de/deutschland,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""GB Foods Deutschland GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@thegbfoods.com,,,,,,,,,partial,1,,,True,False,False,1,0,skip,,,
Oskar Großhandel für Lebensmitteln & Lagerverkauf,M. Gladbach,+49 172 5859134,,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Oskar Großhandel für Lebensmitteln & Lagerverkauf"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,,,,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
INFORM GmbH,Aachen,+49 2408 94560,http://www.inform-software.com/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""INFORM GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@inform-software.com,,https://www.linkedin.com/company/inform,AI systems to optimize business processes - INFORM,"We develop software with Decision Intelligence. Our mathematical algorithms and AI methods are proven with well over 1,000 active customers worldwide.",,"While playing this video, external contents are loaded and you may be tracked by the inital content provider. Open in new window OK We develop  software for process and decision optimization - powered by Process AI . Our systems combine decades of expertise in AI and Decision Intelligence with deep industry knowledge. our solutions Our solutions are tailored to the conditions of your industry. They help you master complex processes, identify bottlenecks, and make decision more efficiently. Today, more than  1,000 customers  worldwide trust INFORM. for these industries we work about inform For over 50 years, INFORM has been engaging in the art of solving complex business problems with mathematical models.  Pioneering  the field of computer-aided  Decision   Intelligence , we have developed dynamic and intelligent solutions. We have taken advantage of the lavish availability of data which we learn from to make intelligent decisions with ever-growing precision. We have committed ourselves to  ethically responsible AI  and  sustainable business practices . Our commitment is to make organizations  resilient, sustainable, and positioned for success . The advances in the field of AI are an inspiration for us to shape the  coming age of Process AI . learn more about inform artificial intelligence AI is changing how organizations operate by supporting people and Decisions. Read more about AI at INFORM Career at INFORM Challenging, varied and full of life. No matter where your strengths lie, with us you have every opportunity to set the decisive course for your professional future. more about jobs at INFORM Events Here you will find our latest events. Meet our experts, learn more about us and our work, and exchange knowledge and experiences. Event Overview INFORM News Want to stay up to date with what we're doing? Read more about our latest success stories, announcements and developments here. More May 27, 2026 INFORM Enables High-Performance Hybrid Operations at PSA Antwerp’s Europa Terminal INFORM and PSA Antwerp announce the successful go-live of the Integrated Terminal Scheduler (ITS) at Europa Terminal in March 2026. As the terminal navigates a complex modernization project, the optimization software supports full operational capacity by dynamically managing the entire horizontal transport chain across Automated Stacking Cranes, Straddle Carriers, and Quay Cranes, demonstrating that transformation can be implemented without compromising service levels.  More We support over 1,000 active customers, ranging from medium-sized to large corporations. references overview Sustainability is the foundation and starting point for all our corporate activities. more on this topic With multiple locations around the globe, we bring our intelligent software directly to you. our locations Solutions Aviation Ground Operations Data Analytics Finished Vehicle Logistics Logistics Production Risk & Fraud Stocktaking Supply Chain Workforce Management Software ADD*ONE FELIOS GROUNDSTAR INVENT XPERT RISKSHIELD SYNCROSUPPLY SYNCROTESS WORKFORCEPLUS YMSlite Information About us AI Glossary Events Downloads Sustainability Career Blog News Contact Privacy statement Cookie settings Legal © 2026 INFORM Software Cookie Settings",https://www.linkedin.com/company/inform,"INFORM, AI, artificial intelligence, AI, OR, operations research, software, fuzzy logic, IT, business processes, optimization",partial,2,,,True,True,False,2,0,email only,AI systems to optimize business processes - INFORM,,https://www.linkedin.com/company/inform
Software Company - E. Hunko,Aachen,,,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Software Company - E. Hunko"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,,,,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Hard & Software Dienstleistungen Horsch GmbH,Aachen,+49 241 60847130,http://www.horschweb.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Hard & Software Dienstleistungen Horsch GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,webmaster@horschweb.de,,,Horsch – Hard- & Softwaredienstleistungen GmbH,HORSCH - Hard- und Software Dienstleistungen GmbH,0241 60847130,,,,partial,2,,,True,True,False,2,0,email only,Horsch – Hard- & Softwaredienstleistungen GmbH,0241 60847130,
Thoughtworks Deutschland GmbH,Cologne,+49 221 64307060,https://www.thoughtworks.com/en-de,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Thoughtworks Deutschland GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,backgroundverification-india@thoughtworks.com,,https://www.linkedin.com/company/thoughtworks,Thoughtworks: A leading technology consultancy | Thoughtworks Germany,"We are laser-focused on transforming your digital journey so you can make extraordinary impact today, tomorrow and beyond.",,,https://www.linkedin.com/company/thoughtworks/,"software development company, technology consultancy, thoughtworks, Thoughtworks",partial,2,,,True,True,False,2,0,email only,Thoughtworks: A leading technology consultancy | Thoughtworks Germany,,https://www.linkedin.com/company/thoughtworks/
Milchwerk Radolfzell | Conference: Culture: Exhibition,Radolfzell,+49 7732 81362,http://www.milchwerk-radolfzell.de/,Event venue,Food Expo/Fair,CEO / Veranstaltungsleiter / Head of Partnerships,"""Milchwerk Radolfzell | Conference: Culture: Exhibition"" Germany","Hallo [Name], Harvics HR und unsere KI-Supply-Chain-Plattform sind ideal für Messeaussteller — compliance-ready für Deutschland. Darf ich unser Memorandum teilen? | Mian Muhammad Usman",To Contact,milchwerk@radofzell.de,,https://www.linkedin.com/shareArticle?mini=true&url={URL},Startseite – Milchwerk Radolfzell,"Milchwerk Radolfzell – Ihr Veranstaltungsort am Bodensee! Buchen Sie exklusive Tagungsräume und Säle für Meetings, Vorträge, Märkte, Messen, Shows und Konzerte.",07732 8136,#1 Eventort Wir sind die führende Veranstal­tungs­location in Radolfzell und Umgebung.,,,partial,2,,,True,True,False,2,0,email only,Startseite – Milchwerk Radolfzell,07732 8136,
Messe Speis&Trank,Neuhausen auf den Fildern,+49 7158 902462,http://www.messe-speisundtrank.de/,Event management company,Food Expo/Fair,CEO / Veranstaltungsleiter / Head of Partnerships,"""Messe Speis&Trank"" Germany","Hallo [Name], Harvics HR und unsere KI-Supply-Chain-Plattform sind ideal für Messeaussteller — compliance-ready für Deutschland. Darf ich unser Memorandum teilen? | Mian Muhammad Usman",To Contact,info@messe-speisundtrank.de,,,Speis & Trank - Die Messe für Handverlesene Spezialitäten,,,,,,partial,2,,,True,True,False,2,0,email only,Speis & Trank - Die Messe für Handverlesene Spezialitäten,,
AixTextiles GmbH,Aachen,+49 1575 3708530,http://www.aixtextiles.de/,Clothes and fabric manufacturer,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""AixTextiles GmbH"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@aixtextiles.de,,,Startseite - Textilproduktion Türkei- Aixtextiles - Textilproduktion & Fullfillment - All in One,Textilproduktion Türkei Hoch qualitative mit Büro und Lager in Deutschland. Textilagentur Deutschland mit Jahrelange Expertise in Textilien.,49 1575 370,,,,partial,2,,,True,True,False,2,0,email only,Startseite - Textilproduktion Türkei- Aixtextiles - Textilproduktion & Fullfillment - All in One,+49 1575 370,
Aytex Textil-Vertriebs GmbH,Aachen,+49 241 928190,https://www.aytex.de/,Wholesaler,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""Aytex Textil-Vertriebs GmbH"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@aytex.de,,https://www.linkedin.com/in/aytex-fashion-0b746b232/,Start - Aytex,,,,,,partial,2,,,True,True,False,2,0,email only,Start - Aytex,,
LUSITEX Produktion & Großhandel von Textilien,Moers,,http://strauss-home.com/,Fabric product manufacturer,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""LUSITEX Produktion & Großhandel von Textilien"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@strauss-home.com,,,Strauss Home Deutschland,"Strauss Home – Heimtextilien mit Liebe gemacht 💛 Entdecke weiche Stoffe, zeitloses Design & Wohlfühlqualität für dein gemütliches Zuhause.",,,,,partial,2,,,True,True,False,2,0,email only,Strauss Home Deutschland,,
House Style - Textil-Großhandel | wholesale fashion clothing | hurtownia odziezy,Karben,+49 6039 938080,http://www.house-style.de/,Clothes and fabric wholesaler,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""House Style - Textil-Großhandel | wholesale fashion clothing | hurtownia odziezy"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,shop@house-style.de,,,House Style,"House Style, Textilgrosshandel",49-6039-9380,,,"House Style, Textilgrosshandel",partial,2,,,True,True,False,2,0,email only,House Style,+49-6039-938080,
NONZ GmbH Textil Großhandel,Essen,+49 177 4415588,https://nonzfashion.fashion123.de/,Clothing wholesale market place,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""NONZ GmbH Textil Großhandel"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@fashion123.de,,,,,,,,,partial,1,,,True,False,False,1,0,skip,,,
RE TEXTIL Deutschland GmbH,Polch,+49 2654 8810800,http://www.re-textil.de/,Clothes and fabric manufacturer,Textile,CEO / Head of Supply Chain / Einkaufsleiter,"""RE TEXTIL Deutschland GmbH"" Germany","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Kurzes Gespräch? | Mian Muhammad Usman",To Contact,info@re-textil.de,,,Textilrecycling // RE TEXTIL,RE TEXTIL Deutschland aus Polch bei Koblenz ist ein Textilrecycling- und Sortierbetrieb für Altkleider und Schuhe.,49 2654 8810,,,,partial,2,,,True,True,False,2,0,email only,Textilrecycling // RE TEXTIL,+49 2654 8810 800,
