Company,Country,Category,Website,Stand,Email,Phone,LinkedIn,Instagram
DOA Trading DMCC,United Arab Emirates,Oil | Pulses/ grains / cereals / flours | Corn | Eggs & Egg Products | Wheat | Barley | Agri-product Seeds | Vegetable & animal oils & fats | Chilled & fresh food | Pulses,https://www.doaagro.com/,"N3-H28, North Hall 3",contacts@doaagro.com,+971 4 453 4985,,
"DOCANNED (XIAMEN) IMP&EXP CO.,LTD",China,World Food,https://www.docanned.com,"SW-G30, South Hall 11",info@docanned.com,+86-13055501666,https://www.linkedin.com/company/docanned,@docanned
DODONI,Cyprus,Cheese,https://dodoni.com/,"R-F19, Shk Rashid Hall",,,https://www.linkedin.com/company/dodoni-s-a,@dodoni_greece
Dofreeze LLC,United Arab Emirates,"Gluten-free Baked Goods | Bakery, cakes & desserts | Vegan / Vegetarian Products | Dates & Date Palm Products | Fortified foods & health products | Sugar-free Products | Oil | Pulses/ grains / cereals / flours | Snacks | Frozen food | Private label | Wheat | Fruit Oil | Frozen Baked Goods | Free-from products | Health & Wellness Products | Specialty Breads | Baked Goods | Cakes / Dessert | Vegetable & animal oils & fats | Gluten-Free Products",https://www.dofreeze.ae/,"A5-29, Hall 5",info@dofreeze.com,,https://www.linkedin.com/company/3657580,@dofreeze.ae
Dogourmet Foodstuff Trading,United Arab Emirates,World Food,https://www.do-gourmet.com/,"23-40, South Hall 4",sales@do-gourmet.com,+971 52 717 82 42,https://www.linkedin.com/company/do-gourmet,@dogourmetuae
Doha National Food Industries,Qatar,"Ready-to-Eat | Meat, poultry & seafood | Frozen Ready Meals | Frozen Meat | Frozen food | Professional services | Private label | Processed Meat | Specialty food | Trademark",https://www.dohanfi.qa,"36-2, South Hall 6",info@dohanfi.qa,+974 7006 6222,,
DOKING GLOBAL INC,China,"Bakery, cakes & desserts | Tea | Fortified foods & health products | Canned Products | Yoghurt (Regular, Flavoured, Fruit, etc.) | Coffee | Dried Milk Products | Frozen food | Dry goods | Ice Cream | Smoothies | Cream & Cream Products | Fortified & Functional Products | Condiments & sauces | Frozen Fruit & Vegetables | Non-alcoholic Beverages | Baking Supplies | Juices & Nectars",https://www.doking-global.com,"A-150, South Hall 7",ca254c5714ff4a723a1db3821caa9673@sen.xiaoman.cn,+86-17716311861,https://www.linkedin.com/company/103696170/admin/dashboard,
Doktar Technologies,Türkiye,Government/associations | Sustainability | Pulses/ grains / cereals / flours | Corn | Frozen food | Fresh Fruits & Vegetables | Dry goods | Private label | Wheat | Organic products | Technology | Rice | Frozen Fruit & Vegetables | Dried Fruits | Bottled Water | Chilled & fresh food | Juices & Nectars,https://www.doktar.com/en/,"TP-120, The Pavilion",info@doktar.com,+31 970 102 700 67,https://www.linkedin.com/company/doktar,@doktar_agtech
Dolce Vita,Italy,Non-alcoholic Beverages,https://dolcevitaequivocado.it,"Z6-B25, Za'abeel Hall 6",info@giacobazzivini.it,+39 059 222014,https://www.linkedin.com/company/giacobazzi-vini,@giacobazzivini
Dolceria Alba S.P.A,Italy,"Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Ready-to-Eat | Frozen food | Private label | Ice Cream / Sorbet / Gelato | Frozen Baked Goods | Free-from products | Frozen Dairy Products | Specialty food | Cakes / Dessert",https://dolceriaalba.it,"17-50, South Hall 3",dolceria@dolceriaalba.it,+39 011 0620156,https://www.linkedin.com/company/dolceria-alba-s.p.a.,@dolceriaalba
DOLCHA FOODS,Azerbaijan,World Food,https://www.dolchafoods.com,"51-40, South Hall 8",,,,
Dolphin Olive,Iran,Dry goods | Canned Products | Olive Oil | Vegetable & animal oils & fats,https://dolphinolive.org,"SH-27, South Hall 12",,,,
Dom Glutao,Brazil,"Frozen Meat | Halal and kosher food | Meat, poultry & seafood | Frozen food | Unprocessed Meat",https://www.domglutao.com.br/export,"S1-E46, Shk Saeed Hall 1",export@domglutao.com.br,+55 19 99629-1659,,
DOMAINE DE MALESCOT,France,"Spreads, honey & jams",https://www.domainedemalescot.fr,"9-24, South Hall 1",contact@domainedemalescot.fr,,https://www.linkedin.com/company/les-abeilles-de-malescot,@lesabeillesdemalescot
Domoto Foods,Japan,World Food,https://www.domoto.co.jp/,"31-34, South Hall 5",,0828481480,,
DONG DUONG DRAGON IMPORT EXPORT COMPANY LIMITED,Vietnam,Dry goods | Pulses/ grains / cereals / flours | Spices & Seasonings | Dried Fruits | Coffee Beans,https://dongduongfood.com/,"SW-L3, South Hall 11",,+84 976 826 789,,
Dong Giao Foodstuff Export JSC,Vietnam,Dry goods | Canned Products | Frozen Fruit & Vegetables | Non-alcoholic Beverages | Dried Fruits | Frozen food,https://www.doveco.com.vn,"SW-P12, South Hall 11",sales@doveco.com.vn,+84 2293 770 353,,@dovecovietnam
DONGCHANG (HK)TADING LIMITED,China,Ice Cream / Sorbet / Gelato | Frozen food,https://www.none.com,"Z4-A20, Za'abeel Hall 4",,,,
"Dongguan HongDa Foodstuff Co., Ltd",China,Finger Food | Specialty food | Nuts | Halal and kosher food | Snacks | Ready-to-Eat | Salty Snacks,https://www.dghongdafood.com,"SH-W37, South Hall 12",,,,
DONGSHAN HUACHANG FOODSTUFF COMPANY LIMITED,China,"Crustacean | Halal and kosher food | Ready-to-Eat | Meat, poultry & seafood | Business Services | Legal Services | Frozen Seafood | Fresh Seafood | Fresh Side Dishes & Ingredients | Frozen food | Sales Services | Professional services | Private label | Organic products | Shellfish | Logistics | Specialty food | Chilled & fresh food | Unprocessed Meat",https://www.huachangfood.com/,"S-E91, Trade Centre Arena",,,,
"Dongxiao Biotechnology Co., Ltd",China,Fortified & Functional Products | Health & Wellness Products | Fortified foods & health products | Fresh Side Dishes & Ingredients | Chilled & fresh food,https://www.cndongxiao.com,"DG-280, North Hall 13",export@cndongxiao.com,05366528866,,
Doni Commodities,Pakistan,Oats | Pulses | Pulses/ grains / cereals / flours | Corn | Brown Rice | Millet | Breakfast Cereals | Sorghum | Wheat | Barley | Rice | Agri-product Seeds | Vegetable & animal oils & fats,https://www.donigroup.com,"N6-128, North Hall 6",,,,
Donos Dried Fruits,Armenia,Dry goods | Dried Fruits,https://donos-arm.org/,"30-56, South Hall 5",,,,
DonResurs Ltd,Russian Federation,Dry goods | Oil | Private label | Pulses/ grains / cereals / flours | Rice | Halal and kosher food | Pasta | Vegetable & animal oils & fats,https://donresurs.com,"32-4, South Hall 5",al.iuliya2011@yandex.ru,+7-928-105-88-29,,
Donzernosnab LLC,Russian Federation,Fats & Oils,https://donzernosnab.nethouse.ru,"Z1-A40, Za'abeel Hall 1",supply@donzernosnab.com,+7 903 1305590 0,,
Door County Coffee,United States of America,Coffee,https://www.doorcountycoffee.com,"40-23, South Hall 7",,8008566613,,@doorcountycoffee
DORCAS,Tunisia,Dates & Date Palm Products | Market Research | Snacks | Artisanal | Dry goods | Professional services | Private label | Specialty food | Dried Fruits | Organic products,https://www.dorcas.com.tn,"44-26, South Hall 7",,,,@dorcas__international
Dorrin Golab Kashan Agro-Industry Group,Iran,Cordials & Syrups | Non-alcoholic Beverages | Juices & Nectars,https://dorringolab.com,"SH-101, South Hall 12",info@dorringolab.com,03155503627,,@dorringolab
Doruk Flour Mills,Türkiye,"Savoury snacks | Finger Food | Bakery, cakes & desserts | Halal and kosher food | Ready-to-Eat | Fortified foods & health products | Instant Noodles | Savoury Baked Products | Pulses/ grains / cereals / flours | Pasta | Snacks | Salty Snacks | Frozen food | Artisanal | Value-Added Food | Dry goods | Private label | Crisp Bread | Wheat | Frozen Baked Goods | Fortified & Functional Products | Crackers | Specialty food | Baked Goods | Fair Trade | Cakes / Dessert",https://dorukun.com.tr/,"N9-215, North Hall 9",,,,
Dost Hazelnuts Co,Türkiye,"Halal and kosher food | Vegan / Vegetarian Products | Spreads, honey & jams | Sugar-free Products | Snacks | Nuts | Private label | Free-from products | Dairy-free Products | Gluten-Free Products",https://www.dostfindik.com.tr,"54-14, South Hall 9",info@dostfindik.com.tr,,,@dostfindik
Dost Tarım Teknolojileri,Türkiye,Fortified foods & health products | Frozen food | Fresh Fruits & Vegetables | Health & Wellness Products | Milk | Frozen Fruit & Vegetables | Chilled & fresh food,https://www.dostziraat.com,"TP-120, The Pavilion",info@dostziraat.com,+90 (216) 474 5661,https://www.linkedin.com/company/dostziraat,@dostziraat
Double Doors,Japan,Seafood,https://www.double-doors.jp/,"S-D39, Trade Centre Arena",,0643938955,,
Double Up,Qatar,Energy Drinks | Carbonated Soft Drinks,https://www.doubleup.qa,"36-2, South Hall 6",,,,@doubleup.qa
"Dougen Co., Ltd",Japan,"Frozen Seafood | Meat, poultry & seafood | Frozen food",https://dougen-export.com/,"S-C36, Trade Centre Arena",sales@dougen-export.com,+81 6-4804-5100,https://www.linkedin.com/company/dougen,
Doux,France,"Poultry & Feathered Game | Specialty food | Frozen Meat | Halal and kosher food | Processed Meat | Meat, poultry & seafood | Frozen food | Unprocessed Meat | Ethnic Food",https://www.doux.com,"S-K30, Trade Centre Arena",,,,
Dox FMCG s.r.o,Serbia,"Crisp Bread | Bakery, cakes & desserts | Iced Tea | Baked Goods | Coffee | Bottled Water | Non-alcoholic Beverages | Instant Beverages",,"DG-E10, North Hall 13",,,,
DP World FZE,United Arab Emirates,Gulfood Fresh,https://www.dpworld.com/en,"GG-B30, North Hall 12",global.tradefinance@dpworld.com,+97148259090,https://www.linkedin.com/company/dp-world,@dpworld
Dr Aishah Solution Sdn Bhd,Malaysia,World Food,https://www.draishahsolution.com,"N2-E109, North Hall 2",dasshoppe@gmail.com,+604 4411094,,
DR FOOD FACTORY,Qatar,Vegan / Vegetarian Products | Ready-to-Eat | Sugar-free Products | Oats | Pulses/ grains / cereals / flours | Corn | Snacks | Salty Snacks | Free-from products | Specialty food | Quinoa | Healthy snacks | Gluten-Free Products,https://www.drfoodfactory.com,"36-2, South Hall 6",,,,
Dr. Oetker India Pvt. Ltd,India,"Specialty food | Private label | Bakery, cakes & desserts | Baked Goods | Condiments & sauces | Cakes / Dessert | Ready-to-Eat",https://www.oetker.in/,"N1-D56, North Hall 1",,,,
Dream Bite Foodies Pvt. Ltd,India,"Bakery, cakes & desserts | Halal and kosher food | Fortified foods & health products | Spreads, honey & jams | Oil | Private label | Health & Wellness Products | Gourmet & Fine Food | Specialty food | Baked Goods | Vegetable & animal oils & fats",https://dreambite.in/,"SH-507, South Hall 12",,,,
Dream valley foods,Egypt,"Government/associations | Halal and kosher food | Instant Noodles | Business Services | Digital Marketing | Canned Products | Pulses/ grains / cereals / flours | Corn | Accounting and Tax Preparation | Advertising, Marketing and PR | Dry goods | Professional services | Private label | Technology | Smart Food | Consulting | Dried Fruits | Organic products | Events & Exhibitions",https://www.dreamvalleyfoods.com,"44-17, South Hall 8",,,,
"Dreem Mashreq Foods , DMF",Egypt,"Gluten-free Baked Goods | Bakery, cakes & desserts | Halal and kosher food | Instant Beverages | Private label | Free-from products | Specialty food | Cakes / Dessert | Gluten-Free Products | Baking Supplies | Ethnic Food",https://www.dreem.com.eg,"46-84, South Hall 8",,,,@dreem.desserts
DRINK ID Sp Z.O.O,Poland,Energy Drinks | Iced Tea | Non-alcoholic Beverages | Carbonated Soft Drinks | Flavoured Water,https://www.drinkid.eu,"Z2-H18, Za'abeel Hall 2",hello@drinkid.eu,+48 603 868 249,,
Drobex Sp. z o.o,Poland,"Poultry & Feathered Game | Frozen Meat | Processed Meat | Meat, poultry & seafood | Frozen food",https://drobex.com.pl/,"9-87, South Hall 1",export@drobex.com.pl,+48 52 387 61 03,,
DRS Agro Exports Imports Sdn Bhd,Malaysia,Juices & Nectars,https://www.drsagro.com.my,"N2-D48, North Hall 2",,,,
DRUGOY PRODUCT LLC,Russian Federation,World Food,https://drugproduct.ru/,"32-21, South Hall 5",info@drugproduct.ru,88007377721,,
DRY FRUITS IMPORT & EXPORT LTD,Nigeria,Dry goods | Spices & Seasonings | Dried Fruits,https://www.dryfruitsimportandexport.com.ng/,"GG-103, North Hall 12",,,,
Dryfo - Menexopoulos Bros S.A,Greece,Oats | Pulses | Pulses/ grains / cereals / flours | Snacks | Millet | Nuts | Breakfast Cereals | Dry goods | Dried Fruit & Vegetables | Private label | Wheat | Barley | Cream & Cream Products | Rice | Butter | Spices & Seasonings | Quinoa | Dried Fruits,https://www.dryfo.com,"14-119, South Hall 2",contact@dryfo.com,+30 210 5570200,https://www.linkedin.com/company/dryfo,@dryfo_com
Drytech Processes (India) Private Limited,India,"Iced Tea | Bakery, cakes & desserts | Cordials & Syrups | Vegan / Vegetarian Products | Tea | Alternative Milk Products | Fortified foods & health products | Instant Noodles | Yoghurt (Regular, Flavoured, Fruit, etc.) | Dried Milk Products | Instant Beverages | Dry goods | Ice Cream | Smoothies | Instant Soups | Free-from products | Health & Wellness Products | Specialty Breads | Spices & Seasonings | Cakes / Dessert | Carbonated Soft Drinks | Baking Supplies | Instant hot beverages | Juices & Nectars",https://www.drytechindia.com,"R-L48, Shk Rashid Hall",,,,
DS Agrifoods Private Limited,India,Pulses/ grains / cereals / flours | Rice | Corn | Brown Rice,https://www.dsagrifoods.com,"N6-242, North Hall 6",,,,
DSN Green Food Company GmbH,Germany,"Bakery, cakes & desserts | Dates & Date Palm Products | Tea | Canned Products | Oil | Pulses/ grains / cereals / flours | Snacks | Nuts | Dry goods | Dried Fruit & Vegetables | Private label | Rice | Olive Oil | Energy Drinks | Baked Goods | Spices & Seasonings | Non-alcoholic Beverages | Dried Fruits | Vegetable & animal oils & fats",https://dsngreenfood.com/de/,"7-92, South Hall 1",,,,
Du It,United Arab Emirates,"Gluten-free Baked Goods | Bakery, cakes & desserts | Healthy snacks | Snacks",https://rawtogo.ru,"1-87, South Hall 1",delivery@rawtogo.ru,+7 (926) 702-86-70,,
Dubai Industrial City LLC,United Arab Emirates,Grocery Trade,https://dubaiindustrialcity.ae/,"DG-B4, North Hall 13",,,https://www.linkedin.com/company/dubaiindustrialcity,@dubaiindcity
Dubai Integrated Economic Zone Authority (DIEZA,United Arab Emirates,"Government/associations | Bakery, cakes & desserts | Alternative Milk Products | Fortified foods & health products | Canned Products | Frozen food | Eggs & Egg Products | Dry goods | Frozen Baked Goods | Free-from products | Fortified & Functional Products | Dairy-free Products | Baked Goods | Condiments & sauces | Bottled Water | Chilled & fresh food",https://www.diez.ae/,"GG-J30, North Hall 12",info@diez.ae,8003439,https://www.linkedin.com/company/diezaofficial,@diezaofficial
Dubai Multi Commodities Centre Authority,United Arab Emirates,,https://www.dmcc.ae,"GG-380, North Hall 12",setup@dmcc.ae,,https://www.linkedin.com/company/dmcc,@dmcc_authority
Dubai Municipality,United Arab Emirates,Gulfood Fresh,https://www.dm.gov.ae/,"GG-J2, North Hall 12",,,https://www.linkedin.com/company/dubai-municipality,@dubaimunicipality
Dubai South,United Arab Emirates,Government/associations,https://www.dubaisouth.ae/en,"GG-E30, North Hall 12",info@dubaisouth.ae,+971-800-76884,https://www.linkedin.com/company/dubai-south,@dubaisouth
"DUCHESS CO., LTD",Thailand,Coffee,https://www.duchess.co.th/,"Z4-G56, Za'abeel Hall 4",css@duchess.co.th,,,
DUCOFFEE (SPECIALTY COFFEES,Brazil,Private label | Organic products | Pulses/ grains / cereals / flours | Coffee | Coffee Beans,https://ducoffee.com.br/ducoffee-english,"27-60, South Hall 4",,+55 (16) 99775-3662,,
Dulari Foods,India,Pulses/ grains / cereals / flours | Rice,https://dularifoods.com,"N6-D24, North Hall 6",,,,
Dulcesol - Vicky Foods,Spain,World Food,https://www.vickyfoods.es,"15-43, South Hall 2",,,https://www.linkedin.com/company/vicky-foods,
Dunar Foods Limited,India,Private label | Pulses/ grains / cereals / flours | Rice | Brown Rice,https://www.dunarbasmatirice.com,"N7-B2, North Hall 7",,,,
Dunbia,Republic of Ireland,"Meat, Poultry",https://dunbia.com/,"S-L2, Trade Centre Arena",info@dunbia.com,,https://www.linkedin.com/company/dunbia-meats,
Dunya Food Ihr. Ith. San. Tic. A.S,Türkiye,"Poultry & Feathered Game | Processed Meat | Olive Oil | Vegetable & animal oils & fats | Unprocessed Meat | Meat, poultry & seafood | Chilled & fresh food | Eggs & Egg Products",https://dunyafood.com/,"S-H19, Trade Centre Arena",,+90 232 502 05 30,,@bykeskin_assos
Duranlar Sut A.S,Türkiye,"Halal and kosher food | Alternative Milk Products | Yoghurt (Regular, Flavoured, Fruit, etc.) | Cheese | Frozen food | Private label | Cream & Cream Products | Frozen Dairy Products | Butter",https://www.duranlarsut.com.tr/,"M-A18, Shk Maktoum Hall",,,,
Durgamoglu Gida Ic Ve Dis Tic.San.Tic.Ltd.Sti,Türkiye,"Savoury snacks | Iced Tea | Bakery, cakes & desserts | Tea | Spreads, honey & jams | Instant Noodles | Canned Products | Oil | Coffee | Snacks | Cheese | Nuts | Salty Snacks | Frozen food | Instant Beverages | Dry goods | Cream & Cream Products | Milk | Flavoured Water | Butter | Crackers | Energy Drinks | Baked Goods | Condiments & sauces | Frozen Fruit & Vegetables | Cakes / Dessert | Vegetable & animal oils & fats | Carbonated Soft Drinks | Baking Supplies",https://durgamgida.com,"Z4-131, Za'abeel Hall 4",,,,
Durian and Mangosteen Exporters Association,Thailand,Gulfood Fresh,,"GG-N42, North Hall 12",,,,
DURVESH INTERNATIONAL,Pakistan,Iced Tea | Halal and kosher food | Dates & Date Palm Products | Tea | Fortified foods & health products | Canned Products | Pulses/ grains / cereals / flours | Pasta | Snacks | Breakfast Cereals | Salty Snacks | Instant Beverages | Dry goods | Private label | Health & Wellness Products | Flavoured Water | Energy Drinks | Specialty food | Condiments & sauces | Spices & Seasonings | Dried Fruits | Healthy snacks | Organic products | Ethnic Food,https://durveshint.com/,"N1-G135, North Hall 1",,,,
Dutch Cranberry Group BV,Netherlands,"Cordials & Syrups | Vegan / Vegetarian Products | Sustainability | Spreads, honey & jams | Sugar-free Products | Fortified foods & health products | Artisanal | Nut-free Products | Professional services | Private label | Organic products | Technology | Free-from products | Health & Wellness Products | Dairy-free Products | Specialty food | Fair Trade | Fat-free Products | Non-alcoholic Beverages | Gluten-Free Products | Lactose-free Products | Trademark | Juices & Nectars",https://www.dutchcranberrygroup.nl,"Z6-F39, Za'abeel Hall 6",info@dutchcranberrygroup.nl,+31 (0)168 785353,,@dutch_cranberry_group
Dutso Dairy,Netherlands,Dairy,https://dutso-dairy.com,"M-C52, Shk Maktoum Hall",info@dutso-dairy.com,+31 412 84 91 20,,
Dydo Drinco Turkey,Türkiye,Private label | Bottled Water | Carbonated Soft Drinks | Flavoured Water | Non-alcoholic Beverages | Juices & Nectars,https://www.dydodrinco.com.tr/,"Z4-137, Za'abeel Hall 4",,,https://www.linkedin.com/company/dydodrincoturkey,@dydodrinco_turkiye
Dymovskoe Kolbasnoe Proizvodstvo,Russian Federation,World Food,https://www.v-dymov.ru,"2-88, South Hall 1",info@v-dymov.ru,+7 (391) 245-45-45,,
DYNAMIC DEAL GENERAL TRADING LLC,United Arab Emirates,World Food,https://www.dynamicdealdubai.com,"N1-G96, North Hall 1",,,,
Dynamic Pearl General Trading LLC,United Arab Emirates,"Bakery, cakes & desserts | Dried Milk Products | Pasta | Snacks | Dry goods | Private label | Popcorn | Healthy snacks | Baking Supplies",https://dynamic-pearl.com/,"N1-G120, North Hall 1",dynamicdealfood@gmail.com,+971504965112,,
E Formella & Sons Inc,United States of America,"Gourmet & Fine Food | Oil | Specialty food | Private label | Condiments & sauces | Olive Oil | Vegetable & animal oils & fats | Spreads, honey & jams",https://www.formella.com,"41-40, South Hall 7",office@formella.com,+8775980909,,
"E& Creative Co., Ltd",Republic Of Korea,Dry goods | Specialty food | Private label | Halal and kosher food | Frozen food | Ready-to-Eat | Instant Noodles | Frozen Ready Meals,https://www.cook-tok.com,"36-108, South Hall 6",intl@kukdduk.com,,,
E-Natural Limited,United Kingdom,"Bakery, cakes & desserts | Cordials & Syrups | Halal and kosher food | Vegan / Vegetarian Products | Tea | Coffee Beans | Spreads, honey & jams | Cereals / Fruit Bars | Oil | Coffee | Pulses/ grains / cereals / flours | Snacks | Breakfast Cereals | Instant Beverages | Organic products | Free-from products | Olive Oil | Popcorn | Flavoured Water | Dairy-free Products | Energy Drinks | Condiments & sauces | Non-alcoholic Beverages | Bottled Water | Vegetable & animal oils & fats | Healthy snacks | Carbonated Soft Drinks | Baking Supplies | Instant hot beverages",https://www.enaturalltd.com,"3-21, South Hall 1",,+44 (0) 20 3976 6718 186,,@enaturalltd
EANDZ CANDY GENERAL TRADING,United Arab Emirates,Power Brands,https://www.ezcandystore.com,"N1-B120, North Hall 1",,,,
Early Riser,Bahrain,"Gluten-free Baked Goods | Bakery, cakes & desserts | Ready-to-Eat | Fortified foods & health products | Spreads, honey & jams | Cereals / Fruit Bars | Oats | Pulses/ grains / cereals / flours | Snacks | Breakfast Cereals | Free-from products | Health & Wellness Products | Specialty food | Baked Goods | Gluten-Free Products",https://earlyriserbh.com,"38-55, South Hall 7",info@earlyriserbh.com,+973 33002706,,@manacafe.bh
Ease Of Life Foods,India,Specialty food | Condiments & sauces | Technology | Smart Food | Ready-to-Eat,https://happikery.com/,"N1-E59, North Hall 1",,,,
East Rice Company Pvt Ltd,Pakistan,Private label | Halal and kosher food | Pulses/ grains / cereals / flours | Rice,https://www.eastriceco.com,"N5-B32, North Hall 5",,,,
Eastern Agro Export LLC,Uzbekistan,Dry goods | Dried Fruit & Vegetables | Pulses/ grains / cereals / flours | Frozen Fruit & Vegetables | Dried Fruits | Snacks | Nuts | Frozen food | Pulses,https://www.eastagro.uz,"35-4, South Hall 6",info@eastagro.uz,,https://www.linkedin.com/company/eastern-agro-export,
Eastern Products (Pvt.) Ltd,Pakistan,Iced Tea | Halal and kosher food | Tea | Frozen Meat | Coffee | Pulses/ grains / cereals / flours | Frozen food | Dry goods | Private label | Organic products | Free-from products | Rice | Specialty food | Condiments & sauces | Frozen Fruit & Vegetables | Spices & Seasonings | Dried Fruits | Gluten-Free Products | Instant hot beverages | Ethnic Food,https://vitalgroup.biz,"Z6-G64, Za'abeel Hall 6",,,,
Eastman International,India,Pulses/ grains / cereals / flours | Rice,https://eastmanfoods.co.in,"N8-D3, North Hall 8",,,,
"Eastroc Beverage (Hong Kong) Co.,Limited",China,Energy Drinks | Tea | Non-alcoholic Beverages,https://www.szeastroc.com/,"Z2-40, Za'abeel Hall 2",,,,
EAWAN ALMOSUL GENERAL TRADING COMPANY,Iraq,World Food,https://www.eawanalmosul.com/,"33-80, South Hall 5",,,,
Ebiko Corporation,Japan,Frozen Seafood | Frozen food,https://www.ebiko.co.jp,"S-C40, Trade Centre Arena",,,,
EBM Grupp AS,Estonia,Oil | Private label | Vegetable & animal oils & fats,https://ebm.ee,"24-66, South Hall 4",info@ebm.ee,+372 659 9040,,@ebmgrupp
Ec Medina,Spain,"Frozen Meat | Processed Meat | Meat, poultry & seafood | Frozen food | Unprocessed Meat",https://www.grupomedina.com,"S-J2, Trade Centre Arena",,,,
ECLOR BOISSONS,France,Iced Tea | Halal and kosher food | Cordials & Syrups | Tea | Private label | Energy Drinks | Non-alcoholic Beverages | Carbonated Soft Drinks | Organic products | Juices & Nectars,https://www.groupe-eclor.com/en/,"Z5-J31, Za'abeel Hall 5",,,,
Eco Berry FE,Ukraine,"Free-from products | Vegan / Vegetarian Products | Gluten-Free Products | Spreads, honey & jams | Sugar-free Products | Chilled & fresh food | Fresh Fruits & Vegetables | Organic products",https://www.ecoberry.com.ua/en/,"3-22, South Hall 1",eco_berry@ukr.net,+38 (066) 913 31 26,,@ecoberry.if
Eco Choice Meat Products LLC,United Arab Emirates,"Bakery, cakes & desserts | Ready-to-Eat | Meat, poultry & seafood | Frozen Ready Meals | Fresh Ready Meals | Frozen Meat | Frozen food | Eggs & Egg Products | Frozen Dairy Products | Specialty food | Frozen Fruit & Vegetables | Cakes / Dessert | Chilled & fresh food | Unprocessed Meat",https://alwholesale.ae,"S-L79, Trade Centre Arena",u003einfo@alwholesale.ae,,,
Eco Dry Food,Uzbekistan,"Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Sugar-free Products | Snacks | Salty Snacks | Nuts | Frozen food | Dry goods | Dried Fruit & Vegetables | Private label | Free-from products | Frozen Fruit & Vegetables | Dried Fruits | Healthy snacks | Baking Supplies",https://www.ecodryfood.com,"34-26, South Hall 6",info@ecodryfood.com,+90 533 615 90 62,https://www.linkedin.com/company/eco-dry-food,@ecodryfood
Eco Export,India,Pulses | Pulses/ grains / cereals / flours | Corn | Brown Rice | Millet | Dry goods | Private label | Sorghum | Wheat | Barley | Free-from products | Rice | Agri-product Seeds | Spices & Seasonings | Quinoa | Vegetable & animal oils & fats | Gluten-Free Products,https://www.ecoexport.in/,"N5-F54, North Hall 5",,,,
Eco Nutrition Lab LLC,Uzbekistan,Healthy snacks | Snacks | Salty Snacks | Cereals / Fruit Bars,https://eco-lab.uz/en/,"34-15, South Hall 6",info@eco-lab.uz,+988 (71) 200 50 40,,@eco_lab.uz
Ecoculture Eurasia Agriculture L.L.C,United Arab Emirates,Chilled & fresh food | Fresh Fruits & Vegetables,https://ecoculture.ae/#rec619894306,"GG-366, North Hall 12",info@ecoculture.ae,+971 04 576 22 52,,
Ecofish,Tunisia,"Dry goods | Canned Products | Fish | Meat, poultry & seafood",https://www.ecofish.tn,"43-107, South Hall 7",,,,
Ecofrost,Belgium,Power Brands,https://www.ecofrost.be/fr,"419, Hall 4",info@ecofrost.be,+32 (0)69 36 29 40,https://www.linkedin.com/company/ecofrost-sa-nv,@ecofrostsa
Ecoley LLC,Uzbekistan,Dry goods | Dried Fruit & Vegetables | Dried Fruits | Snacks | Organic products,https://companywebsite.com,"34-6, South Hall 6",,,,
Ecoloni Gida Ve Ekolojik Urunler San. Tic. A.S,Türkiye,"Halal and kosher food | Dates & Date Palm Products | Ready-to-Eat | Spreads, honey & jams | Sugar-free Products | Market Research | Oats | Pulses/ grains / cereals / flours | Snacks | Salty Snacks | Sales Services | Professional services | Private label | Wheat | Free-from products | Rice | Olive Oil | Dairy-free Products | Crackers | Specialty food | Vegetable snacks | Vegetable & animal oils & fats | Healthy snacks | Organic products",https://www.ogstore.com.tr/,"GG-S33, North Hall 12",info@ogstore.com.tr,08503040154,,@ognaturaltr
Ecomil,Spain,Free-from products | Vegan / Vegetarian Products | Non-alcoholic Beverages | Gluten-Free Products | Lactose-free Products | Sugar-free Products | Dairy-free Products,https://ecomil.com/,"15-9, South Hall 2",,,,@ecomiloficial
Ecool,Armenia,"Pulses/ grains / cereals / flours | Snacks | Spreads, honey & jams | Breakfast Cereals | Cereals / Fruit Bars",https://www.ecool.am/,"1-67, South Hall 1",,,,@ecool.am
Ecoterra Ltd,Cyprus,Halal and kosher food | Vegan / Vegetarian Products | Fortified foods & health products | Sugar-free Products | Oil | Artisanal | Dry goods | Nut-free Products | Private label | Organic products | Free-from products | Olive Oil | Health & Wellness Products | Dairy-free Products | Gourmet & Fine Food | Specialty food | Fair Trade | Spices & Seasonings | Vegetable & animal oils & fats | Gluten-Free Products | Lactose-free Products,https://www.ecoterra.com.cy/,"21-23, South Hall 3",info@ecoterra.com.cy,+357 22 481 344,,@ecoterracy
Ecovinal - Vegaana,Spain,"Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Fortified foods & health products | Canned Products | Value-Added Food | Dry goods | Private label | Organic products | Free-from products | Health & Wellness Products | Gourmet & Fine Food | Specialty food | Condiments & sauces | Non-alcoholic Beverages | Baking Supplies | Ethnic Food",https://www.ecovinal.com,"14-17, South Hall 2",sales@ecovinal.com,+34948697350,https://www.linkedin.com/company/ecovinal-international,
