Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Egypt Expo & Convention Authority - EECA.,Egypt,NASER CITY,,Summer Fancy Food Show 2026,http://www.eeca.gov.eg/,shakwa@eeca.gov.eg,01029929856,,https://www.instagram.com/egyptexpoandconvention,Level 3 — 200 — Egypt,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=104176,,https://www.facebook.com/EECAAuthority,,,,,,,partial,2
eJam,United States,Santa Ana,,Summer Fancy Food Show 2026,https://eatshameless.com/,,9492295386,,,Level 1 — 5342,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=338472,,,,,,,,,partial,1
El Horno Chimi,United States,La Jolla,,Summer Fancy Food Show 2026,https://www.elhornochimi.com,info@elhornochimi.com,+13105044692,,https://www.instagram.com/elhornochimi,River Pavilion — 7116A — SFA Spark Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348763,,https://www.facebook.com/profile.php,,,,,,,partial,2
ELASION SA,Greece,IERAPETRA,,Summer Fancy Food Show 2026,https://elasion.gr/,info@elasion.gr,00302842092365,https://www.linkedin.com/company/elasion,https://www.instagram.com/elasion.gr,Level 3 — 1247,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=306510,,https://www.facebook.com/Elasion.gr,,,,,,,partial,2
ELBAK S.A.,Greece,Falani,,Summer Fancy Food Show 2026,http://www.elbak.com,peach@elbak.gr,2410 549550,,,Level 3 — 1929 — Greece,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342148,,https://www.facebook.com/ELBAK-111104827247054,,,,,,,partial,2
Elite Naturel USA LLC,United States,NYC,,Summer Fancy Food Show 2026,https://www.elitenaturel.com,support@elitenaturel.com,https://wa.me/05496347400,https://www.linkedin.com/company/elite-naturel,https://www.instagram.com/elitenaturelorganic,Level 1 — 5817 — Beverage Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=307162,,https://www.facebook.com/elitenaturel,,,,,,,partial,2
"Elmhurst Milked, LLC",United States,Elma,,Summer Fancy Food Show 2026,https://www.elmhurstmilked.com,,1231231231,,,Level 1 — 6060,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=155476,,,,,,,,,partial,1
ELSALAM FACTORY,Egypt,Giza,,Summer Fancy Food Show 2026,http://ELSALAMCO.COM,isis@elsalamco.com,+201144112220,,https://instagram.com,Level 3 — 214 — Egypt,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348436,,https://www.facebook.com/profile.php,,,,,,,partial,2
ELVAN GIDA SAN. VE TIC. A.S.,Turkey,ISTANBUL,,Summer Fancy Food Show 2026,https://www.elvan.com.tr/,,https://api.whatsapp.com/send?phone=,https://tr.linkedin.com/company/elvangroup1,https://www.instagram.com/elvangroup,Level 3 — 1600 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=306660,,https://tr-tr.facebook.com/elvangroup,,,,,,,partial,1
Elves Delights,United States,Santa Fe Springs,,Summer Fancy Food Show 2026,https://elvesdelights.com/,,+14242020770,,,Level 1 — 4503,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347263,,,,,,,,,partial,1
"Ember LifeSciences, Inc.",United States,Westlake Village,,Summer Fancy Food Show 2026,https://www.emberlifesciences.com/,sales@emberlifesciences.com,+18053721330,,,Level 3 — 382,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347364,,,,,,,,,partial,2
Emmi Desserts,United States,Kenilworth,,Summer Fancy Food Show 2026,https://www.emmidesserts.com,,908-241-9191,,,Level 3 — 1664,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1532,,,,,,,,,partial,1
Emmi Roth,United States,Stoughton,,Summer Fancy Food Show 2026,https://www.emmiroth.com/,,(608) 285-9800,https://www.linkedin.com/company/emmiroth,,Level 3 — 438 — Deli Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=3288,,https://www.facebook.com/emmirothcheese,,,,,,,partial,1
EMPACADORA BILBO SA BILBOSA,Ecuador,Montecristi,,Summer Fancy Food Show 2026,https://www.bilbo-sa.com,infor@bilbosa.com,+59352578696,,,Level 3 — 2055,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347554,,,,,,,,,partial,2
Empacadora de Aguacate San Jose,Mexico,Morelia,,Summer Fancy Food Show 2026,https://avoolio.mx/,sales@avoolio.mx,+52 4434911941,,https://www.instagram.com/avoolio.mx,Level 1 — 6270,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347265,,https://www.facebook.com/avoolio.mx,,,,,,,partial,2
Empacados USA,United States,San antonio,,Summer Fancy Food Show 2026,https://empacados.com/,clientes@empacados.com,https://wa.me/528112533222,,https://www.instagram.com/grupoempacados,"Level 3 — 2551 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=337385,,https://www.facebook.com/tr,,,,,,,partial,2
Encore Specialty Foods LLC,United States,Hingham,,Summer Fancy Food Show 2026,http://www.encorefoods.com,info@encorefoods.com,781-749-7491,,,Level 3 — 1866,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=31229,,https://www.facebook.com,,,,,,,partial,2
Enescorp International LLC,United States,Northampton,,Summer Fancy Food Show 2026,https://www.enescorp.org,,908-963-8111,,,"Level 3 — 2459 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=304820,,,,,,,,,partial,1
Enterprise Georgia,Georgia,Tbilisi,,Summer Fancy Food Show 2026,https://www.enterprisegeorgia.gov.ge/,info@gedc.ge,995322960010,,,Level 3 — 2300 — Georgia,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=300703,,https://www.facebook.com/tr,,,,,,,partial,2
"Enzo Olive Oil Company/P-R Farms, Inc.",United States,Clovis,,Summer Fancy Food Show 2026,https://www.enzooliveoil.com/,,559-299-7278,,,River Pavilion — 7332 — Good Food Mercantile (Sunday Only),https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=107222,,,,,,,,,partial,1
Enzo's of Arthur Avenue Food Products,United States,Rye,,Summer Fancy Food Show 2026,https://www.enzosauce.com/,,718-328-5807,https://il.linkedin.com/company/wix-com?trk=public_jobs_topcard_logo,https://www.instagram.com/enzosfoodproducts,Level 3 — 3072,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=314160,,https://www.facebook.com/?locale=en_GB,,,,,,,partial,1
Enzymefarm Agricultural Union Corporation,South Korea,Jeollanam-do,,Summer Fancy Food Show 2026,https://fathers-hill.shop/,hoju33000@naver.com,010-7383-0864,,,Level 3 — 529 — Korea,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348466,,,,,,,,,partial,2
EON – Eclectic Flavours P.C,Greece,Thessaloniki,,Summer Fancy Food Show 2026,https://www.eonflavours.com/,we@eonflavours.com,+302392024426,,https://www.instagram.com/eonflavours,Level 3 — 2020A — Greece,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348442,,https://www.facebook.com/eonflavours,,,,,,,partial,2
Epicure Foods Corp.,United States,Flanders,,Summer Fancy Food Show 2026,http://www.efccorp.com,info@efccorp.com,908-527-8080,,,Level 3 — 636 — Deli Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8973,,,,,,,,,partial,2
Epicurean Beverages,United States,Atlanta,,Summer Fancy Food Show 2026,http://www.epicureanbeverages.com/,,770-457-0300,,,Level 1 — 5511 — Beverage Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=31170,,,,,,,,,partial,1
ERIS FOOD,Turkey,ISTANBUL,,Summer Fancy Food Show 2026,https://erislergida.com.tr/,,(90) 533-663 98 88,,,Level 3 — 1710 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348213,,,,,,,,,partial,1
EROGLU YERLI URUNLER LTD STI OLIVE & OLIVE OIL,Turkey,AYDIN,,Summer Fancy Food Show 2026,https://www.erogluzeytin.com.tr/,contact@erogluzeytin.com.tr,https://wa.me/+905416308473,https://www.linkedin.com/company/ero,https://www.instagram.com/eroglu.olive,Level 3 — 1827 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348214,,,,,,,,,partial,2
ERORHAN GIDA SANAYI VE TICARET LTD. STI.,Turkey,AYDIN,,Summer Fancy Food Show 2026,https://www.erorhan.com.tr/,info@erorhan.com.tr,(90) 506-726 80 56,,https://www.instagram.com/erorhanoliveoil,Level 3 — 1712 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348215,,http://www.facebook.com/facebook,,,,,,,partial,2
ESCAL,France,Strasbourg,,Summer Fancy Food Show 2026,http://www.escal.fr,info@escal.fr,06 02 09 15 34,,,Level 3 — 825 — France,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347610,,,,,,,,,partial,2
Esprit Gourmand Inc,United States,Miami,,Summer Fancy Food Show 2026,https://www.espritgourmand.com/,ca@espritgourmand.com,+13053606684,https://www.linkedin.com/company/espritgourmand,https://www.instagram.com/espritgourmand_officiel,"Level 3 — 2367 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=344682,,https://www.facebook.com/lespritgourmand,,,,,,,partial,2
Essse Caffè S.p.a.,Italy,Anzola Dell'emilia,,Summer Fancy Food Show 2026,https://www.essssecaffe.it,,+39 0516425711,,,Level 3 — 3300 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=314700,,,,,,,,,partial,1
Estonian Food Industry Association,Estonia,Tallinn,,Summer Fancy Food Show 2026,https://www.toiduliit.ee,info@toiduliit.ee,+3726484621,https://www.linkedin.com/company/eesti-toiduainet-stuse-liit,,Level 1 — 5269 — Estonia,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=300571,,https://www.facebook.com/toiduliit,,,,,,,partial,2
"Etelka, Inc.",United States,New York,,Summer Fancy Food Show 2026,https://www.eatetelka.com/,,+19144413809,,,Level 1 — 4617A — Startup CPG,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=344071,,,,,,,,,partial,1
ETG Food Products Inc.,Canada,Mississauga,,Summer Fancy Food Show 2026,https://www.etgworld.com/,,6475251747,https://linkedin.com/company/export-trading-group,,Level 1 — 5137 — Canada,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=310269,,https://facebook.com/exporttrading,,,,,,,partial,1
Ethical Brands Inc,United States,Shrewsbury,,Summer Fancy Food Show 2026,https://www.explorecuisine.com/,,+17327478800,,,Level 3 — 1956,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=123438,,,,,,,,,partial,1
Eurimac - European Pasta Company S.A.,Greece,Kilkis,,Summer Fancy Food Show 2026,https://www.eurimac.gr,info@eurimac.gr,30 2341000000,https://www.linkedin.com/company/eurimac-sa,,Level 3 — 2019 — Greece,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=315671,,https://www.facebook.com/tr,,,,,,,partial,2
"Euro-American Brands, LLC",United States,Paramus,,Summer Fancy Food Show 2026,http://www.euroamericanbrands.com,info@euroamericanbrands.com,201-368-2624,,https://www.instagram.com/euroamericanbrands,Level 3 — 1464,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1053,,http://www.facebook.com/2008/fbml,,,,,,,partial,2
European Cheestories,Spain,Madrid,,Summer Fancy Food Show 2026,https://cheestories.eu/,,+34915062860,,,Level 3 — 2232 — Spain,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=337265,,,,,,,,,partial,1
"European Imports, Inc.",United States,Arlington Heights,,Summer Fancy Food Show 2026,http://www.eiltd.com/,319support@euroimp.sysco.com,8019499020,https://www.linkedin.com/company/european-imports-a-sysco-company,https://www.instagram.com/europeanimports,Level 3 — 1636,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1098,,https://www.facebook.com/europeanimportssysco,,,,,,,partial,2
"Evanly Bakes, LLC",United States,New Kensington,,Summer Fancy Food Show 2026,https://www.evanlybakes.com/,evanlybakes@gmail.com,+19185278431,,http://instagram.com/evanlybakes,Level 1 — 6449 — Pennsylvania,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=341483,,http://www.facebook.com/2008/fbml,,,,,,,partial,1
Evergreen USA LLC,United States,Union City,,Summer Fancy Food Show 2026,http://www.evergreenusa.co,info@evergreenusa.us,551-333-1119,,,"Level 3 — 2255 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=212321,,,,,,,,,partial,2
Every Body Eat®,United States,Evanston,,Summer Fancy Food Show 2026,http://www.everybodyeating.com,,+17708780767,,,Level 1 — 4915 — Naturally Network,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=300442,,,,,,,,,partial,1
"Everydaze Korea Co., Ltd",South Korea,,,Summer Fancy Food Show 2026,http://www.everydaze.com,,718-888-0317,,,Level 1 — 5126,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=268703,,,,,,,,,partial,1
Evie's Snacks,United States,Houston,,Summer Fancy Food Show 2026,https://eviessnacks.com/,,+16092001699,,,River Pavilion — 7421 — Good Food Mercantile (Sunday Only),https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=318559,,,,,,,,,partial,1
Evofruit LLC,United States,San Antonio,,Summer Fancy Food Show 2026,https://www.evofruit.com,,+12103432233,,,Level 1 — 4221,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347638,,,,,,,,,partial,1
Exelnut,Portugal,Idanha-a-Nova,,Summer Fancy Food Show 2026,https://exelnut.eu/,sales@exelnut.com,+351926713,,,Level 3 — 129 — Portugal,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348450,,,,,,,,,partial,2
"Expert Logistics Gateway, LLC.",United States,Edison,,Summer Fancy Food Show 2026,https://www.mayersharvest.com/,info@mayersharvest.com,+19723029560,,https://www.instagram.com/mayer_northamerica,"Level 3 — 2350 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=346671,,http://www.facebook.com/2008/fbml,,,,,,,partial,2
EXPOCORZA CIA LTDA,Ecuador,Quito,,Summer Fancy Food Show 2026,https://www.expocorza.com/,,+593 99 527 3065,,https://www.instagram.com,Level 3 — 330A — Ecuador,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=336133,,https://www.facebook.com,,,,,,,partial,1
Export IL,Israel,Kibbutz Amir,,Summer Fancy Food Show 2026,https://exportil.com/,info@exportil.com,972-4-9990959,https://www.linkedin.com/company/export-il,https://www.instagram.com/export_il,"Level 3 — 2351 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=318987,,https://www.facebook.com/exportil,,,,,,,partial,2
Extra Virgin Alliance (NAOOA),United States,Neptune,,Summer Fancy Food Show 2026,https://www.aboutoliveoil.org/,,732-922-3008,https://www.linkedin.com/company/naooa,https://www.instagram.com/about_oliveoil,Level 3 — 3336,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=307912,,https://www.facebook.com/aboutoliveoil.naooa,,,,,,,partial,1
F.lli DE CECCO di FILIPPO – FARA S. MARTINO – S.P.A.,Italy,FARA S. MARTINO,,Summer Fancy Food Show 2026,http://www.dececcousa.com,dececco@dececco.it,+12126612336,,https://www.instagram.com/dececco_pasta,Level 3 — 2611 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=28769,,https://www.facebook.com/PastaDeCecco,,,,,,,partial,2
F.lli Masella srl – Biscottificio Casilino,Italy,San Cesareo,,Summer Fancy Food Show 2026,http://www.biscottificiocasilino.com,,00390645428102,,,Level 3 — 3119 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348525,,,,,,,,,partial,1
Faaji LLC,United States,Passaic,,Summer Fancy Food Show 2026,https://www.drinkzzai.com/,,+19292718775,,,River Pavilion — 7130B — Debut District,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347682,,,,,,,,,partial,1
"Factor75, LLC",United States,Aurora,,Summer Fancy Food Show 2026,https://www.factor75.com,,6308853704,,,Level 1 — 4928 — Naturally Network,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=318810,,,,,,,,,partial,1
FADE GIDA YATIRIM SAN. TIC.A.S.,Turkey,İZMİR,,Summer Fancy Food Show 2026,https://www.fadefood.com/,info@fadefood.com,(90) 232-846 22 71,,,Level 3 — 1823 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342128,,,,,,,,,partial,2
"FAGE USA Dairy Industry, Inc.",United States,Johnstown,,Summer Fancy Food Show 2026,http://usa.fage,,+15187625912,,,Level 1 — 5644,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=25219,,,,,,,,,partial,1
Fahman Enterprises Inc,United States,Dallas,,Summer Fancy Food Show 2026,https://fahmanfood.com/,,214-503-6768,,,Level 3 — 1355,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=335339,,,,,,,,,partial,1
FAIRE Wholesale,United States,San Francisco,,Summer Fancy Food Show 2026,https://www.faire.com,,831-917-3917,,https://www.instagram.com/faire_wholesale,Level 1 — 5314,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=257773,,https://www.facebook.com/fairewholesale,,,,,,,partial,1
Fallot,France,BEAUNE,,Summer Fancy Food Show 2026,https://www.fallot.com/,,33380221002,,https://www.instagram.com/m6officiel,Level 3 — 933B — France,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=312640,,https://facebook.com/moutardesfallot,,,,,,,partial,1
Family Food Company Inc.,United States,Commerce,,Summer Fancy Food Show 2026,http://www.familyfoodsinternational.com,,310-715-2698,,,Level 3 — 1356,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=30904,,,,,,,,,partial,1
Family Kitchen Ravioli,United States,Flanders,,Summer Fancy Food Show 2026,https://www.familykitchen.co/,user@domain.com,9735573447,,https://www.instagram.com/familykitchenravioli,Level 1 — 6319 — New Jersey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=338612,,http://www.facebook.com/2008/fbml,,,,,,,partial,2
Family Recipes P.c.,Greece,Paiania,,Summer Fancy Food Show 2026,https://www.deargreece.gr,info@deargreece.gr,+302106640280,,https://www.instagram.com/dear_greece,Level 3 — 1930 — Greece,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=317189,,https://www.facebook.com/deargreece,,,,,,,partial,2
"Fantis Foods, Inc.",United States,Carlstadt,,Summer Fancy Food Show 2026,http://www.fantisfoods.com,,+12019336200,,,Level 3 — 760 — Deli Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1504,,,,,,,,,partial,1
Far Out Nuts LLC,United States,Grand Forks,,Summer Fancy Food Show 2026,https://www.faroutnuts.com/,colleen@faroutnuts.com,+17012159871,,http://instagram.com/faroutnuts,Level 1 — 6341 — Vermont,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=341356,,http://www.facebook.com/2008/fbml,,,,,,,partial,2
Farchioni Olii Spa,Italy,Giano dell'Umbria,,Summer Fancy Food Show 2026,https://oliofarchioni.com,,+39 074292951,https://www.linkedin.com/company/olio-farchioni,https://www.instagram.com/terredelacustodia,Level 1 — 4935 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=305315,,https://www.facebook.com/OlioFarchioni,,,,,,,partial,1
Farm's Elite LTD,United States,Paramus,,Summer Fancy Food Show 2026,https://farmselite.com/,,0034663975693,,,Level 3 — 3055,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=307687,,,,,,,,,partial,1
"FARMJOA Co., Ltd.",South Korea,Iksan-si,,Summer Fancy Food Show 2026,https://farmjoa.net/,,010-4632-6739,,,Level 3 — 625 — Korea,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342319,,,,,,,,,partial,1
Farmwell,United States,Warners,,Summer Fancy Food Show 2026,https://drinknaturao.com,,215-694-0057,,,Level 1 — 4809,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=309605,,,,,,,,,partial,1
Fashion City International Corp.,United States,Chino,,Summer Fancy Food Show 2026,https://fashioncityus.com/,,9099621254 107,,,"Level 3 — 2745 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=336266,,,,,,,,,partial,1
Fast & Organic,Poland,Warsaw,,Summer Fancy Food Show 2026,https://www.kigcp.pl,kigcp@kigcp.pl,+48 226 309 611,,,Level 3 — 2418 — EU,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=133367,,,,,,,,,partial,2
FASTFORWARD TRADING COMPANY LLC,United States,Miami,,Summer Fancy Food Show 2026,https://fastfwdus.com/,info@fastfwdus.com,http://wa.me/17868225585,,https://instagram.com/fastforward_us,Level 3 — 1981,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=337470,,http://www.facebook.com/fastfwdus,,,,,,,partial,2
Fat Witch Bakery Inc.,United States,New York,,Summer Fancy Food Show 2026,http://www.fatwitch.com,,+12128071335,,,Level 1 — 4207 — La Dolce Sicilia,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=37422,,,,,,,,,partial,1
Fattorie Garofalo Spa,Italy,Capua,,Summer Fancy Food Show 2026,https://www.fattoriegarofalo.it,info@fattoriegarofalo.it,00390823620044,https://it.linkedin.com/company/fattorie-garofalo,https://www.instagram.com/fattoriegarofalo,Level 3 — 3310 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348479,,https://www.facebook.com/fattoriegarofalo,,,,,,,partial,2
Favuzzi International Inc,Canada,Laval,,Summer Fancy Food Show 2026,http://www.favuzzi.com,support@favuzzi.com,5142771234,https://www.linkedin.com/company/favuzzi-international-inc-,https://www.instagram.com/_favuzzi,Level 1 — 5339,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=308917,,https://www.facebook.com/FamigliaFavuzzi,,,,,,,partial,2
Fazlani Exports Pvt Ltd,India,Navi Mumbai,,Summer Fancy Food Show 2026,http://www.readytoeat.com/,,908-448-2824,,https://www.instagram.com/sausome.in,Level 1 — 5213,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=102939,,https://www.facebook.com/tr,,,,,,,partial,1
Felicetti US Inc.,United States,Charlotte,,Summer Fancy Food Show 2026,https://shopfelicettipasta.com,,914-649-7143,,,Level 3 — 1555,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=29867,,,,,,,,,partial,1
FELICIA - ANDRIANI,Italy,Gravina In Puglia,,Summer Fancy Food Show 2026,https://felicia.us/,,0039 0803255801,,https://www.instagram.com/felicia_northamerica,Level 3 — 3231 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=316896,,https://www.facebook.com/PastaFeliciaUS,,,,,,,partial,1
"Female Rage, LLC",United States,Washington,,Summer Fancy Food Show 2026,https://femaleragehotsauce.com/,,3016414515,,,River Pavilion — 7225 — Debut District,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343757,,,,,,,,,partial,1
"Fermin USA, Inc.",United States,New York,,Summer Fancy Food Show 2026,http://www.ferminiberico.com,,212-997-3161,,,Level 3 — 1254,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=41650,,,,,,,,,partial,1
Ferrarelle,Italy,Milano,,Summer Fancy Food Show 2026,https://www.ferrarelle.it/,,3902574608,,,Level 3 — 3328 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=314724,,,,,,,,,partial,1
Ferrari & Franceschetti Spa,Italy,Minerbe,,Summer Fancy Food Show 2026,https://www.ista.it,info@ista.it,+39 044 264 0011,,https://www.instagram.com/ista.ferrarifranceschetti,Level 3 — 2404 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=245184,,https://www.facebook.com/IstaFerrariFranceschetti,,,,,,,partial,2
FERRER TRADICIONAL,Spain,Santpedor,,Summer Fancy Food Show 2026,http://www.c-ferrer.com,,(+34) 938272512,,https://www.instagram.com/conservesferrer,Level 1 — 5370 — Spain,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=246063,,https://www.facebook.com/tr,,,,,,,partial,1
Fiasconaro SRL,Italy,Castelbuono,,Summer Fancy Food Show 2026,http://www.fiasconaro.com,,+390921677132,,,Level 3 — 2719 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=212425,,,,,,,,,partial,1
FiberGourmet INC.,United States,Miami Beach,,Summer Fancy Food Show 2026,https://fibergourmet.com/,,+17865041758,,,Level 1 — 4420,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=155848,,,,,,,,,partial,1
Ficacci Olive Company,Italy,Castel Madama,,Summer Fancy Food Show 2026,https://minitrio.ficacci.com,,+39 774 450 151,,,Level 3 — 1351,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=119746,,,,,,,,,partial,1
Ficosota Food EAD,Bulgaria,Shumen,,Summer Fancy Food Show 2026,http://www.ficosota.com,,+359 2 808 0610,https://www.linkedin.com/company/ficosota-syntez,https://www.instagram.com/ficosota_fmcg,Level 3 — 845,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=246473,,https://www.facebook.com/tr,,,,,,,partial,1
FIDA S.p.A.,Italy,Castagnole Lanze,,Summer Fancy Food Show 2026,https://www.fidacandies.it/,,0141 878410,,,Level 3 — 2627 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=335705,,,,,,,,,partial,1
