name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,pinterest,wechat,weibo,whatsapp,logo,last_approval
ELDEST sp. z o.o.,eldest-sp-z-oo,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eldest-sp-z-oo.html,Poland,,Ostroróg,64-560,Binino 70,,+48 516 765 989,,travel@handicraft.com.pl,https://eldest.com.pl,,"Eldest Eldest is an independent design and craft studio creating bespoke, tailor-made projects for architects, designers...",3.1,H3.1-G34,,,Interior Design,,,bespoke design studio; handcrafted design objects; premium craftsmanship; bespoke solutions for architects; custom design for commercial interiors,,,https://www.facebook.com/profile.php,,,,,,,,,,,2026-01-12T06:47:37
ELECTRODOMÉSTICOS JATA,distribucion-de-equipos-para-la-casa-sau,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/distribucion-de-equipos-para-la-casa-sau.html,Spain,,Tudela,31500,"Poligono Industrial de La Serna Calle D, S/N",,946215540,,jata@jata.es,https://www.jata.es,,"About Us Welcome to JATA, a trusted name in home appliances for more than eight decades. Since our founding in 1943, we have...",8.0,H8.0-C70,,,Clean Home & Storage Solutions; Cook & Cut,,,Home; Appliances; Kitchen; Smart Appliancesº; Small Appliances,,,,,,,,,,,,,,2025-11-21T14:30:55
ELEGANT WEAVERS,elegant-weavers,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elegant-weavers.html,India,IND_07,Panipat,132103,"Across Two Canals, Near Shiv Mandir Chowk, Jatal Road",,+91 98109 01999,+91 98109 01999,elegantweavers@hotmail.com,https://www.elegantweavers.com,,,10.1,H10.1-F48A,,,,,,,,,,,,,,,,,,,,2025-11-12T11:32:46
Elements Lighting SAS,elements-lighting-sas,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elements-lighting-sas.html,France,,Croissy-Beaubourg,77183,9 Rue Ambroize Croizat,,+33 7 70 07 71 48,,tiachun@elements-lighting.fr,https://www.elements-lighting.fr,,,3.1,H3.1-C35,,,,,,,,,https://www.facebook.com/ElementsLightingMITB,https://www.instagram.com/elements_lighting,https://www.linkedin.com/company/elements-lighting/,,,,https://www.pinterest.fr/elements_lighting/,,,,,2026-03-08T06:38:39
Eleven States Corporation,eleven-states-corporation,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eleven-states-corporation.html,India,,"Moradabad, Uttar Pradesh",244001,"Opposite R.t.o Office, Green Park-II Shahidabad Sambhal Road","Opposite R.t.o Office, Green Park-II",+91 80060 00363,+91 591 295 6142,huzaifa@escexports.com,https://www.escexports.com,,WE ESTABLISHED ELEVEN STATES CORPORATION AS OUR DREAM PROJECT TO FULFILL THE NEED OF DECOR MARKET IN THE WORLD. OUR COMPANY...,10.4,H10.4-F54,,,,,,CANDLE HOLDERS; WOODEN FURNITURES; HANDMADE METAL FURNITURES; INDIAN HANDICRAFTS CANDLE HOLDERS; INDIAN HANDICRAFTS FURTNITURE DESIGNS,,,,,,,,,,,,,,2025-10-20T09:04:41
Elia International Ltd.,elia-international-ltd,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elia-international-ltd.html,Great Britain and Northern Ireland,,High Wycombe,HP12 4FX,"Unit 3, Elia Close",,+44 20 8998 2100,+44 20 8997 5596,sales@elia.co.uk,https://www.elia.co.uk,,"Sharply focused on product development Elia offer an exceptional choice of high quality, innovative yet highly functional...",12.1,H12.1-D55,,HoReCa,Table & Table Select,,,"TABLEWARE, CHINAWARE; CUTLERY; BEVERAGEWARE, BARWARE; FINE CRYSTAL GLASSWARE; ELIA",,,,https://instagram.com/elia_international,https://uk.linkedin.com/company/elia-international-ltd,,,,,,,,,2026-03-08T04:26:43
"Eliano Baluyut Pottery, Inc.",eliano-baluyut-pottery-inc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eliano-baluyut-pottery-inc.html,Philippines,,Pampanga,2020,175 Sto. Nino. Sto Tomas,,+63 45 409 7586,+63 45 866 2113,ebpottery@yahoo.com.ph,https://www.elianobaluyutpotteryinc.com,,"Handed down from, three generations, ELIANO BALUYUT POTTERY, INC., has emerged to a competitive company in the pottery industry...",10.4,H10.4-B39,,,Table & Table Select,,,eliano; baluyut; ebp; eliano baluyut pottery inc; pottery,,,,,,,,,,,,,,2026-03-08T03:29:08
Elifplas Plastik San. ve Tic. Ltd. Sti.,elifplas-plastik-san-ve-tic-ltd-sti,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elifplas-plastik-san-ve-tic-ltd-sti.html,Türkiye,,Istanbul,34218,Istoc 11. Ada No: 2 Mahmutbey Bagcilar,Bagcilar,+90 212 659 22 56,+90 212 659 56 07,info@elifplastic.com,https://www.elifplastic.com,,"To accomplish our mission to provide beautiful design plastic products to as many people as possible, it is essential for...",9.3,H9.3-A10,,,Global Sourcing Living; Top Deals & Collections,,,Turkey; Manufacturer; Plastic; Flower pot; Houseware,,,,,https://www.linkedin.com/company/elif-plastic,,,,,,,https://wa.me/+905317819952/?text=Merhaba,,2025-11-21T11:15:57
Elkos Pens Limited,elkos-pens-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elkos-pens-limited.html,India,,Kolkata,700001,"1015A 16, Strand Road, Dalhousie, Diamond",,+91 33 6607 9643,,rishi@elkospens.com,https://www.elkospens.com,,"ELKOS Pens Limited, was incorporated in the year 2003 by the visionary father-son duo of Late Mr. H. S. Jain and Mr. B. K...",10.0,H10.0-D42,,,"Global Sourcing Stationery & School; Urban Gifts, Stationery & School",,,Pens; Ball Pens; Gel Pens; Stationery; Pencil,,,https://www.facebook.com/elkospens/timeline/,https://www.instagram.com/elkospens/,,https://x.com/elkos_pens,https://www.youtube.com/channel/UCXnAfzlwEQ9t3JJ5Q1TyUcA,,,,,,,2025-10-30T07:46:31
Elleffe Design SRL,elleffe-design-srl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elleffe-design-srl.html,Italy,Verbano-Cusio-Ossola,Gravellona Toce,28883,Via Cirla snc,,+39 0323 344810,+39 0323 344816,amministrazione@lfdesignitalia.it,https://www.elleffedesignitalia.com,,Elleffe Design is a family business company dedicated in the creation of modern luxury home decor. Our factory is located...,12.1,H12.1-B53,,,Table & Table Select,,,BUFFET; TRAYS; BOWLS; TABLEWARE; HOME DECOR,,,https://www.facebook.com/elleffedesignitalia,https://www.instagram.com/elleffedesignitalia/,,,,,,,,,company_pictures/10000001202601/491572/1763624861843_3544204024.jpg,2026-03-08T06:37:40
Ellen Exports,ellen-exports,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ellen-exports.html,India,IND_24,Moradabad,244001,"Lakhri Fazalpur, Delhi Road",,+91 98370 43749,,ellenexp@gmail.com,,,Ellen Exports is a Government Recognized Export House established in 1993 and a leading manufacturer and exporter of Indian...,10.4,H10.4-E43A,,,Global Sourcing Living; Interior Design,,,Indian Handicrafts; Home Decor; Furniture; Wall Mirrors; Christmas,,,,,,,,,,,,,,2026-01-27T15:11:07
"ELMAS Natura, PT",elmas-natura-pt,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elmas-natura-pt.html,Indonesia,,Jakarta,12140,Jalan Taman Radio Dalam 7 No. 1,,+62 21 7667708,+62 21 7667709,elmasnatura@cbn.net.id,https://www.elmasnatura.cjb.net,,Specialized in knock down and folding products of outdoor teakwood furniture and bathroom teakwood accessories. packing...,10.4,H10.4-A29,,,Interior Design,,,Outdoor teak wood furniture; Bathroom teak wood accessories; Knock down products; Folding products; Flat pack method,,,,,,,,,,,,,,2026-03-08T03:29:18
ELO-Stahlwaren K. Grünewald & Sohn GmbH & Co KG,elo-stahlwaren-k-gruenewald--sohn-gmbh--co-kg,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elo-stahlwaren-k-gruenewald--sohn-gmbh--co-kg.html,Germany,,Spabrücken,55595,Dalberger Str. 20,,,+49 6706 914251,info@elo.de,https://www.elo.de,,ELO Stahlwaren – Quality & Innovation for Over 90 Years ELO Stahlwaren is one of Europe’s leading brands for contemporary...,9.0,H9.0-C37,,nmedia.hub,Cook & Cut,,,Roaster; Pfannen; Pans; Kochgeschirre; Cookware,,,https://www.facebook.com/ELO.Stahlwaren/,https://www.instagram.com/elo_cooking/,,,https://www.youtube.com/channel/UCRv-8HYX-exYzNdPLcReCzg,,,,,,company_pictures/10000001202501/0010809930/1671534296284_374321643.jpg,2026-03-08T03:14:25
Elvang Denmark A/S,elvang-denmark-as,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/elvang-denmark-as.html,Denmark,,Soro,4180,Stationspladsen 2A,,+45 35 37 89 89,,info@elvangdenmark.dk,https://www.elvangdenmark.dk,,We create responsibly produced textiles which combine timeless Nordic design with exquisite craftsmanship. Our story is one...,3.1,H3.1-E25,,Hospitality Interiors,Interior Design,,,Alpaca Wool throws cushions Alpaka Wolle Decken Kissen; Responsibility Verantwortlich; Sustainability Nachhaltigkeit; recycelter Fasern recycled fibres; Design Denmark Textiles Responsible production,,,https://www.facebook.com/elvangdenmark,https://www.instagram.com/elvangdenmark/,https://www.linkedin.com/company/elvang-denmark/,,,,https://dk.pinterest.com/elvangdenmark/,,,,,2026-03-08T05:38:21
EME POSATERIE S.r.l.,eme-posaterie-srl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eme-posaterie-srl.html,Italy,Brescia,Lumezzane,25065,Via Corsica 29,,+39 030 897 0860,+39 030 897 0907,info@eme-posaterie.it,https://www.eme-posaterie.it,,"Eme Posaterie is an Italian tableware manufacturer, especially cutlery, founded in 1974 in Lumezzane, a city in the province...",8.0,H8.0-D10,,,Modern Kitchen & Baking; Table & Table Select,,,flatware; Coloured handle cutlery.; 18/10 Stainless steel; PVD; cutlery,,,https://www.facebook.com/EME-Posaterie-112892890411261/,https://www.instagram.com/eme_posaterie_official/,,,https://www.youtube.com/channel/UCiV3We2h4QI6sdiHL06gfhA,,,,,,,2026-03-08T03:21:54
Emhouse Plastik San. Ve Tic. Ltd. Sti.,emhouse-plastik-san-ve-tic-ltdsti,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/emhouse-plastik-san-ve-tic-ltdsti.html,Türkiye,,Istanbul,34555,Deliklikaya Ersel Cad. 18,,+90 212 659 50 93,,oguzhan@emsanplastik.com,https://www.emhouse.com.tr,,EMSAN PLASTİK gathers its knowledge and experience of years under the EMHOUSE brand and produces high quality and innovative...,9.1,H9.1-F60A,,,,,,food container; organizer; plastic kitchenware; storage; houseware,,,,https://www.instagram.com/emsanplastik/,,,,,,,,,,2025-10-15T14:18:43
Emile Henry,sa-bourguignonne-distribution,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/sa-bourguignonne-distribution.html,France,,Marcigny,71110,13 Rue Georges de Vichy,,+33 3 85 25 50 50,+33 3 85 25 13 38,rdardon@emilehenry.com,https://www.emilehenry.com,,"A creator of culinary ceramics since 1850, EMILE HENRY manufactures exclusively in France, a wide range of high-quality cookware...",8.0,H8.0-E76,,HoReCa,,,,Buffet; CERAMIC; Sustainable; Ovenware; cookware,,,,,,,,,,,,,company_pictures/10000001202501/373866/1732295965835_4048231369.jpg,2025-11-24T07:38:38
Emily Evans - Crisp S.r.l.,crisp-srl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/crisp-srl.html,Italy,,Udine,33100,Via Zanussi Antonio 301,,+39 0432 520700,,hello@emilyevans.it,https://www.emilyevans.it,,"Emily Evans is an Italian home decor brand that combines design, quality and sustainability in the manufacture of tableware...",12.1,H12.1-E08,,,,,,placemats - Tischsets; personalised placemats - personalisierte Tischsets; coasters - Untersetzer; metal placemats -Metalltischsets; PVC rugs - PVC-Teppiche,,,https://www.facebook.com/Emily-Evans-Contemporary-Supplies-110394391299286,https://www.instagram.com/emilyevans_store/,,,,,,,,,company_pictures/10000001202601/487614/1767965295718_2412931492.png,2026-01-13T12:11:12
Emirates Steel Wool Manufacturing Est.,emirates-steel-wool-manufacturing-est,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/emirates-steel-wool-manufacturing-est.html,United Arab Emirates,,Abu Dhabi,35568,"M14, Plot No. 25, Building No. 31, Mussafah Industrial Area",,+971 2 555 4544,+971 2 555 4544,general@esw.ae,https://www.eswhome.com,,"Emirates Steel Wool Manufacturing Est. is one of the largest manufacturers of cleaning products such as sponge scourers, scouring...",9.2,H9.2-D80,,,Table & Table Select,,,Sponge Scourer; Scouring Pad; Steel Wool; Cleaning Products; Car Wash Sponge,,,https://www.facebook.com/emiratessteelwool,https://www.instagram.com/superspongex/,,https://twitter.com/EmiratesWool,,,,,,,,2026-02-12T10:52:21
Enart Emaye San. Tic. Ltd. Sti.,enart-emaye-san-tic-ltd-sti,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/enart-emaye-san-tic-ltd-sti.html,Türkiye,,Kayseri,38070,Kayseri Serbest Bolgesi 11. Cad. No: 9,No: 9,+90 352 321 35 51,+90 352 321 35 54,export@enart.com.tr,https://www.enart.com.tr,,"“Enart Enamel Ltd.” is founded in the beginning of 2010 in Kayseri, Turkey, based on 39 years of experiences of enamel production...",8.0,H8.0-M73,,,Cook & Cut,,,enamel; cookware; enart; topf; roaster,,,https://www.facebook.com/EnartEmaye,,,,,,,,,http://wa.me/+90,,2026-03-08T05:35:31
Enesco Limited,enesco-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/enesco-limited.html,Great Britain and Northern Ireland,,"Carlisle, Cumbria",CA3 0EN,"Brunthill Road, Kingstown",,+44 7711 068465,,aylish.ellwood@enesco.co.uk,https://www.enesco.co.uk,,"Based in the UK and France , Enesco is renowned worldwide for innovative and humorous gifts, stylish home décor, imaginative...",4.2,H4.2-L11,,,"Urban Gifts, Stationery & School",,,Yankee Candle; WoodWick; Candle Kerze; Giftware Geschenkartikel; Licensed Lizenziert; Disney; Willow Tree; Home Fragrance Raumduft; Collectables Sammlerstücke; Peter Rabbit,,,,,https://www.linkedin.com/company/enesco-limited-uk,,https://www.youtube.com/channel/UCj1r4jHKHOOthrd1g6JGqJg,,,,,,company_pictures/10000001202501/387053/1734336190840_2837153654.jpg,2026-01-14T20:25:20
Eppicotispai S.r.l.,eppicotispai-srl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eppicotispai-srl.html,Italy,Verbano-Cusio-Ossola,Ornavasso,28877,Traversa del Casello 15,,+39 0323 837584,+39 0323 835285,info@eppicotispai.it,https://www.eppicotispai.it,,"Established in 1996, Eppicotispai is a company based in Ornavasso, a town near Maggiore Lake, in Northern Italy, at 100 Km...",9.0,H9.0-E34,,,Cook & Cut,,,PASTA; KITCHEN TOOLS; MADE IN ITALY; PIZZA; COFFEE,,,,,,,,,,,,,,2025-11-05T12:07:45
"EQC - Equipamentos de Qualidade para Cerâmica, Lda",eqc---equipamentos-de-qualidade-para-cermica-lda,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eqc---equipamentos-de-qualidade-para-cermica-lda.html,Portugal,,"São Mamede, Batalha",2495-032,Rua Escola Primária 2A,,+351 244 709 100,+351 244 709 109,geral@eqcceramics.com,https://www.eqcceramics.com/,,"EQC Ceramics is a Portuguese company in the tableware ceramics sector, boasting over 40 years of history and a rich heritage...",12.1,H12.1-A32,,,HoReCa; Table & Table Select,,,Fine Stoneware Products; Porcelain High Durability and Shine; Home and Fragrance Acessories; Made in Portugal; Catering,,,https://www.facebook.com/EQCceramic,https://www.instagram.com/eqcceramics,https://www.linkedin.com/company/eqcceramics/,,,,,,,,,2025-11-13T19:17:28
Erika Vaitkute,erika-vaitkute,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/erika-vaitkute.html,Germany,,Hamburg,20355,Kohlhöfen 6,,+49 40 60671149,,kontakt@vaitkute.de,https://www.vaitkute.de,,"Schön, dass Sie da sind! Ich bin Erika und freue mich sehr, Ihnen meine Kollektion auf der Ambiente vorzustellen und meine...",3.0,H3.0-C31,,,Modern Kitchen & Baking; Table & Table Select,,,Wohntextilien; Leinen; Tischwäsche; Bettwäsche; Plaids,,,,https://www.instagram.com/erikavaitkute.de/,,,,,,,,,,2025-12-01T15:30:25
Erkoc Plastik Ve Kalip Sanayi Ve Ticaret Limited Sirketi,erkoc-plastik-ve-kalip-sanayi-ve-ticaret-limited-sirketi,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/erkoc-plastik-ve-kalip-sanayi-ve-ticaret-limited-sirketi.html,Türkiye,,Istanbul,34490,Ikitelli Osb Mah. Ataturk Bulvari Ickapi N: a01-1,,+90 212 549 53 85,+90 212 549 53 87,erkoc@erkocplastik.com,https://www.poly-time.com,,Erkoc Plastic was founded in İstanbul in 1993 in order to produce plastic housewares and mold. Being one of the leading...,9.1,H9.1-F60F,,,,,,Plastic Storage Box; Plastic Housewares; Plastic Dish Drainer; plastic bowl; Plastic Basket,,,https://www.facebook.com/polytimeofficial/,https://www.instagram.com/polytimeofficial/,,,,,,,,,,2025-12-12T11:25:27
Erteks Kadife Tekstil San. ve Tic. Ltd. Sti.,erteks-kadife-tekstil-san-ve-tic-ltd-sti,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/erteks-kadife-tekstil-san-ve-tic-ltd-sti.html,Türkiye,,Denizli,20065,"Organize Sanayi Bölgesi, Yasar Öncan Caddesi 2. Kisim",Öncan Caddesi 2. Kisim,+90 258 269 16 23,+90 258 269 16 25,welcome@ertekstekstil.com,https://www.erteks.com.tr,,Erteks was founded in 1994 in Denizli as one of the reputed manufacturer and exporter of home textiles company of Turkey...,3.0,H3.0-G81,,,Interior Design,,,CASA LUSSO; LUXURY HOUSES; NEW TRENDS; PRIVATE COLLECTIONS; INDIVIDUAL PRODUCTS,,,,,,,,,,,,,,2025-11-24T09:19:46
"Erum Packaging, S.L.U.",erum-packaging-sl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/erum-packaging-sl.html,Spain,,Alcoy,03802,"Ctra. Banyeres, Km. 1,5",,+34 670 20 72 16,,erumhome@erumgroup.com,https://www.erumhome.com,,Erum Home is where design meets sustainability.We create contemporary household and bathroom products that combine innovation...,9.2,H9.2-A59,,,Clean Home & Storage Solutions; Global Sourcing Dining,,,"BATHROOM ACCESSORIES; HOUSEHOLD, KITCHEN ACCESSORIES; TOILET SEAT; PEDAL BINS; BATH MATS",,,https://www.facebook.com/profile.php,https://www.instagram.com/erum.home/,https://www.linkedin.com/company/erumhome/,,,,,,,,company_pictures/10000001202601/461536/1762776232335_758654328.jpg,2025-11-12T12:36:15
Eschenbach Porzellan GmbH,eschenbach-porzellan-gmbh,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/eschenbach-porzellan-gmbh.html,Germany,,Triptis,07819,Geraer Str. 51,,+62 24 8660050,,raffa@sango.com,https://www.eschenbachporzellan.de,,,11.0,H11.0-B30,,HoReCa,,,,,,,https://www.facebook.com/EschenbachPorzellanGroup,https://www.instagram.com/eschenbachporzellan/,,,,,https://www.pinterest.de/eschenbach_porzellan/,,,,,2026-03-08T03:56:21
Esda Canta Ve Hediyelik Esya Ticaret Limited Sirketi,esda-canta-ve-hediyelik-esya-ticaret-limited-sirketi,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esda-canta-ve-hediyelik-esya-ticaret-limited-sirketi.html,Türkiye,,Kocaeli,41420,Sekerpinar Mahallesi Tepeören Cad. 18/26,Tepeören Cad. 18/26,+90 536 055 07 62,+90 539 272 23 64,info@esdastore.com,https://www.esdastore.com.tr,,"Esda Store was founded in 2013in Istanbul and is the first manufacturer in Turkey for all types (MakeUp, Bathroom, Gift) of...",9.3,H9.3-C91,,,,,,"organizers; organizers,; bathroom accessories; housewares; plastic housewares",,,,,,,,,,,,,,2026-03-08T04:23:47
ESGE AG - bamix of Switzerland,esge-ag---bamix-of-switzerland,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esge-ag---bamix-of-switzerland.html,Switzerland,,Mettlen,9517,Hauptstrasse 21,,+41 71 634 61 93,+41 71 634 61 81,info@bamix.com,https://www.bamix.com,,"Since 1954, we have been producing the best & smallest food processor in the world in Switzerland. bamix® is the inventor...",8.0,H8.0-H62,,HoReCa,,,,Stabmixer / hand blender; Küchenmaschine / kitchen appliance; Zauberstab / Magic wand; Mixstab / mixing rod; kabellos / cordless,,,https://www.facebook.com/bamixofswitzerland,https://www.instagram.com/bamixofswitzerland/,https://ch.linkedin.com/company/bamix-of-switzerland,,https://www.youtube.com/@bamixofswitzerland,https://www.tiktok.com/@bamixofswitzerland,,,,,,2026-03-08T03:22:29
"Esion Group Co., Limited",esion-group-co-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esion-group-co-limited.html,Hong Kong,,Kowloon,,"Rm 18, 27/F, Ho King Comm Ctr 2-16 Fa Yuen St Mongkok","Rm 18, 27/F, Ho King Comm Ctr",+86 139 7333 4412,,patricia@esion.com.cn,,,"Esion Group Co., Limited is one of the leading manufacturers in the ceramic industry with over 20 years of export and producing...",10.2,H10.2-E41G,,,Table & Table Select,,,ceramics; table; kitchen tabie,,,,,,,,,,,,,,2026-01-29T03:15:59
ESL Distribution Pty. Ltd. (EcoSouLife),esl-distribution-pty-ltd,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esl-distribution-pty-ltd.html,Australia,,Mordialloc,3195,18 De Havilland Rd,,+61 3 9544 7066,,info@ecosoulife.com,https://www.ecosoulife.com,,"EcoSouLife is dedicated to creating sustainable, earth-friendly alternatives that break down naturally, unlike traditional...",9.1,H9.1-F42,,Ethical Style by Ambiente; HoReCa,HoReCa; Top Deals & Collections,,,eco-friendly; sustainable; compostable; disposable; natural; Biodegradable; foodservice; Renewable Resources; party; Plastic free,,,https://www.facebook.com/EcoSouLifeR,https://www.instagram.com/ecosoulife/,,https://twitter.com/ecosoulife,https://www.youtube.com/channel/UCesuzEI7wDk5yvCbRAk-oYg,https://www.tiktok.com/@ecosoulife,,,,,company_pictures/10000001202501/374428/1732839745574_3197274615.png,2026-01-30T01:46:52
Esmalticer Esmaltes Ceramicos LDA,esmalticer-esmaltes-ceramicos-lda,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esmalticer-esmaltes-ceramicos-lda.html,Portugal,,Avelas de Caminho,3780-351,Rua do Concelho 329,,,,design@esmalticer.pt,https://www.esmalticer.pt,,"ESMALTICER - Esmaltes Cerâmicos Lda. - is a Portuguese company located in the district of Aveiro, Portugal, which has been...",12.0,H12.0-C50,,,Table & Table Select,,,Ceramics R&D; Reactive Glazes; Colors and Pigments; Special Colored Grits; Raw materials for Ceramics,,,,,,,,,,,,,,2026-03-08T06:32:34
Espiel S.A.,espiel-sa,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/espiel-sa.html,Greece,,Agios Ioannis Rentis,18233,Parodos Hatzianesti Str. 14-16,,+30 21 0425 6903,+30 21 0425 6915,espiel@otenet.gr,https://www.espiel.gr,,"Founded in 1988, Espiel has established and consistently maintained a distinguished reputation for expertise in glassware...",11.0,H11.0-D57,,HoReCa,HoReCa; Modern Kitchen & Baking,,,HORECA; DINNERWARE & TABLE ACCESSORIES; CHAMPAGNE BUCKETS; BUFFET ITEMS; MELAMINE,,,https://www.facebook.com/Espiel-Home-Details-268092130018268/,https://www.instagram.com/espiel_official/,,,,,,,,,company_pictures/10000001202501/0012211351/1668000256283_2808202497.jpg,2026-03-08T03:16:03
Espressions B.V.,espressions-bv,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/espressions-bv.html,Netherlands,,Eindhoven,5657 HK,Park Forum 1110,,+31 40 290 1130,+31 40 290 1131,mb@espressions.eu,https://www.espressions.eu,,"At Espressions we love kitchen appliances and strive to surpass expectations. Timeless design, intuitive use, ultimate...",8.0,H8.0-A31,,,,,,citrus juice; espresso machine; hand blender; kitchen appliances; premium,,,https://www.facebook.com/espressions.eu/,https://www.instagram.com/espressions.eu/,,,https://www.youtube.com/channel/UCoDtRei2DIOdhNLV_8jMA0w,,,,,,,2026-03-08T03:21:52
Esseci Italia S.p.A.,esseci-italia-spa,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/esseci-italia-spa.html,Italy,Napoli,Nola,80035,Via Variante 7 Bis 301,,+39 081 865 2607,,social.media@essecispa.it,https://essecispa.it/,,"Esseci Italia S.p.A. is a constantly growing company in the development, production, selling and marketing of products and...",4.2; 9.2,H4.2-M51; H9.2-E76,,,"Clean Home & Storage Solutions; Global Sourcing Dining; Global Sourcing Giving; Urban Gifts, Stationery & School",,,"Esseci Italia S.p.A.; setablu, setahome, setaout!, setamedical, setashoes, setapet; Personal beauty and hair care, wet wipes, skin care, make up; Shoes care, Medical care, Citronella care, Pet care; Candles, Diffuser, Dehumidifier, home fragrances, home care",,,,,https://www.linkedin.com/company/esseci-italia-spa/,,,,,,,,company_pictures/10000001202601/469438/1760084814954_3679380209.png,2025-10-13T07:41:28
Essen Speciality Films Limited,essen-speciality-films-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/essen-speciality-films-limited.html,India,,Rajkot,360024,"Plot No. A, Survey No. 192, Industrial Area",,,,sonal.pithava@rajoo.com,https://www.essenspeciality.com,,About us A leading manufacturer of sustainable plastic products for the Home Decor & Home Furnishing industry since 2002...,10.4,H10.4-B73,,,Clean Home & Storage Solutions; Global Sourcing Dining,,,"Fitness & Life Style - Eva Foam & TPE Yoga mats; Bath -Area PEVA Shower Curtains, Liners & Hooks; Home Decor -Artificial Plants & Flowers; Kitchen & Dining -Table Covers & Chopping Mats; Storage & Organization -Drawer & Shelf Liners, Desk Mat",,,,,,,,,,,,,,2025-12-12T11:28:23
