Company,Country,Category,Website,Stand,Email,Phone
Agrosud S.A.,Argentina,Fine Food,https://www.agrosudsa.com.ar,Hall 03.1 | B070,agrosud@agrosudsa.com.ar,+54 1143128980
Agrosuper comercializadora de alimentos LTDA,Chile,Meat,http://www.agrosuper.com,Hall 06.1 | E100,vmoretti@agrosuper.com,+44 7545073609
Agrotecnología y Servicios S.A.,Argentina,Fine Food,http://www.atssa.com.ar,Hall 03.1 | C064,germanfaucher@atssa.com.ar,+54 3584129882
AGROTIS L.T.D.,Greece,Fine Food,http://www.agrotisltd.gr,Hall 10.2 | I034,ktima@agrotisltd.gr,+30 6977632789
Agrover SRL,Italy,Fine Food,https://www.agrover.it,Hall 11.1 | E031,info@agrover.it,+39 0161344008
AGROVIM S.A.,Greece,Fine Food,http://www.agrovim.gr,Hall 10.2 | G040,marketing@agrovim.gr,+30 2106423614
Agrozan Tarim Urun. Gida Urun. Ith. Ihr. San. Ve Tic. Ltd. Sti.,Türkiye,Fine Food,http://www.agrozan.com,Hall 11.3 | B034a,turkey@agrozan.com,+90 3242371929
"Agrucapers, S.A.",Spain,Fine Food,https://www.agrucapers.com,Hall 11.1 | B029,info@agrucapers.com,+34 968410450
Agrumaria Reggina s.r.l.,Italy,Drinks,https://www.linkedin.com/company/agrumaria,Hall 08.1 | E056,info@agrumariareggina.it,+39 0965650382
Agrupacion de Cooperativas Valle del Jerte,Spain,Fine Food,https://ac-vallejerte.es/,Hall 11.1 | A022,info@ac-vallejerte.es,+34 927471070
AGRUPAL Agrupación Industria Alimentaria Murcia,Spain,Fine Food,http://www.agrupal.com,Hall 11.1 | B030 C031,cesar.nicolas@agrupal.com,+34 673360083
Agrícola Knelsen S.A,Paraguay,Organic,https://www.agricolaknelsen.com/,Hall 05.1 | C059 D058,sales@knelsenagricola.com,+54 91127959999
Agrícola Y Comercial Dona Patricia Lim.,Chile,Fine Food,https://www.facebook.com/DonaPatriciaexport/,Hall 03.1 | B063,Cponce@donapatricia.cl,
AGT Food and Ingredients Inc.,Canada,Fine Food,http://www.agtfoods.com,Hall 11.2 | C021,anuga@agtfoods.com,+1 306 525 4490
agthia group egypt,Egypt,Frozen Food,http://www.agthia.com,Hall 04.2 | A099,asmaa.ahmed@agthia.com,+20 1010033110
Agthia Grup Icecek ve Dagitim San. Tic. Ltd. Sti.,Türkiye,Drinks,https://www.alpinsu.com,Hall 07.1 | G037,alpin@agthia.com,+90 (322) 2710054
AGUGIARO & FIGNA MOLINI - LE 5 STAGIONI,Italy,Fine Food,https://agugiarofigna.com/,Hall 11.2 | E044,s.ziliotti@agugiarofigna.com,+39 0521301705
AHAEANLAND LTD,Greece,Fine Food,http://www.ahaeanland.gr,Hall 10.2 | H039,info@ahaeanland.gr,+30 6983340200
AHDB,United Kingdom,Dairy,http://www.ahdb.org.uk,Hall 10.1 | F019,beverley.ward@ahdb.org.uk,+44 7823789190
AHIMSA VEGE HEALTH FOOD INDUSTRIES SDN B,Malaysia,Fine Food,http://www.ahimsa.com.my,Hall 01.2 | N010 O011,gerald@ahimsa.com.my,
AHMAD TEA (UK) LIMITED,United Kingdom,,,Hall 8.1 | C079,,
Ahmetoglu Konserve Tar. ve Gida Ur. Im. / Hay Tur. Ins. Akry. Nak. Paz. Ith. Ihr / San. Tic. Ltd. Sti,Türkiye,,,Hall 11.3 | C039,,
Aho' Pizza Lab S.R.L.,Italy,,,Hall 5.1 | C034,,
AHT FOODS,Iran,,,Hall 10.2 | D089a,,
AIA Agricola Italiana Alimentare S.p.A.,Italy,,,Hall 7.1 | C060 D061,,
AIB Foods Ltd,United Kingdom,,,Hall 10.2 | F065,,
AIGRE S.A.,Greece,,,Hall 10.2 | I033,,
AIGREMONT,Belgium,,,Hall 2.2 | E035,,
Aigua Sant Aniol,Spain,,,Hall 11.1 | C030a,,
"Aimeiyasha (Shandong) Food Technology Co., Ltd.",China,Fine Food,http://www.aimeiyasha.com,Hall 01.2 | O039,amysspkj@163.com,+86 5363936888
air up GmbH,Germany,Drinks,https://www.air-up.com,Hall 07.1 | E019,,
Air Up Inc.,United States of America,Start-up Area,http://air-up.com,Boulevard 194,info@air-up.com,
Aires de Jaen SL,Spain,Fine Food,http://www.airesdejaen.com,Hall 11.1 | F025,export@airesdejaen.com,+34 953552928
AIXBIO GmbH,Germany,Start-up Area,http://www.aixbio.de,Boulevard 083,bd@aixbio.de,+49 24151002333
Aiya Europe GmbH,Germany,,,Passage Halle 4 Halle 5 B068,,
AJC International Inc./AJC Group,United States of America,Meat,http://www.ajcgroup.com,Hall 09.1 | A011,ainfo@ajcgroup.com,+1 404 942 1400
AJE Group,Peru,Drinks,http://www.ajegroup.com,Hall 03.1 | B008,augusto.bauer@ajegroup.com,+51 986166468
Ajinomoto Istanbul Gida San. ve Tic. Ltd. Sti.,Türkiye,Fine Food,http://www.ajinomoto.com.tr,Hall 11.3 | B032b,fulya.meric@ajinomoto.com.tr,+90 2122861940
Akbar Brothers (Pvt) Ltd.,Sri Lanka,Hot Beverages,http://www.akbar.com,Hall 08.1 | C081,akbar@akbar.com,+94 112697151
Akbas Gida ve Tekstil San. Dis Tic. A.S.,Türkiye,Organic,http://www.happyapricot.com,Hall 05.1 | D047,onur@happyapricot.com,+90 4222375105
Akdaglar Kuru Gida Ith. Ihr. San. Tic. Ltd. Sti.,Türkiye,Fine Food,http://www.akdaglarexport.com.tr,Hall 11.3 | A026,akdaglar@akdaglarexport.com.tr,+90 5494353444
Akdeniz Entegre Gida San. A.S.,Türkiye,Meat,https://akdenizentegre.com.tr,Hall 09.1 | E042,ihracat@akdenizentegre.com.tr,+90 3264512320
"AKE RICE MILL CO., LTD.",Thailand,Fine Food,http://www.akericemill.com,Hall 11.3 | H018a,benjamas.r@akericemill.com,+66 29259988
Akila Cikolata Gida San. ve Tic. Ltd. Sti.,Türkiye,Bread & Bakery,https://www.aquilachocolate.com/,Hall 02.2 | B033a,export@aquilachocolate.com,+90 2126535333
Akkilic Gida Ve Tarim Urunleri San. Tic. Ltd. Sti.,Türkiye,Fine Food,https://www.akkilic.com.tr,Hall 11.3 | C026,akkilic@akkilic.com.tr,+90 (422) 324 78 14
Aklife Gida Tur. Eg. Ins. San. ve Tic. Ltd. Sti.,Türkiye,Drinks,https://www.aklife.co,Hall 07.1 | G025,aklifemuhasebe@aklargida.com,+90 (539) 7061577
Akmemis Gida Tekstil Paz. San. ve Tic. Ltd. Sti.,Türkiye,Fine Food,http://www.forumfoods.com.tr,Hall 11.3 | C033a,muhasebe@forumfoods.com.tr,+90 3242349494
AKO S.A.,Poland,Bread & Bakery,https://www.ako.com.pl,Hall 02.2 | B011,export@ako.com.pl,+48 523421339
AKSAM SP. Z O.O.,Poland,Bread & Bakery,http://www.aksam.pl,Hall 02.2 | D014,export@aksam.pl,+48 338429705
Akselin Herkkupaja Oy,Finland,Fine Food,https://www.akselinherkkupaja.fi/,Hall 10.2 | A070a,kalle.e.tervonen@gmail.com,+358 505664519
Akshaya Robust International Trading L.L,United Arab Emirates,Frozen Food,http://www.robust-international.com,Hall 02.1 | A018,yuvraj.r@robust-international.com,+971 0542798455
Aktina S.A.,Greece,Bread & Bakery,https://aktinafoods.com/,Hall 02.2 | D029,exports@aktinafoods.gr,+30 2105122410
Akyuz Group Gida San. Ve Tic. A.S.,Türkiye,Fine Food,http://www.akyuzgroup.com,Hall 11.3 | E031 E035,sales@akyuzgroup.com,+90 3425022247
Al Amira Nuts,Lebanon,,,Hall 2.1 | E017a,,
Al Baraka Factory- M.O Group,Egypt,,,Hall 2.1 | A059b,,
Al Barakah Dates Factory LLC,United Arab Emirates,,,Confexhall D019,,
Al Demashqi Tahina & Halawa,Palestine,,,Hall 10.2 | E078,,
Al Jameel International,United Arab Emirates,,,Hall 10.2 | D010b,,
Al Jood Food,Oman,,,Hall 2.1 | B016,,
AL KABIR SPECIALTY FOODS LLP,India,,,Hall 3.1 | A011,,
Al Kanater sal,Lebanon,,,Hall 2.1 | E019,,
Al Khair Exports,India,,,Hall 11.3 | F030a,,
AL MANSOUR GROUP,Egypt,,,Hall 4.2 | B084,,
AL Proteins,India,,,Hall 9.1 | C066,,
Al Rabie Saudi Foods Co,Saudi Arabia,,,Confexhall F025,,
AL RAMA FOOD PROCESSING INDUSTRIES LLC,United Arab Emirates,,,Confexhall C036,,
Al rehab group,Egypt,,,Hall 2.1 | A063,,
al shrouk co for crops export,Egypt,,,Hall 2.1 | B056b,,
AL WAHAB RICE MILLS PVT LTD,Pakistan,,,Hall 5.1 | F020,,
Al-Ahmadiyya Dates Company,Saudi Arabia,,,Hall 5.1 | A048,,
Al-Garas for spices and herbs,Egypt,,,Hall 2.1 | A059,,
Al-Gyas Exports Pvt Ltd,India,,,Hall 1.2 | K020,,
Al-Haj Mahmoud habibah and sons,Jordan,,,Hall 2.1 | D022,,
ALAHLAM CO. FOR FOOD PRODUCTS,Syria,,,Hall 11.1 | C063,,
Alamal for Agricultural Crops,Egypt,,,Hall 2.1 | B056,,
ALAMEERA FOOD INDUSTRIES,United Arab Emirates,,,Confexhall C038,,
alamir for manufactring &reparing,Egypt,,,Hall 2.1 | C050,,
Alan Zeytin ve Gida A.S.,Türkiye,,,Hall 11.3 | D009,,
Alarko Gida Sanayi ve Ticaret A.S.,Türkiye,,,Hall 11.3 | D046,,
Alaseel Dates,Saudi Arabia,,,Confexhall E031a,,
Albedo Gida San. ve Tic. Ltd. Sti.,Türkiye,,,Hall 11.3 | B021a,,
Albert Herz GmbH,Germany,,,Hall 10.1 | E061,,
Alborz International Import-Export & Consulting GmbH,Germany,,,Hall 2.1 | D028,,
Alca Corp.,United States of America,,,Hall 8.1 | E030,,
Alca Foods Ltda,Brazil,,,Hall 3.1 | C024b,,
Alcala Oliva S.A.,Spain,,,Hall 11.1 | F011e,,
Alcar Uno S.P.A.,Italy,,,Hall 7.1 | A029,,
"Alcurnia Alimentación, SLU",Spain,,,Hall 11.1 | B014,,
ALDINO SRL - PASTIFICIO MENNUCCI,Italy,,,Hall 11.2 | B038a,,
Aldoha Foods,Egypt,,,Hall 2.1 | D050a,,
Aldurra for General Trading and Investment Company Ltd.,Jordan,,,Hall 3.1 | D011,,
ALEMAN PARAGUAYO CANADIENSE S.A. ALPACASA,Paraguay,,,Hall 3.1 | C081 D081,,
ALEMAR S.A,Argentina,,,Hall 3.1 | B072a,,
Alesayi Beverage Co. Ltd,Saudi Arabia,,,Hall 8.1 | B068,,
ALEXANDER S.A.,Greece,,,Hall 11.2 | F058b,,
Alexandria Agriculture Co - Lamar,Egypt,,,Hall 2.1 | D051a,,
ALEXANDROS & SOTIRIS BOUDOURIS C.O.,Greece,,,Hall 10.1 | A050,,
ALEXINGREDIENTS INC,Canada,Frozen Food,https://www.alexingredients.com/,Hall 04.2 | E070,claus.vonbauer@alexingredients.com,+1 514 426 8880
alfa - Athanasios D. Koukoutaris SA,Greece,Frozen Food,https://www.alfapastry.com,Hall 04.1 | D050 C059,info@alfapastry.com,+30 (24610) 42103
Alfa Global Tuk. Mad. Tic. Ltd. Sti.,Türkiye,Drinks,http://www.alfaglb.com,Hall 07.1 | G027,info@alfaglb.com,+90 8508850224
ALFA LEONE - BASANIOTIS SA,Greece,Fine Food,http://www.alfaleone.gr,Hall 10.2 | I025,basaniotisa@alfaproducts.gr,+30 2746022544
ALFA-NISTRU JSC,Moldova,Fine Food,http://www.alfa-nistru.com,Hall 10.2 | A075,info@alfa-nistru.com,+373 023023647
ALFAFROST S.A.E,Egypt,Frozen Food,http://www.alfafrost.com,Hall 04.2 | E048,export@alfafrost.com,+20 1224187641
ALFAGEL SAS,France,Frozen Food,http://www.alfagel.com,Hall 04.2 | C048,nmazella@alfagel.com,+33 491317488
Alfi s.r.l.,Italy,Fine Food,http://www.alfifood.com,Hall 11.2 | A011,alfi@alfifood.com,+39 0414165392
ALFIERO,Belgium,Frozen Food,http://alfiero.be,Hall 04.1 | D082,info@alfiero.be,+32 474101407
Alfonso García López SA CONSERVAS PESCAMAR,Spain,Fine Food,http://www.pescamar.es,Hall 05.2 | C046a,info@pescamar.es,+34 986770012
Alfonso Sellitto Spa,Italy,Fine Food,http://www.sellittospa.it,Hall 05.2 | C029,vendite@sellittospa.it,+39 089 893450
Alfrus srl,Italy,,,Hall 10.2 | A037,,
alfursan international for food,Egypt,,,Hall 2.1 | C054,,
AlgMighty,Netherlands,Alternatives,http://www.algmighty.com,Hall 01.2 | D028 E029,hello@algmighty.com,+31 647023781
ALI APRICOT LLC,Tajikistan,Fine Food,http://www.aliapricot.com,Hall 11.3 | B048,info.aliapricot@gmail.com,+992 927470089
Ali.Com. Import/Export S.R.L.,Italy,Fine Food,https://www.alicom.it,Hall 11.3 | C012a,sales@alicom.it,+39 089 3053404
Alibem Alimentos AS,Brazil,Meat,http://www.alibem.com.br,Hall 09.1 | D046a,juliana.s@alibem.com,+55 5121235000
ALICOS SRL,Italy,Fine Food,https://alicos.it/,Hall 11.2 | C041a,export@alicos.it,+39 3387260132
ALIF,Portugal,,,Hall 4.1 | A051 B058,,
Alimad Food S.A.,Belgium,Bread & Bakery,http://www.alimad.be,Hall 02.2 | D047,info@alimad.be,+32 68385285
ALIMANI,Morocco,Fine Food,http://alimani.ma,Hall 11.3 | A040 B049,,
ALIMAR S.A.,Argentina,,,Hall 3.1 | B074b,,
Alimenta Produzioni S.r.l.,Italy,Bread & Bakery,http://www.alimentaproduzioni.it,Hall 03.2 | C068,info@alimentaproduzioni.it,+39 0541729427
Alimentaria SA,Argentina,,,Hall 3.1 | B078,,
Alimentastic Food Innovation GmbH,Austria,Fine Food,https://alimentastic.com/,Hall 11.2 | G024a,a.egger@alimentastic.com,+43 66488641448
Alimentias S.L.,Spain,Dairy,https://www.alimentias.com,Hall 10.1 | E038,marketing@alimentias.com,+34 956540684
"Alimentos Iberandalus, S.L.",Spain,Fine Food,http://www.iberandalus.com,Hall 11.1 | F013,info@iberandalus.com,+34 957467265
ALIMENTOS KAMUK,Costa Rica,,,Hall 3.1 | B010 B018,,
Alimentos Mora Cué S.A.,Paraguay,Organic,http://www.moracue.com,Hall 05.1 | C059 D058,crm@moracue.com,+598 99730558
Alimentos Polar Europa,Spain,Fine Food,http://www.allofpan.com,Hall 11.1 | G031,gloimar.guaraco@empresaspolar.com,+34 914994438
"ALIMENTOS RANCHERA, S.L",Spain,Fine Food,http://www.indalitos.com,Hall 11.1 | E030,comercial1@esenciaysabor.com,+34 638984634
ALIMENTOS TRES G S.A DE C.V,Mexico,Fine Food,http://www.zaaschila.com,Passage Halle 4 Halle 5 A041a,sales@tresg.com,+52 999301800
Alimentos y Conservas del Ecuador SA Ecuaconservas,Ecuador,Fine Food,http://www.ecuaconservas.com,Hall 03.1 | A028,gsalvador@ecuaconservas.com,+593 999660781
"Aliminter, S.A.",Spain,Fine Food,http://www.aliminter.com,Hall 11.1 | B011,asistente5.comercial@aliminter.com,+34 696611333
Alimpex Food a.s.,Czech Republic,Meat,http://www.alimpex.cz,Hall 07.1 | C024a,zdimerova@alimpex.cz,+420 603500664
Alinor SpA,Italy,Organic,http://www.alinor.it,Hall 05.1 | C039,infoalinor@alinor.it,+39 0373259587
Alion Vegetables & Fruits Co. Ltd.,Cyprus,Chilled & Fresh Food,https://www.alionveg.com,Hall 05.1 | B071,info@alionveg.com,+357 22870644
Alis srl,Italy,Fine Food,https://www.casarinaldi.it,Hall 11.2 | E021,albertogorrieri@casarinaldi.it,+39 059537356
Alisur S.A.C.,Peru,Fine Food,http://www.alisur.net,Hall 03.1 | B001,mpodesta@alisur.net,+51 940170800
Alisya Pastacilik Gida San. Ve. Tic. A.S.,Türkiye,Frozen Food,http://www.alisyapastacilik.com,Hall 04.1 | C028,info@alisyapastacilik.com,+90 2163050572
Alize International,France,Meat,http://www.alize-international.com,Hall 09.1 | C014,business@alize-international.com,+33 330297626560
Aljameel International Co. Kinza / Lift up,Saudi Arabia,Fine Food,http://www.aljameelfood.com,Confexhall F033,info@aljameelfood.com,+966 555017877
Alkan Zeytincilik Gida Ins. Pet. Nak. Tic. ve San. Ltd. Sti.,Türkiye,Fine Food,http://www.alkanzeytin.com.tr,Hall 11.3 | D033,muhasebe@alkanzeytin.com.tr,+90 2245144700
ALKARAMAH DOUGH PRODUCTION COMPANY LTD.,Saudi Arabia,,,Confexhall E030a,,
ALKHAMMASH COMPANY FOR INDUSTRY,Saudi Arabia,Dairy | Fine Food,https://khammashdates.com.sa/en/,Confexhall F031a,export@khammashdates.com.sa,+966 550059488
Alkhier Food B.V.,Netherlands,Fine Food,http://www.alkhierfood.com,Hall 11.1 | C057,info@alkhierfood.nl,+31 683080217
All Good Bakery B.V.,Netherlands,Fine Food,http://www.allbakers.nl,Passage Halle 4 Halle 5 A058,stefan@allbakers.nl,+31 646036447
All India Rice Exporters Association,India,,,Hall 11.3 | H024,,
All Joy Foods LTD,South Africa,Fine Food,https://alljoy.co.za,Hall 11.1 | A050 B059,maureenj@alljoy.co.za,+27 119489949
All Nuts Srl,Romania,,,Hall 2.2 | D019a,,
All Organic Treasures GmbH,Germany,Alternatives,http://www.aot.de,Hall 01.2 | B032,info@aot.de,+49 8370922800
All-Fish Handelsgesellschaft mbH,Germany,Frozen Food,http://www.all-fish.de,Hall 04.2 | B031,mail@all-fish.de,+49 4315402677
All4trade B.V.,Netherlands,Fine Food,http://www.all4trade.nl,Hall 11.3 | B040,info@all4trade.nl,+31 365498653
Allanasons PVT. Ltd.,India,Meat,https://allana.com/,Hall 06.1 | C110,info@allana.com,+91 2266569000
ALLCOMEX INTL. BUSINESS,Brazil,Fine Food,http://allcomexbr.com.br,Hall 03.1 | D021a,eric@allcomexbr.com.br,+55 19996958384
Alldra B.V.,Netherlands,Fine Food,http://www.alldra.eu,Hall 11.1 | G032a,info@alldra.nl,+31 548537355
Alliance Océane & Charcutière,France,Meat,http://www.coraya.fr,Hall 09.1 | B037b,marieke.nagel@aoc-cpm.fr,+33 243615717
Alliance Zone Inc.,Canada,Fine Food,https://www.alliancezone.ca/,Hall 11.2 | C023,adel.bennani@alliancezone.ca,+1 145 099 9002 5
Allied International Corp.,United States of America,Fine Food,http://www.alliedint.com,Hall 10.2 | G072,shaun@alliedint.com,+1 703 855 4276
Allive Europe JSC,Lithuania,Organic,https://www.allive.com/,Hall 10.2 | F047,sales@allive.com,+370 67085016
ALLJUICEMED SL,Spain,,,Hall 8.1 | A006,,
allproevent,Türkiye,,,Hall 1.2 | H028,,
Allreasons,Latvia,,,Boulevard 193,,
almadinah farm factory for dates,Saudi Arabia,Fine Food,https://almadinahfarm.com/,Confexhall E036,almadinahfarm@gmail.com,+966 530260999
ALMAMEAT,Spain,Meat,http://www.almameat.com,Hall 06.1 | D083,almameat@almameat.com,+34 608414308
ALMANSA ORIGIN DENOMINATION,Spain,Fine Food,http://www.denominacion-origen-almansa.com,Passage Halle 4 Halle 5 A031,info@denominacion-origen-almansa.com,+34 967340258
Almarai Company,Saudi Arabia,,,Confexhall E035,,
Almas Kavir Khoshab,Iran,Fine Food,http://www.topnutakk.com,Hall 10.2 | D089b,info@topnutakk.com,+98 989122213983
Almathaq Alarabi For Bakeries and Sweets,Saudi Arabia,Fine Food,https://www.almthaqalarabi.com,Confexhall E025,melshazly@arabtaste.com,+966 563801918
Almazaras de la Subbetica SL,Spain,Fine Food,https://almazarasdelasubbetica.com/,Hall 11.1 | F029,export1@almazarasdelasubbetica.com,+34 957547028
ALMENDRAS DONAIRE SL,Spain,Fine Food,http://almendrasdonaire.com,Hall 11.1 | E026,info@almendrasdonaire.com,+34 958557049
"Almendras Llopis, S.A.U.",Spain,Fine Food,http://www.llopis.es,Hall 11.1 | F008a,export@llopis.es,+34 965661262
"ALMENDRERA DEL SUR, SCA",Spain,,,Hall 11.1 | F017,,
Almme S.A.,Greece,Fine Food,http://www.almme.gr,Hall 10.2 | F009a,kasapis@almme.gr,+30 2331097700
almonairy for corn proudcts,Egypt,Fine Food,http://www.monairy.com,Hall 02.1 | D055a,marketing@monairy.com,+20 1030012267
Almond Board of Australia,Australia,Fine Food,https://australianalmonds.com.au/,Hall 10.2 | B069,lmartin@australianalmonds.com.au,+61 415283174
Almond Products Hatzigeorgiou S.A,Greece,Fine Food,http://www.perle.gr,Hall 10.2 | H043,info@perle.gr,+30 2521082082
Almonds Cremades,Spain,Fine Food,http://www.almendrascremades.com,Hall 11.1 | A014,eloy@almendrascremades.com,+34 968804111
Almondy AB,Sweden,Frozen Food,http://www.almondy.com,Hall 04.1 | B090,jeanette.pennbrant@almondy.com,+46 707156963
ALMURJAN FOR CANNED FOOD L.L.C.,Jordan,Fine Food,https://almurjanjo.com/,Hall 02.1 | D022a,info@almurjanjo.com,+962 797192159
Alnada Company for Food Industries,Egypt,Drinks,https://alnadafoods-eg.com/detail_ms.php?d=1,Hall 08.1 | C046,export@alnadafoodseg.com,+20 1000561199
Alobari & Alopare GbR,Germany,Fine Food,http://www.sedihisham.com,Hall 02.1 | B018,alobarigbr@gmail.com,+49 1749022548
"alp Bayern/Bayerisches Staatsministerium für Ernährung, Landwirtschaft u. Forsten und Tourismus",Germany,Fine Food,http://www.alp.bayern.de,Hall 10.2 | A032 B035,info@alp.bayern.de,+49 8921822310
Alp Senn AG,Switzerland,Dairy,https://www.hardegger-kaese.ch/,Hall 10.1 | B021a,information@alpsenn-ag.ch,+41 719232626
Alpdrinks GmbH,Austria,Fine Food,https://www.alpdrinks.at,Hall 11.2 | G013,info@alpdrinks.at,+43 69918000694
ALPE SPA,Italy,Fine Food,http://www.alpesurgelati.it,Hall 05.2 | A030 B031,alpesurgelati@gmail.com,+39 074680640
Alpenhain Käsespezialitäten GmbH,Germany,Dairy | Fine Food,http://www.alpenhain.de,Passage Halle 2 Halle 4 002,,
Alpex Ceylon Tea (Pvt) Ltd,Sri Lanka,,,Hall 1.2 | G029,,
Alpha Gefsi Edesmata S.A.,Greece,Dairy,http://www.alphagefsi.gr,Hall 10.1 | B046,giorgos@alphagefsi.gr,+30 6976633064
"Alpine Foods Co.,Ltd.",Thailand,Fine Food,http://www.janjaras.com,Hall 11.3 | H025,djanjar@hotmail.com,+66 818262861
Alpirsbacher Klosterbräu Glauner GmbH,Germany,Fine Food,http://www.alpirsbacher.de,Hall 10.2 | C050,info@alpirsbacher.de,+49 7444670
AlQassim factory for foods,Saudi Arabia,,,Confexhall F039,,
ALSAHL GROUP HOILDING,Libya,Fine Food,https://alsahlgroup.com/,Hall 05.2 | E070,tariq.darwish@alsahlgroup.com,+218 912612208
alsalwa meat factory,Bahrain,,,Hall 6.1 | A097,,
Alta Kraina LLC (Catanzaro Eurasia),Ukraine,Organic,http://www.altakraina.com,Hall 05.1 | D053,gm@altakraina.com,+380 503924370
Altas Yag Su ve Tar. Ur. Gida Ins Oto. Nak. San. ve Tic. A.S.,Türkiye,Fine Food,https://www.altas.com.tr,Hall 11.3 | B024a,info@altas.com.tr,+90 4527771777
ALTE Foods,Ukraine,Frozen Food,https://altefoods.com/,Hall 04.2 | B021,info@altefoods.com,+380 504725099
Altera Food DOO,Republic of North Macedonia,Fine Food,https://alterafood.mk,Hall 11.1 | G056,contact@alterafood.mk,+389 070393025
ALTERNATIVA 3,Spain,Fine Food,https://alternativa3.com/en/,Hall 11.1 | C038,export@alternativa3.com,+34 639976572
ALTHO BRETS,France,Fine Food,https://www.brets.fr,Hall 10.2 | F028,contact@altho.fr,+33 (France) 0297259696
Altin Petek Besin Üretim San. Tic. Ltd. Sti.,Türkiye,,,Hall 2.2 | A032,,
Altintop Kuruyemis Gida San ve Tic. A. S.,Türkiye,Fine Food,https://www.altintop.com.tr,Hall 11.2 | F054,export@altintop.com.tr,+90 (530) 2016067
Altiparmak Gida Sanayi ve Ticaret A.S.,Türkiye,Bread & Bakery,http://www.balparmak.com.tr,Hall 03.2 | B048,export@balparmak.com.tr,+90 2166430202
Altunkaya Ins. Nak. Gida Tic. A.S.,Türkiye,,,Hall 11.3 | D030,,
Altunsa Gida Sanayi ve Ticaret A.S.,Türkiye,Fine Food,http://www.altunsa.com,Hall 11.3 | D034,info@altunsa.com,+90 3423570357
ALUKSNES PUTNU FERMA SIA,Latvia,Dairy,http://www.apf.lv,Hall 10.1 | G028d,sales@apfholdings.lv,+371 24248544
Alvarez Camacho,Spain,,,Passage Halle 10 Halle 11 011a,,
Alvinesa Natural Ingredients S.A.,Spain,Fine Food,https://www.alvinesa.com/en/,Hall 11.1 | E014a,ccodeghini@alvinesa.com,+34 679855532
Alviva Ukraine LLC,Ukraine,Fine Food,http://www.alvivagroup.com,Hall 05.2 | D056,h.prokofieva@kyivkhlib.com.ua,+380 954234987
Alvoar Lácteos S/A / Embaré,Brazil,Fine Food,http://www.alvoarlacteos.com.br,Hall 03.1 | B028c,export@alvoarlacteos.com.br,+55 31983317274
Alzaytouna for chocolate & confectionery,Jordan,Fine Food,https://topschocolate.com/,Hall 02.1 | E021,info@topschocolate.com,+962 64020430
Alò Puglia Food group srl,Italy,Fine Food,http://alopuglia.it,Hall 11.2 | A028,info@pastashow.net,
"AM HONEY - ANDALUZA DE MIELES, S.L.",Spain,Fine Food,https://andaluzademieles.com/,Hall 11.1 | D021,export@andaluzademieles.com,+34 686963670
Amalthea Group,Netherlands,Dairy,http://www.amalthea.nl,Hall 10.1 | G063,h.wijdieks@amalthea.nl,+31 682514534
Amalthia S.A.,Greece,Fine Food,http://www.amalthia.com.gr,Hall 10.2 | H020,info@amalthia.com.gr,+30 2632022516
Amana Foods Gida,Türkiye,Meat,http://www.amana-foods.com,Hall 07.1 | D069,k.chanderli@amana-foods.com,+90 5416386125
AMANDO LOZA ALONSO SA,Spain,Meat,http://www.amandoloza.com,Hall 07.1 | C049,info@amandoloza.com,+34 941374000
Amann Kaffee GmbH,Austria,,,Hall 11.2 | G015,,
Amar International,India,Fine Food,http://www.amarintl.in,Hall 01.2 | J029,info@amarintl.in,+91 2224105800
AMAR SINGH CHAWAL WALA,India,Fine Food,http://www.lalqilla-rice.com,Hall 11.3 | G029,harmeet@lalqilla-rice.com,+91 7888826432
Amarin Thai Beverage,Thailand,Drinks,http://www.amwelplus.com,Hall 07.1 | G041d,amwelplus@amarinwater.com,+66 825465257
Amber Pasta JSC,Lithuania,Fine Food,https://www.pasta.lt/en/,Hall 10.2 | E036a,commerce@pasta.lt,+370 65216650
Ambrosi S.P.A,Italy,Dairy,http://www.ambrosi.it,Hall 10.1 | B050 A051,contabilita.fornitori@it.lactalis.com,+39 0302134811
Ambrosia Oils (1976) Ltd.,Cyprus,Fine Food,http://www.ambrosia.com.cy,Hall 11.2 | F048,sales@ambrosia.com.cy,+357 24530470
AMD Verde for Export,Egypt,,,Hall 5.1 | F053,,
Amdie,Morocco,Fine Food,http://amdie.gov.ma,Hall 11.3 | A040 B049,,
Ameco,Netherlands,Meat,http://www.ameco.eu,Hall 06.1 | B010 C011,info@ameco.eu,+31 206867171
Amedei S.r.l.,Italy,Bread & Bakery,https://www.amedei.it,Hall 02.2 | C055,r.moscheni@amedei.it,+39 0587484849
Ameed Food Industries,Jordan,,,Hall 8.1 | A108,,
AMEEN PRODUCTS SDN BHD,Malaysia,Fine Food,http://www.ameen.com.my,Hall 01.2 | N010 O011,mohdirfan@ameen.com.my,+60 56251620
AMEFRUITS GARLICS,Spain,Fine Food,http://www.amefruits.com,Hall 11.1 | A031,info@amefruits.com,+34 966740393
AMENDOBRAS Imp. e Exp. de Amendoim SA,Brazil,Fine Food,http://www.amendobras.com.br,Hall 03.1 | D025a,vendas@amendobras.com,+55 1434915577
"Amendouro, S.A.",Portugal,Fine Food,http://www.amendouro.com,Hall 11.1 | F055,joana@amendouro.com,+351 912217541
American Beverage Marketers,United States of America,,,Hall 8.1 | D054,,
